firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Ryan,Fitzpatrick,QB,14,,2018,32013030-2d30-3032-3336-3832b8755c76,00-0023682,FIT792915,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Brent,Grimes,CB,24,STARTED,2018,32013030-2d30-3032-3431-3833191f5c75,00-0024183,GRI674817,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
DeSean,Jackson,WR,11,STARTED,2018,32013030-2d30-3032-3631-383993ac1996,00-0026189,JAC127681,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Demar,Dotson,T,69,STARTED,2018,32013030-2d30-3032-3638-31344f92b139,00-0026814,DOT277798,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Garrison,Sanborn,LS,89,,2018,32013030-2d30-3032-3638-343482f6e91e,00-0026844,SAN042512,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Gerald,McCoy,DT,93,STARTED,2018,32013030-2d30-3032-3738-35367fd3b152,00-0027856,MCC604879,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Jason,Pierre-Paul,DE,90,STARTED,2018,32013030-2d30-3032-3738-3637ede17c63,00-0027867,PIE587019,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Jacquizz,Rodgers,RB,32,,2018,32013030-2d30-3032-3830-3833aeef82a9,00-0028083,ROD369979,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Vinny,Curry,DE,97,,2018,32013030-2d30-3032-3934-3132cdd2afbb,00-0029412,CUR528238,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Lavonte,David,LB,54,NOT_ACTIVE,2018,32013030-2d30-3032-3935-36322d7605a9,00-0029562,DAV026654,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Bryan,Anger,P,09,,2018,32013030-2d30-3032-3936-3932e2de638d,00-0029692,ANG280911,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Ryan,Griffin,QB,04,NOT_ACTIVE,2018,32013030-2d30-3032-3938-3537a6e41034,00-0029857,GRI294351,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Ryan,Jensen,C,66,STARTED,2018,32013030-2d30-3032-3938-3935ab980758,00-0029895,JEN789150,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Kevin,Minter,LB,41,,2018,32013030-2d30-3033-3033-383259613613,00-0030382,MIN670026,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
William,Gholston,DE,92,,2018,32013030-2d30-3033-3033-38367a0748da,00-0030386,GHO405127,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Beau,Allen,DT,91,,2018,32013030-2d30-3033-3130-3839d33249b7,00-0031089,ALL062169,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Adarius,Taylor,LB,53,STARTED,2018,32013030-2d30-3033-3131-32302a2f1f0a,00-0031120,GLA303597,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Cairo,Santos,K,05,,2018,32013030-2d30-3033-3132-30338476c2fe,00-0031203,SAN796299,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Cameron,Brate,TE,84,,2018,32013030-2d30-3033-3132-3733bea19a1f,00-0031273,BRA663798,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Mike,Evans,WR,13,STARTED,2018,32013030-2d30-3033-3134-303844d227b6,00-0031408,EVA534309,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Jameis,Winston,QB,03,STARTED,2018,32013030-2d30-3033-3135-30339e998e6f,00-0031503,WIN623708,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Michael,Liedtke,OL,67,,2018,32013030-2d30-3033-3137-3232e53c7e64,00-0031722,LIE663216,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Cameron,Lynch,LB,52,,2018,32013030-2d30-3033-3138-3135de6fcb58,00-0031815,LYN073558,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Rakeem,Nunez-Roches,DT,56,NOT_ACTIVE,2018,32013030-2d30-3033-3139-353735977d50,00-0031957,NUN250521,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Adam,Humphries,WR,10,STARTED,2018,32013030-2d30-3033-3230-30396f0c2958,00-0032009,HUM721507,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Josh,Shaw,DB,30,,2018,32013030-2d30-3033-3231-3638cb7f2262,00-0032168,SHA641197,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Donovan,Smith,T,76,STARTED,2018,32013030-2d30-3033-3232-313743d26420,00-0032217,SMI221725,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Ali,Marpet,G,74,STARTED,2018,32013030-2d30-3033-3232-343330c4c498,00-0032243,MAR291946,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
Andrew,Adams,S,26,,2018,32013030-2d30-3033-3236-33374ebfc4c7,00-0032637,ADA104253,Tampa Bay Buccaneers,49ers-at-buccaneers-2018-reg-12,2018-11-25T18:00:00.000Z
