firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Drew,Brees,QB,09,NOT_ACTIVE,2018,32013030-2d30-3032-3035-33318e1e348d,00-0020531,BRE229498,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
Don,Muhlbach,LS,48,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3234-35359d5f9fd7,00-0022455,MUH609435,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
Aaron,Rodgers,QB,12,NOT_ACTIVE,2018,32013030-2d30-3032-3334-35395dc60da5,00-0023459,ROD339293,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
Malcolm,Jenkins,FS,27,STARTED,2018,32013030-2d30-3032-3639-39302fb5c38b,00-0026990,JEN372222,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
Alex,Mack,C,51,STARTED,2018,32013030-2d30-3032-3639-3937429253e1,00-0026997,MAC273212,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
Max,Unger,G,60,NOT_ACTIVE,2018,32013030-2d30-3032-3730-32352543f970,00-0027025,UNG408916,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
Trent,Williams,T,71,NOT_ACTIVE,2018,32013030-2d30-3032-3738-3537f52a204e,00-0027857,WIL547553,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
Patrick,Peterson,DB,21P,STARTED,2018,32013030-2d30-3032-3739-3433ed8bd872,00-0027943,PET415511,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
Julio,Jones,WR,11,NOT_ACTIVE,2018,32013030-2d30-3032-3739-3434d4d3846d,00-0027944,JON640315,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
Tyron,Smith,T,77,NOT_ACTIVE,2018,32013030-2d30-3032-3739-343714e02a3d,00-0027947,SMI766760,NFC Pro Bowl Team,afc-pro-bowl-at-nfc-pro-bowl-2018-pro-1,2019-01-27T20:00:00.000Z
