firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Terrell,Suggs,OLB,55,STARTED,2018,32013030-2d30-3032-3231-363176e3f662,00-0022161,SUG467201,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Sam,Koch,P,04,,2018,32013030-2d30-3032-3434-31371043198a,00-0024417,KOC420430,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Eric,Weddle,S,32,STARTED,2018,32013030-2d30-3032-3534-32342b68d751,00-0025424,WED290361,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Marshal,Yanda,G/T,73,STARTED,2018,32013030-2d30-3032-3534-37331c522193,00-0025473,YAN330781,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Joe,Flacco,QB,05,NOT_ACTIVE,2018,32013030-2d30-3032-3631-3538c6a10853,00-0026158,FLA009602,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Brandon,Carr,CB,24,STARTED,2018,32013030-2d30-3032-3632-3830b7e3f619,00-0026280,CAR347675,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Michael,Crabtree,WR,15,STARTED,2018,32013030-2d30-3032-3639-38361c422e2a,00-0026986,CRA111040,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Anthony,Levine,DB/LB,41,,2018,32013030-2d30-3032-3735-3339e5bcf197,00-0027539,LEV588156,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Morgan,Cox,LS,46,,2018,32013030-2d30-3032-3735-3537121340d6,00-0027557,COX524880,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Jimmy,Smith,DB,22,STARTED,2018,32013030-2d30-3032-3739-3635a9ca9b5f,00-0027965,SMI000006,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Justin,Tucker,K,09,,2018,32013030-2d30-3032-3935-39371b9a6ac1,00-0029597,TUC224643,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Robert,Griffin,QB,03,,2018,32013030-2d30-3032-3936-3635a9a33dbc,00-0029665,GRI283140,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Tony,Jefferson,S,23,STARTED,2018,32013030-2d30-3033-3032-393429b454aa,00-0030294,JEF423538,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Brandon,Williams,DT,98,STARTED,2018,32013030-2d30-3033-3035-313110f7ff08,00-0030511,WIL156757,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Willie,Snead,WR,83,,2018,32013030-2d30-3033-3036-3633c60355af,00-0030663,SNE115447,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
James,Hurst,G/T,74,NOT_ACTIVE,2018,32013030-2d30-3033-3036-3934e006a669,00-0030694,HUR496348,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
John,Brown,WR,13,STARTED,2018,32013030-2d30-3033-3130-35315f0457e5,00-0031051,BRO494712,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Brent,Urban,DE,96,STARTED,2018,32013030-2d30-3033-3131-37374649c6b2,00-0031177,URB226521,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
C.J.,Mosley,ILB,57,STARTED,2018,32013030-2d30-3033-3132-3936f09c64d2,00-0031296,MOS361252,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Maxx,Williams,TE,87,NOT_ACTIVE,2018,32013030-2d30-3033-3135-35387ca5d707,00-0031558,WIL436992,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Hroniss,Grasu,C,61,NOT_ACTIVE,2018,32013030-2d30-3033-3135-3631e0d93a16,00-0031561,GRA533780,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Za'Darius,Smith,OLB,90,STARTED,2018,32013030-2d30-3033-3135-3736b7d600c4,00-0031576,SMI827086,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Javorius,Allen,RB,37,,2018,32013030-2d30-3033-3135-373735f054df,00-0031577,ALL469092,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Nick,Boyle,TE,86,STARTED,2018,32013030-2d30-3033-3135-393822341006,00-0031598,BOY688993,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Ty,Montgomery,WR,88,,2018,32013030-2d30-3033-3232-303072e6c160,00-0032200,MON677133,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Cyrus,Jones,DB,27,,2018,32013030-2d30-3033-3233-39305aa105d9,00-0032390,JON188523,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Chris,Moore,WR/RS,10,,2018,32013030-2d30-3033-3233-3938c91156c5,00-0032398,MOO226734,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Alex,Lewis,G/T,72,STARTED,2018,32013030-2d30-3033-3234-3037b0fdf508,00-0032407,LEW035528,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Matt,Judon,OLB,99,,2018,32013030-2d30-3033-3234-3135c1834a16,00-0032415,JUD442977,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Alex,Collins,RB,34,STARTED,2018,32013030-2d30-3033-3234-323612f9dc9b,00-0032426,COL479374,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Patrick,Onwuasor,ILB,48,STARTED,2018,32013030-2d30-3033-3235-37333dfdab0b,00-0032573,ONW652601,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Michael,Pierce,DT,97,,2018,32013030-2d30-3033-3235-373456789cfa,00-0032574,PIE424893,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Matt,Skura,G/C,68,STARTED,2018,32013030-2d30-3033-3235-3735608c19a1,00-0032575,SKU668077,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Tavon,Young,CB,25,STARTED,2018,32013030-2d30-3033-3237-37304daa495d,00-0032770,TOU297968,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Ronnie,Stanley,T,79,STARTED,2018,32013030-2d30-3033-3239-363589df7d80,00-0032965,STA458230,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Marlon,Humphrey,CB,29,,2018,32013030-2d30-3033-3332-38316b1d4c34,00-0033281,HUM550259,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Tyus,Bowser,OLB,54,,2018,32013030-2d30-3033-3332-3833641167e0,00-0033283,BOW770022,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Jermaine,Eluemunor,G,71,,2018,32013030-2d30-3033-3332-39304492000f,00-0033290,ELU177981,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
Chuck,Clark,S,36,,2018,32013030-2d30-3033-3332-39347466c86a,00-0033294,CLA225622,Baltimore Ravens,bengals-at-ravens-2018-reg-11,2018-11-18T18:00:00.000Z
