firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Phil,Dawson,K,04,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3030-3430-3931f3af5642,00-0004091,DAW705989,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Andy,Lee,P,02,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3238-32349b479eae,00-0022824,LEE008195,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Larry,Fitzgerald,WR,11,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3239-323176c2a1fa,00-0022921,FIT437493,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Antoine,Bethea,S,41,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3434-3231947802f6,00-0024421,BET074391,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
A.Q.,Shipley,C,53,,2018,32013030-2d30-3032-3639-3530107a8485,00-0026950,SHI382248,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Andre,Smith,OL,71,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3639-38324df48f4b,00-0026982,SMI038279,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Corey,Peters,DT,98,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3736-383628cbcfd8,00-0027686,PET099667,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Arthur,Moats,DE,93,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3737-37371e38edad,00-0027777,MOA594964,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Sam,Bradford,QB,09,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3738-353448d0b06c,00-0027854,BRA101548,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Mike,Iupati,OL,76,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3738-3639a340a0f4,00-0027869,IUP059326,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Jermaine,Gresham,TE,84,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3738-373367ff4407,00-0027873,GRE819895,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Patrick,Peterson,DB,21,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3739-3433ed8bd872,00-0027943,PET415511,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Greg,Little,WR,18,STARTED,2018,32013030-2d30-3032-3739-3937753b3ff2,00-0027997,LIT425789,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Josh,Bynes,LB,57,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3832-373899cdea9b,00-0028278,BYN301611,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Aaron,Brewer,LS,46,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3839-3436d6117ece,00-0028946,BRE611741,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Derrick,Coleman,FB,48,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3930-36389397758a,00-0029068,COL248659,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Jacquies,Smith,DE,96,STARTED,2018,32013030-2d30-3032-3931-31325e9627ed,00-0029112,SMI344730,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Chandler,Jones,DE,55,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3935-383530790f3b,00-0029585,JON157557,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
John,Wetzel,OL,73,STARTED,2018,32013030-2d30-3032-3937-3632dedf3132,00-0029762,WET576319,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Vinston,Painter,OL,78,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3030-3936c2c2ef6c,00-0030096,PAI712400,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Benson,Mayowa,DE,91,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3033-383070c8a327,00-0030380,MAY692147,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Gerald,Hodges,LB,51,STARTED,2018,32013030-2d30-3033-3033-38352da01f4b,00-0030385,HOD406062,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Jamar,Taylor,CB,28,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3034-383435fe5e7d,00-0030484,TAY294506,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Brice,Butler,WR,12,STARTED,2018,32013030-2d30-3033-3035-3136ffd39661,00-0030516,BUT116760,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Mike,Glennon,QB,07,STARTED,2018,32013030-2d30-3033-3035-3230b20b479c,00-0030520,GLE711694,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Justin,Pugh,OL,67,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3035-383587ea2e70,00-0030585,PUG243645,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Josh,Allen,OL,66,STARTED,2018,32013030-2d30-3033-3038-33331f0a1053,00-0030833,ALL529825,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Tre,Boston,S,38,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3132-3631e5be2cea,00-0031261,BOS695248,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Bene',Benwikere,CB,23,STARTED,2018,32013030-2d30-3033-3132-3632b544c6b5,00-0031262,BEN780726,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Deone,Bucannon,$LB,20,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3133-3636f7261cc6,00-0031366,BUC019775,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Edmond,Robinson,LB,58,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3136-32341078556c,00-0031624,ROB413992,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Tim,Scott,CB,45D,STARTED,2018,32013030-2d30-3033-3137-3534d0cc0ab6,00-0031754,SCO706639,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Gabe,Holmes,TE,85,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3138-38347be75980,00-0031884,HOL550382,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Olsen,Pierre,DT,72,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3139-3134861b9326,00-0031914,PIE579519,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Nordly,Capi,DE,61,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3139-3832c7ff0412,00-0031982,CAP202201,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Travell,Dixon,S,27,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3230-31341ba5fce0,00-0032014,DIX729086,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
J.J.,Nelson,WR,14,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3231-3132e3e0bff9,00-0032112,NEL488051,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Markus,Golden,DE,44,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3231-3237762b0681,00-0032127,GOL067489,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Rodney,Gunter,DT,95,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3231-3331fa5a9007,00-0032131,GUN730129,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
David,Johnson,RB,31,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3231-3837af32a123,00-0032187,JOH174477,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Daniel,Munyer,OL,62,STARTED,2018,32013030-2d30-3033-3231-393283a185f1,00-0032192,MUN811705,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
D.J.,Humphries,OL,74,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3232-32329f997f2b,00-0032222,HUM728022,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Vontarrius,Dora,DE,59,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3234-3834e41ef634,00-0032484,DOR024911,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
D.J.,Foster,RB,37,,2018,32013030-2d30-3033-3235-37373604d8f6,00-0032577,FOS199981,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Bryce,Williams,TE,80,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3235-3833be787a7e,00-0032583,WIL170839,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Robert,Nkemdiche,DT,90,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3237-36318b817553,00-0032761,NKE415291,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Brandon,Williams,CB,26,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-36395969c9d3,00-0032769,WIL000008,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Evan,Boehm,OL,70,STARTED,2018,32013030-2d30-3033-3237-3737f47d5105,00-0032777,BOE217532,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Harlan,Miller,S,35D,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-393838bd5536,00-0032798,MIL281637,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Elijhaa,Penny,FB,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3238-3133b239c3bb,00-0032813,PEN486378,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Taniela,Tupou,DT,75D,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3238-35324359291d,00-0032852,TUP549332,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Scooby,Wright,LB,56,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3239-37391daea079,00-0032979,WRI591471,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Jeremy,Cash,LB,52,,2018,32013030-2d30-3033-3239-3934f48b25ae,00-0032994,CAS270566,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Jonathan,Moxey,CB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3334-333261491ae7,00-0033432,MOX177981,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Carlton,Agudosi,WR,19,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-3939f2844f11,00-0033599,AGU200894,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Ricky,Seals-Jones,TE,86,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3336-3131644f3f8b,00-0033611,SEA449742,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Pasoni,Tasini,DT,65,STARTED,2018,32013030-2d30-3033-3336-313465901ada,00-0033614,TAS338575,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Greg,Pyke,OL,68,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3336-3138c982351c,00-0033618,PYK177981,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Nigel,Williams,DT,60D,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3336-3236a1b349aa,00-0033626,WIL457994,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Will,Holden,OL,69,STARTED,2018,32013030-2d30-3033-3337-3838cc5f1263,00-0033788,HOL050358,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
T.J.,Logan,RB,22,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3337-38398235c352,00-0033789,LOG765234,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Rudy,Ford,S,30,STARTED,2018,32013030-2d30-3033-3337-3932798dd4d9,00-0033792,FOR323002,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Haason,Reddick,LB,43,STARTED,2018,32013030-2d30-3033-3338-37359341f3ba,00-0033875,RED324095,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Budda,Baker,S,36,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3338-39304db3d35f,00-0033890,BAK070449,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Chad,Williams,WR,10,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3339-333391b03e3b,00-0033933,WIL179904,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Darius,Victor,RB,32,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3430-30375c298fa8,00-0034007,VIC742503,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Peli,Anau,DT,63,STARTED,2018,32013030-2d30-3033-3430-3132b08343e4,00-0034012,ANA638910,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Josh,Rosen,QB,03,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3433-3433d2e30b97,00-0034343,ROS357433,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Alec,Bloom,TE,87,STARTED,2018,32013030-2d30-3033-3434-3732ef2214e4,00-0034472,BLO252549,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Dennis,Gardeck,LB,92,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-373391964843,00-0034473,GAR121450,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Will,House,OL,60,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-37356aec088b,00-0034475,HOU289108,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
A.J.,Howard,S,42,STARTED,2018,32013030-2d30-3033-3434-37368ddeb235,00-0034476,HOW026581,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Alec,James,DE,94,STARTED,2018,32013030-2d30-3033-3434-373731e97e81,00-0034477,JAM077169,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Chad,Kanoff,QB,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-373811dd6273,00-0034478,KAN575611,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Matthew,McCrane,K,01,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-37397e325725,00-0034479,MCC645393,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Deatrick,Nichols,CB,39,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-3831c6c59edc,00-0034481,NIC163369,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Owen,Obasuyi,DT,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-3832c5348fc3,00-0034482,OBA473434,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Matthew,Oplinger,LB,49,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-3834a81c7502,00-0034484,OPL296636,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Jonathan,Owens,DB,81,,2018,32013030-2d30-3033-3434-3835497f6bd9,00-0034485,OWE526795,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Trent,Sherfield,WR,16,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-3837ee6e1b2a,00-0034487,SHE566024,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Tavierre,Thomas,CB,34,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-3838f707adb1,00-0034488,THO386668,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Jalen,Tolliver,WR,17,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-3839a36d1f83,00-0034489,TOL756747,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Ezekiel,Turner,S,47,STARTED,2018,32013030-2d30-3033-3434-3930429fffae,00-0034490,TUR304695,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Andrew,Vollert,TE,89,STARTED,2018,32013030-2d30-3033-3434-393176e3f960,00-0034491,VOL348357,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Brant,Weiss,OL,75O,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3434-3932b898316e,00-0034492,WEI711980,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Corey,Willis,WR,83,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3434-3933b043d167,00-0034493,WIL598004,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Chase,Edmonds,RB,29,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3436-38318de68526,00-0034681,EDM181116,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Chris,Campbell,CB,33,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3835c46138a5,00-0034685,CAM219233,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
Korey,Cunningham,OL,79,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3837b54f59e8,00-0034687,CUN521305,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
C.J.,Duncan,WR,82,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-3039143e7022,00-0034709,DUN108601,Arizona Cardinals,broncos-at-cardinals-2018-pre-4,2018-08-31T02:00:00.000Z
