firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
L.P.,Ladouceur,LS,91,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3332-3938bbd87157,00-0023298,LAD000000,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Sean,Lee,ILB,50,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3736-36339b59a826,00-0027663,LEE650245,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Tyron,Smith,T,77,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3739-343714e02a3d,00-0027947,SMI766760,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Jeron,Johnson,DB,29,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3834-34318f33cf73,00-0028441,JOH344009,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Dan,Bailey,K,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3836-3630e498e688,00-0028660,BAI159977,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Chris,Jones,P,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3836-3634e531f84b,00-0028664,JON161572,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Cole,Beasley,WR,11,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3930-3030d51d6c94,00-0029000,BEA434808,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Joe,Looney,C,73,STARTED,2018,32013030-2d30-3032-3932-3738b3560098,00-0029278,LOO721674,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Deonte,Thompson,WR,15,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3933-3838bf78b68b,00-0029388,THO528909,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Jamize,Olawale,FB,49,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-39322aff7ddb,00-0029492,OLA706032,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Tyrone,Crawford,DE,98,STARTED,2018,32013030-2d30-3032-3936-3431ef6ddb5e,00-0029641,CRA756298,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Jeff,Heath,DB,38,STARTED,2018,32013030-2d30-3033-3031-3936355d346b,00-0030196,HEA721605,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Brett,Maher,K,02K,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3033-3332117ae233,00-0030332,MAH294385,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Tavon,Austin,RB,10,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-32354e0c0897,00-0030525,AUS659596,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Terrance,Williams,WR,83,STARTED,2018,32013030-2d30-3033-3035-34325fb24f9d,00-0030542,WIL532584,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Travis,Frederick,C,72,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3035-3436d3f587d9,00-0030546,FRE063393,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Datone,Jones,DE,56,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3035-3736cb76de38,00-0030576,JON213438,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Joe,Thomas,LB,48,STARTED,2018,32013030-2d30-3033-3037-3631baf58265,00-0030761,THO234901,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Allen,Hurns,WR,17,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3038-32317c4d97af,00-0030821,HUR436342,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Marqueston,Huff,DB,20,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-3539720313f4,00-0031059,HUF218767,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Cameron,Fleming,T,75,STARTED,2018,32013030-2d30-3033-3130-363746ae3184,00-0031067,FLE157731,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Caraun,Reid,DT,93,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-373145e937de,00-0031071,REI254895,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Eric,Pinkins,LB,42,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-38347dcad475,00-0031084,PIN585405,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Kadeem,Edwards,G,78,STARTED,2018,32013030-2d30-3033-3131-38301d9632b9,00-0031180,EDW537960,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Kony,Ealy,DE,76,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3133-3336507e6dbd,00-0031336,EAL784006,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Zack,Martin,G,70,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3134-3032221eb56d,00-0031402,MAR771661,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Demarcus,Lawrence,DE,90,STARTED,2018,32013030-2d30-3033-3134-3131386b03cc,00-0031411,LAW282118,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Dres,Anderson,WR,18,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-30341df8e71d,00-0031504,AND196249,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Trey,Williams,RB,34,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-3331c36a3b0a,00-0031531,WIL547628,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
La'el,Collins,T,71,STARTED,2018,32013030-2d30-3033-3135-3334dc1217ba,00-0031534,COL622930,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Rod,Smith,RB,45,STARTED,2018,32013030-2d30-3033-3139-30301bd7b033,00-0031900,SMI664332,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Justin,March-Lillard,LB,53,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3139-3939f8f8a9ca,00-0031999,MAR051467,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Geoff,Swaim,TE,87,STARTED,2018,32013030-2d30-3033-3231-343113b57f78,00-0032141,SWA047065,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Randy,Gregory,DE,94,STARTED,2018,32013030-2d30-3033-3231-3937a4fd5a6a,00-0032197,GRE789590,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Chaz,Green,G/T,79,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3232-3034868ca8ac,00-0032204,GRE118131,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Damien,Wilson,LB,57,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3232-31356a0dd6ec,00-0032215,WIL664778,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Byron,Jones,CB,31,STARTED,2018,32013030-2d30-3033-3232-33397fdd91f4,00-0032239,JON141600,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Mekale,McKay,WR,19,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3233-353145815726,00-0032351,MCK070449,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Brian,Price,DT,92,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3236-34398a6f5377,00-0032649,PRI059392,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Duke,Thomas,CB,26,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-3335b97431b1,00-0032735,THO000001,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Antwaun,Woods,NT,64,STARTED,2018,32013030-2d30-3033-3238-373151fff82f,00-0032871,WOO412059,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Ezekiel,Elliott,RB,21,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3330-343523cdc4a0,00-0033045,ELL289284,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Jihad,Ward,DT,51,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3330-3436ffc05f1f,00-0033046,WAR208421,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Anthony,Brown,CB,30,STARTED,2018,32013030-2d30-3033-3330-3437bfb29741,00-0033047,BRO266417,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Kavon,Frazier,DB,35,STARTED,2018,32013030-2d30-3033-3330-34388bed1047,00-0033048,FRA777401,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Darius,Jackson,RB,44,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3330-3439ccd92aa2,00-0033049,JAC120072,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Jaylon,Smith,LB,54,STARTED,2018,32013030-2d30-3033-3330-3532dd276afb,00-0033052,SMI390302,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Rico,Gathers,TE,80,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3330-353481c8b362,00-0033054,GAT444006,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Charles,Tapper,DE,99,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3330-373552a56662,00-0033075,TAP517782,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Dak,Prescott,QB,04,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3330-37372d13d088,00-0033077,PRE285723,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Maliek,Collins,DT,96,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3331-3331d783a007,00-0033131,COL633184,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
K.D.,Cannon,WR,81,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3333-3039cea87c14,00-0033309,CAN612240,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Dustin,Stanton,G,67,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3333-34368176a5ef,00-0033346,STA482942,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Korren,Kirven,T,61,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3334-32389f0fa570,00-0033428,KIR812361,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Damien,Mama,G,69,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3334-383385267fbb,00-0033483,MAM059326,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Daniel,Ross,DT,68,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-33358091ad01,00-0033535,ROS566775,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Taco,Charlton,DE,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-34314efa9e82,00-0033541,CHA646504,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Chidobe,Awuzie,CB,24,STARTED,2018,32013030-2d30-3033-3335-343866a1874e,00-0033548,AWU800920,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Xavier,Woods,DB,25,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3335-37391079d141,00-0033579,WOO620124,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Marquez,White,DB,39,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-38364a461ddc,00-0033586,WHI363802,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Noah,Brown,WR,85,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-393133b31ae9,00-0033591,BRO567406,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Tre'von,Johnson,LB,58,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3336-3036a3b8de66,00-0033606,JOH695851,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Blake,Jarwin,TE,89,STARTED,2018,32013030-2d30-3033-3336-353875921c11,00-0033658,JAR747520,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Lewis,Neal,DT,66,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3336-36313c334a1b,00-0033661,NEA234932,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Cooper,Rush,QB,07,STARTED,2018,32013030-2d30-3033-3336-36323ed2c1da,00-0033662,RUS046607,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Jourdan,Lewis,DB,27,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-32387c23dd10,00-0033928,LEW419597,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Lance,Lenoir,WR,14,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-3932bc184504,00-0033992,LEN392908,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Scott,Daly,LS,47,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3430-36374ec5217b,00-0034067,DAL816332,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Ricky,Jeune,WR,02,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3430-383335dd1734,00-0034083,JEU444955,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Connor,Williams,G,52,STARTED,2018,32013030-2d30-3033-3433-3532304247da,00-0034352,WIL204393,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
Dorance,Armstrong,DE,74,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-3733a459048a,00-0034373,ARM218905,Dallas Cowboys,cardinals-at-cowboys-2018-pre-3,2018-08-27T00:00:00.000Z
