firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Drew,Brees,QB,09,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3035-33318e1e348d,00-0020531,BRE229498,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
Benjamin,Watson,TE,82,STARTED,2018,32013030-2d30-3032-3239-3433af8a4c03,00-0022943,WAT311042,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
Ted,Ginn,WR,19,STARTED,2018,32013030-2d30-3032-3533-39365de71765,00-0025396,GIN403290,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
Jermon,Bushrod,T,74,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3535-313239a0d9d2,00-0025512,BUS379552,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
Max,Unger,C,60,STARTED,2018,32013030-2d30-3032-3730-32352543f970,00-0027025,UNG408916,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
Brandon,Tate,WR,87,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3730-3537eac585f2,00-0027057,TAT140853,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
Thomas,Morstead,P,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3731-3134953fb9f3,00-0027114,MOR758512,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
John,Phillips,TE,86,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3731-33391123bf69,00-0027139,PHI371340,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
George,Johnson,DE,90,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3734-393541c5d5bd,00-0027495,JOH261528,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
Michael,Hoomanawanui,TE,84,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3737-33325a3b06b9,00-0027732,HOO548774,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
Kurt,Coleman,SS,29,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3738-333546943832,00-0027835,COL295827,New Orleans Saints,cardinals-at-saints-2018-pre-2,2018-08-18T00:00:00.000Z
