firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Chase,Daniel,QB,04,STARTED,2018,32013030-2d30-3032-3635-3434e5fd94ff,00-0026544,DAN230354,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Zach,Miller,TE,86,,2018,32013030-2d30-3032-3731-32355fd46c7d,00-0027125,MIL625333,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Sherrick,McManis,DB,27,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3737-3433a73d1b32,00-0027743,MCM219811,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Prince,Amukamara,DB,20,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3739-3537922975d1,00-0027957,AMU221488,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Sam,Acho,LB,93,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3830-3431e99a7456,00-0028041,ACH678651,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Patrick,Scales,LS,48,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3832-383485d61a86,00-0028284,SCA247669,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Bradley,Sowell,OL,79,STARTED,2018,32013030-2d30-3032-3930-393117f8a988,00-0029091,SOW244611,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Matt,McCants,OL,78O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3933-30324b56f86c,00-0029302,MCC169214,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Josh,Bellamy,WR,15,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3933-31395f15b3ef,00-0029319,BEL647328,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Bobby,Massie,OL,70,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3935-32387a3c09ae,00-0029528,MAS441786,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Danny,Trevathan,LB,59,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3935-373722890118,00-0029577,TRE789054,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Akiem,Hicks,DL,96,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3936-3537d62baff7,00-0029657,HIC340209,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Benny,Cunningham,RB,30,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3937-3935b80c59ab,00-0029795,CUN106619,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
Will,Pericak,OL,73,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3030-31374faf46c0,00-0030017,PER076275,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
John,Jenkins,DL,92,STARTED,2018,32013030-2d30-3033-3030-3730d205078d,00-0030070,JEN271683,Chicago Bears,chiefs-at-bears-2018-pre-3,2018-08-25T17:00:00.000Z
