firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Johnathan,Joseph,CB,24,STARTED,2018,32013030-2d30-3032-3432-33391edddde7,00-0024239,JOS218478,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Jonathan,Weeks,LS,46,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3732-3234bf84ae94,00-0027224,WEE504348,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Joe,Webb,QB,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3737-393677199f40,00-0027796,WEB212765,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Kareem,Jackson,S,25,STARTED,2018,32013030-2d30-3032-3738-3732b0b6440e,00-0027872,JAC283467,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
J.J.,Watt,DE,99,STARTED,2018,32013030-2d30-3032-3739-34398f0874d6,00-0027949,WAT579210,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Shareece,Wright,CB,43,NOT_ACTIVE,2018,32013030-2d30-3032-3830-3237d06b4ce4,00-0028027,WRI652077,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Johnson,Bademosi,CB,23,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3930-36352099d08e,00-0029065,BAD600092,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Senio,Kelemete,G,64,STARTED,2018,32013030-2d30-3032-3935-343632832cb9,00-0029546,KEL019379,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Lamar,Miller,RB,26,STARTED,2018,32013030-2d30-3032-3936-3135277d3991,00-0029615,MIL373118,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Whitney,Mercilus,OLB,59,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-3433e2722e23,00-0029643,MER110570,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Brandon,Weeden,QB,03,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-3737d1b9b493,00-0029677,WEE221487,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Ryan,Griffin,TE,84,NOT_ACTIVE,2018,32013030-2d30-3033-3031-3038579b9acf,00-0030108,GRI293499,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Tyrann,Mathieu,S,32,STARTED,2018,32013030-2d30-3033-3034-353931f5eb98,00-0030459,MAT195206,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
DeAndre,Hopkins,WR,10,STARTED,2018,32013030-2d30-3033-3035-3634b926c47f,00-0030564,HOP161500,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Zach,Fulton,C/G,73,NOT_ACTIVE,2018,32013030-2d30-3033-3039-39373ded1aee,00-0030997,FUL770022,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Alfred,Blue,RB,28,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-3735f9bae15f,00-0031075,BLU106654,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Andre,Hal,S,29,NOT_ACTIVE,2018,32013030-2d30-3033-3130-3837dc8139ab,00-0031087,HAL004143,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Brandon,Dunn,NT,92,STARTED,2018,32013030-2d30-3033-3131-3237adf1480b,00-0031127,DUN512273,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Aaron,Colvin,CB,22,NOT_ACTIVE,2018,32013030-2d30-3033-3132-35398007ec79,00-0031259,COL801093,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Jadeveon,Clowney,DE/LB,90,STARTED,2018,32013030-2d30-3033-3133-3634b13c6c05,00-0031364,CLO535848,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Brian,Peters,ILB,52,NOT_ACTIVE,2018,32013030-2d30-3033-3134-393125150c24,00-0031491,PET095053,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Benardrick,McKinney,ILB,55,STARTED,2018,32013030-2d30-3033-3135-35337f677217,00-0031553,MCK465206,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Christian,Covington,DE,95,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3136-313994847570,00-0031619,COV546722,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Josh,Keyes,LB,49,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3138-3437e813099a,00-0031847,KEY195824,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Kendall,Lamm,T,74,STARTED,2018,32013030-2d30-3033-3139-32313432f23b,00-0031921,LAM628478,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Greg,Mancz,C/G,65,STARTED,2018,32013030-2d30-3033-3139-3233441099c2,00-0031923,MAN039930,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Angelo,Blackson,DE,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3231-30371e1a0708,00-0032107,BLA326665,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Sammie,Coates,WR,18,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3231-36366641a18b,00-0032166,COA667430,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Tyler,Ervin,RB,21,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3234-3034f880eafa,00-0032404,ERV286234,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
D.J.,Reader,NT,98,STARTED,2018,32013030-2d30-3033-3234-3234ab92c942,00-0032424,REA148116,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
Ka'imi,Fairbairn,K,07,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-3236bbf6ae25,00-0032726,FAI144264,Houston Texans,dolphins-at-texans-2018-reg-8,2018-10-26T00:20:00.000Z
