firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Chase,Daniel,QB,04,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3635-3434e5fd94ff,00-0026544,DAN230354,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Sherrick,McManis,DB,27,STARTED,2018,32013030-2d30-3032-3737-3433a73d1b32,00-0027743,MCM219811,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Prince,Amukamara,DB,20,STARTED,2018,32013030-2d30-3032-3739-3537922975d1,00-0027957,AMU221488,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Patrick,Scales,LS,48,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3832-383485d61a86,00-0028284,SCA247669,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Bradley,Sowell,OL,79,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3930-393117f8a988,00-0029091,SOW244611,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Josh,Bellamy,WR,15,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3933-31395f15b3ef,00-0029319,BEL647328,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Bobby,Massie,OL,70,STARTED,2018,32013030-2d30-3032-3935-32387a3c09ae,00-0029528,MAS441786,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Danny,Trevathan,LB,59,STARTED,2018,32013030-2d30-3032-3935-373722890118,00-0029577,TRE789054,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Akiem,Hicks,DT,96,STARTED,2018,32013030-2d30-3032-3936-3537d62baff7,00-0029657,HIC340209,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Benny,Cunningham,RB,30,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3937-3935b80c59ab,00-0029795,CUN106619,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Eric,Kush,OL,64,NOT_ACTIVE,2018,32013030-2d30-3033-3030-39343a46bc23,00-0030094,KUS182145,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Kyle,Long,G,75,STARTED,2018,32013030-2d30-3033-3034-34319d6793f6,00-0030441,LON395646,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Nicholas,Williams,DT,97,NOT_ACTIVE,2018,32013030-2d30-3033-3035-3030748e7a41,00-0030500,WIL456378,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Trey,Burton,TE,80,NOT_ACTIVE,2018,32013030-2d30-3033-3037-31306f2009da,00-0030710,BUR817654,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Cody,Parkey,K,01,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3038-3530eb245735,00-0030850,PAR471800,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Aaron,Lynch,LB,99,NOT_ACTIVE,2018,32013030-2d30-3033-3039-393353732e13,00-0030993,LYN062058,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Khalil,Mack,LB,52,STARTED,2018,32013030-2d30-3033-3130-343096316ab8,00-0031040,MAC325122,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Kyle,Fuller,DB,23,STARTED,2018,32013030-2d30-3033-3130-3431b2e4548e,00-0031041,FUL352996,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Pat,O'Donnell,P,16,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-3739cdb1623a,00-0031079,ODO667480,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Charles,Leno,OL,72,STARTED,2018,32013030-2d30-3033-3130-39359683374a,00-0031095,LEN389697,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Marcus,Williams,DB,31,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3131-3531e6237951,00-0031151,WIL430732,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Bryan,Witzmann,OL,78,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-3532231a4e1f,00-0031152,WIT821930,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Taylor,Gabriel,WR,18,STARTED,2018,32013030-2d30-3033-3132-3238c0947650,00-0031228,GAB627060,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Allen,Robinson,WR,12,STARTED,2018,32013030-2d30-3033-3134-3238120ea790,00-0031428,ROB365982,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Kevin,White,WR,11,NOT_ACTIVE,2018,32013030-2d30-3033-3135-343584aec732,00-0031545,WHI315610,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Eddie,Goldman,NT,91,STARTED,2018,32013030-2d30-3033-3135-3531580d8532,00-0031551,GOL216018,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Adrian,Amos,DB,38,STARTED,2018,32013030-2d30-3033-3135-3834a8fd34be,00-0031584,AMO568523,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Michael,Burton,FB,46,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-3935494ec245,00-0031595,BUR792195,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Daniel,Brown,TE,85,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3230-3938933f399f,00-0032098,BRO365389,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Ben,Braunecker,TE,84,STARTED,2018,32013030-2d30-3033-3236-3631bfebac03,00-0032661,BRA692421,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Roy,Robertson-Harris,DE,95,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3236-36371eb59f5d,00-0032667,ROB360907,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Cody,Whitehair,OL,65,STARTED,2018,32013030-2d30-3033-3237-36388425ad99,00-0032768,WHI617078,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Nick,Kwiatkoski,LB,44,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-3733cb0391d9,00-0032773,KWI059326,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Deon,Bush,DB,26,STARTED,2018,32013030-2d30-3033-3237-373490156395,00-0032774,BUS216856,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Jordan,Howard,RB,24,STARTED,2018,32013030-2d30-3033-3237-383013f97b82,00-0032780,HOW239418,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
DeAndre,Houston-Carson,DB,36,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-3930971ef20c,00-0032790,HOU781909,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Leonard,Floyd,LB,94,STARTED,2018,32013030-2d30-3033-3330-37321df9b2b1,00-0033072,FLO758060,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Jonathan,Bullard,DE,90,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3330-3933bea8727b,00-0033093,BUL366378,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Taquan,Mizzell,RB,33,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3333-3733d464bbff,00-0033373,MIZ812320,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Tarik,Cohen,RB,29,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3335-3536651f9951,00-0033556,COH427642,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Rashaad,Coward,OL,69,NOT_ACTIVE,2018,32013030-2d30-3033-3336-333158e412cf,00-0033631,COW323278,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Isaiah,Irving,LB,47,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3336-3335468920da,00-0033635,IRV732673,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
Eddie,Jackson,DB,39,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3033-3337-3834de464888,00-0033784,JAC158683,Chicago Bears,eagles-at-bears-2018-post-1,2019-01-06T21:40:00.000Z
