firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Vernon,Davis,TE,85,NOT_ACTIVE,2018,32013030-2d30-3032-3432-3231bd4de2d9,00-0024221,DAV785142,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Adrian,Peterson,RB,26,STARTED,2018,32013030-2d30-3032-3533-3934ceb6c025,00-0025394,PET260705,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Josh,Johnson,QB,08,STARTED,2018,32013030-2d30-3032-3633-30309d9860a0,00-0026300,JOH000001,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Mark,Sanchez,QB,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3638-3938d10b93b9,00-0026898,SAN091667,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Trent,Williams,T,71,STARTED,2018,32013030-2d30-3032-3738-3537f52a204e,00-0027857,WIL547553,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Ryan,Kerrigan,LB,91,STARTED,2018,32013030-2d30-3032-3739-3534bcfdd687,00-0027954,KER630730,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Mason,Foster,LB,54,STARTED,2018,32013030-2d30-3032-3830-32328eb8782c,00-0028022,FOS493155,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Pernell,McPhee,LB,96,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3831-303340e51c57,00-0028103,MCP426538,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Josh,Norman,CB,24,STARTED,2018,32013030-2d30-3032-3932-3835d06b9831,00-0029285,NOR291905,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Zach,Brown,LB,53,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-36364cfd1c64,00-0029566,BRO777933,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Michael,Floyd,WR,17,STARTED,2018,32013030-2d30-3032-3936-3338b45fbf5b,00-0029638,FLO764240,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Tony,Bergstrom,OL,66,STARTED,2018,32013030-2d30-3032-3936-3939a448c5fa,00-0029699,BER172402,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Ty,Nsekhe,T,79,NOT_ACTIVE,2018,32013030-2d30-3032-3937-30392ebe2880,00-0029709,NSE355964,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Dustin,Hopkins,K,03,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3030-39382742cd86,00-0030098,HOP165345,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Tress,Way,P,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3031-3430b5e6e73a,00-0030140,WAY228645,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Chris,Thompson,RB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-3034ec604bfe,00-0030404,THO499404,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
Stacy,McGee,DT,92,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-3135ced13969,00-0030515,MCG197653,Washington Redskins,eagles-at-redskins-2018-reg-17,2018-12-30T21:25:00.000Z
