firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Matt,Bryant,K,03,NOT_ACTIVE,2018,32013030-2d30-3032-3035-373844bb2525,00-0020578,BRY500226,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Matt,Schaub,QB,08,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3237-3837e8f3d1a2,00-0022787,SCH085186,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Matt,Ryan,QB,02,STARTED,2018,32013030-2d30-3032-3631-34338634c9b6,00-0026143,RYA238179,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Alex,Mack,C,51,STARTED,2018,32013030-2d30-3032-3639-3937429253e1,00-0026997,MAC273212,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Logan,Paulsen,TE,82,STARTED,2018,32013030-2d30-3032-3732-3135e8b24c00,00-0027215,PAU641214,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Ben,Garland,G,63,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3732-383239af7874,00-0027282,GAR218169,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Julio,Jones,WR,11,STARTED,2018,32013030-2d30-3032-3739-3434d4d3846d,00-0027944,JON640315,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Bruce,Carter,LB,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-37387a0caed5,00-0027978,CAR624497,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Brooks,Reed,DE,50,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-3830828270d1,00-0027980,REE154467,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Terrell,McClain,DT,99,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-30337040cfc8,00-0028003,MCC342970,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Brandon,Fusco,G,65,STARTED,2018,32013030-2d30-3032-3831-31305ba3f772,00-0028110,FUS110743,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Matt,Bosher,P,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3831-33304fbac780,00-0028130,BOS219856,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Josh,Harris,LS,47,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3838-343513058090,00-0028845,HAR000002,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Giorgio,Tavecchio,K,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3839-303781ed6e39,00-0028907,TAV164481,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Derrick,Shelby,DE,90,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3931-3131c25bc233,00-0029111,SHE238558,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Keith,Tandy,DB,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-3232dcd23d33,00-0029422,TAN126893,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Justin,Bethel,CB,28,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-3330cfc50f82,00-0029530,BET201235,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Jack,Crawford,DL,95,STARTED,2018,32013030-2d30-3032-3936-32377ccf96c2,00-0029627,CRA660264,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Mohamed,Sanu,WR,12,STARTED,2018,32013030-2d30-3032-3936-3332c617d70d,00-0029632,SAN808447,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Ryan,Schraeder,T,73,STARTED,2018,32013030-2d30-3032-3937-3836fce6aeaa,00-0029786,SCH492299,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Steven,Means,DE,56,NOT_ACTIVE,2018,32013030-2d30-3033-3033-3837d54107ee,00-0030387,MEA790667,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Kemal,Ishmael,S,36,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-323746dcf215,00-0030427,ISH415291,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Robert,Alford,CB,23,STARTED,2018,32013030-2d30-3033-3035-323867243165,00-0030528,ALF657259,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Blidi,Wreh-Wilson,CB,33,NOT_ACTIVE,2018,32013030-2d30-3033-3035-3431fc55618a,00-0030541,WRE233874,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Desmond,Trufant,CB,21,STARTED,2018,32013030-2d30-3033-3035-36324cbce92e,00-0030562,TRU381665,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Zac,Kerin,C,68,NOT_ACTIVE,2018,32013030-2d30-3033-3039-33374aa654e8,00-0030937,KER284944,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Jake,Matthews,T,70,STARTED,2018,32013030-2d30-3033-3132-373957a85229,00-0031279,MAT565555,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
Jordan,Richards,S,29,STARTED,2018,32013030-2d30-3033-3135-3539dcdf4637,00-0031559,RIC293560,Atlanta Falcons,giants-at-falcons-2018-reg-7,2018-10-23T00:15:00.000Z
