firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Josh,McCown,QB,15,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3132-3036625eba8c,00-0021206,MCC600777,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
Steve,McLendon,DL,99,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3635-36347d3950f2,00-0026564,MCL589496,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
Andre,Roberts,WR,03,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3736-393138b8a13c,00-0027691,ROB102317,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
James,Carpenter,G,77,STARTED,2018,32013030-2d30-3032-3739-3633555ea6de,00-0027963,CAR302544,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
Ben,Ijalana,T,71,,2018,32013030-2d30-3032-3739-3837a05156c8,00-0027987,IJA385627,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
Bilal,Powell,RB,29,STARTED,2018,32013030-2d30-3032-3830-36349cf1bce9,00-0028064,POW162772,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
Buster,Skrine,CB,41,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-3735279b363b,00-0028075,SKR296636,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
Terrelle,Pryor,WR,01,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3838-3235f9b1e8b0,00-0028825,PRY474541,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
Jermaine,Kearse,WR,10,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3931-3539c6b87ab9,00-0029159,KEA511674,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
Kendall,Reyes,DL,91,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3932-3536f49d2ebe,00-0029256,REY020742,New York Jets,giants-at-jets-2018-pre-3,2018-08-24T23:30:00.000Z
