firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Ryan,Fitzpatrick,QB,14,,2018,32013030-2d30-3032-3336-3832b8755c76,00-0023682,FIT792915,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Brent,Grimes,CB,24,,2018,32013030-2d30-3032-3431-3833191f5c75,00-0024183,GRI674817,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
DeSean,Jackson,WR,11,,2018,32013030-2d30-3032-3631-383993ac1996,00-0026189,JAC127681,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Evan,Smith,OL,62,,2018,32013030-2d30-3032-3637-3834ee921406,00-0026784,DIE682921,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Demar,Dotson,T,69,,2018,32013030-2d30-3032-3638-31344f92b139,00-0026814,DOT277798,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Garrison,Sanborn,LS,86,,2018,32013030-2d30-3032-3638-343482f6e91e,00-0026844,SAN042512,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Mitch,Unrein,DT,98,,2018,32013030-2d30-3032-3735-3733d09be350,00-0027573,UNR404041,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Gerald,McCoy,DT,93,,2018,32013030-2d30-3032-3738-35367fd3b152,00-0027856,MCC604879,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Jason,Pierre-Paul,DE,90,,2018,32013030-2d30-3032-3738-3637ede17c63,00-0027867,PIE587019,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Chris,Conte,S,23,,2018,32013030-2d30-3032-3830-3331b421afdb,00-0028031,CON690403,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Jacquizz,Rodgers,RB,32,,2018,32013030-2d30-3032-3830-3833aeef82a9,00-0028083,ROD369979,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Adam,Gettis,OL,72O,STARTED,2018,32013030-2d30-3032-3931-3339f3d30a69,00-0029139,GET186929,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Jerel,Worthy,DE,56,STARTED,2018,32013030-2d30-3032-3932-3537e9598e0f,00-0029257,WOR723988,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Vinny,Curry,DE,97,,2018,32013030-2d30-3032-3934-3132cdd2afbb,00-0029412,CUR528238,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Keith,Tandy,S,37,,2018,32013030-2d30-3032-3934-3232dcd23d33,00-0029422,TAN126893,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
Lavonte,David,LB,54,,2018,32013030-2d30-3032-3935-36322d7605a9,00-0029562,DAV026654,Tampa Bay Buccaneers,jaguars-at-buccaneers-2018-pre-4,2018-08-30T23:30:00.000Z
