firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Adam,Vinatieri,K,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3031-3639-3139bbb7103e,00-0016919,VIN196019,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Michael,Mitchell,S,34,NOT_ACTIVE,2018,32013030-2d30-3032-3730-32331ffaf548,00-0027023,MIT560825,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Al,Woods,DT,99,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3737-3233fca8d3d3,00-0027723,WOO401988,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Anthony,Castonzo,T,74,STARTED,2018,32013030-2d30-3032-3739-363035ad1bdc,00-0027960,CAS792239,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Jabaal,Sheard,DE,93,STARTED,2018,32013030-2d30-3032-3739-373560a75321,00-0027975,SHE039759,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Dontrelle,Inman,WR,15,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3834-3131ecbba609,00-0028411,INM264861,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Najee,Goode,LB,52,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-31382f5e3429,00-0029418,GOO217526,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
T.Y.,Hilton,WR,13,STARTED,2018,32013030-2d30-3032-3936-30385788c9a5,00-0029608,HIL775449,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Andrew,Luck,QB,12,STARTED,2018,32013030-2d30-3032-3936-363868835ca0,00-0029668,LUC524055,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Jack,Doyle,TE,84,STARTED,2018,32013030-2d30-3033-3031-3831dd11abdd,00-0030181,DOY403968,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Margus,Hunt,DT,92,STARTED,2018,32013030-2d30-3033-3034-3439956fa1bc,00-0030449,HUN320751,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Ryan,Hewitt,TE,45,NOT_ACTIVE,2018,32013030-2d30-3033-3037-383037ca5459,00-0030780,HEW205087,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Erik,Swoope,TE,86,NOT_ACTIVE,2018,32013030-2d30-3033-3038-353484bd64c2,00-0030854,SWO288111,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Ryan,Grant,WR,11,STARTED,2018,32013030-2d30-3033-3130-36387192b459,00-0031068,GRA498062,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Denico,Autry,DT/DE,96,STARTED,2018,32013030-2d30-3033-3132-353442e46153,00-0031254,AUT529722,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Pierre,Desir,CB,35,STARTED,2018,32013030-2d30-3033-3133-33316ed0ffee,00-0031331,DES373418,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Eric,Ebron,TE,85,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3133-38373c37c840,00-0031387,EBR474619,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Clayton,Geathers,S,26,STARTED,2018,32013030-2d30-3033-3135-37319b223dd5,00-0031571,GEA405166,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Mark,Glowinski,G,64,STARTED,2018,32013030-2d30-3033-3135-3831c34d7bb6,00-0031581,GLO738436,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Denzelle,Good,T/G,71,NOT_ACTIVE,2018,32013030-2d30-3033-3136-33325238cf6b,00-0031632,GOO127176,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
Corey,Moore,S,36,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3230-3530a1de1a62,00-0032050,MOO232247,Indianapolis Colts,jaguars-at-colts-2018-reg-10,2018-11-11T18:00:00.000Z
