firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Terence,Newman,CB,23,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3230-343542d9520c,00-0022045,NEW475575,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Brian,Robison,DE,96,STARTED,2018,32013030-2d30-3032-3534-383982e7210d,00-0025489,ROB744810,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Marcus,Sherels,DB,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3735-3437429c92e6,00-0027547,SHE563263,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Everson,Griffen,DE,97,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3737-3031290b02d4,00-0027701,GRI051627,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Linval,Joseph,DT,98,STARTED,2018,32013030-2d30-3032-3738-3835b8883a72,00-0027885,JOS231117,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Andrew,Sendejo,DB,34,STARTED,2018,32013030-2d30-3032-3739-3134a2365466,00-0027914,SEN095404,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Kyle,Rudolph,TE,82,STARTED,2018,32013030-2d30-3032-3739-383145dad36a,00-0027981,RUD559717,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Kai,Forbath,K,02,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3837-383792d4692c,00-0028787,FOR007550,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Tom,Compton,T,79,STARTED,2018,32013030-2d30-3032-3931-3434276838ca,00-0029144,COM663097,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Mike,Remmers,T,74,ACTIVE_DID_NOT_PLAY,2018,32013030-2d30-3032-3931-36343976525a,00-0029164,REM320232,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Ryan,Quigley,P,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-393373a8185c,00-0029493,QUI231988,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Kirk,Cousins,QB,08,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-303492e9d55e,00-0029604,COU709400,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Harrison,Smith,DB,22,STARTED,2018,32013030-2d30-3032-3936-30366a1af096,00-0029606,SMI317465,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Riley,Reiff,T,71,STARTED,2018,32013030-2d30-3032-3936-37328a375fb3,00-0029672,REI392998,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Kendall,Wright,WR,17,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3937-30389afa0566,00-0029708,WRI486076,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
Kevin,McDermott,LS,47,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3938-37393b3114c9,00-0029879,MCD193795,Minnesota Vikings,jaguars-at-vikings-2018-pre-2,2018-08-18T17:00:00.000Z
