firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Robbie,Gould,K,09,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3332-3532f5449f53,00-0023252,GOU258729,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Joe,Staley,T,74,STARTED,2018,32013030-2d30-3032-3534-3135380855dd,00-0025415,STA213196,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Pierre,Garcon,WR,15,STARTED,2018,32013030-2d30-3032-3633-34355e779676,00-0026345,GAR115573,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Earl,Mitchell,NT,90,STARTED,2018,32013030-2d30-3032-3736-3834725b1fd5,00-0027684,MIT240204,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Richard,Sherman,CB,25,STARTED,2018,32013030-2d30-3032-3830-3932d041a3bd,00-0028092,SHE669604,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Mike,Person,OL,68,STARTED,2018,32013030-2d30-3032-3831-3737e49e6b2e,00-0028177,PER822092,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Malcolm,Smith,LB,51,NOT_ACTIVE,2018,32013030-2d30-3032-3831-383090423665,00-0028180,SMI501156,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Kyle,Nelson,LS,86,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3833-37346450c956,00-0028374,NEL536534,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Garrett,Celek,TE,88,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3839-3033720f79b2,00-0028903,CEL270111,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Alfred,Morris,RB,46,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3931-34313699cd9e,00-0029141,MOR317547,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Kyle,Juszczyk,RB,44,STARTED,2018,32013030-2d30-3032-3938-39323eca43ee,00-0029892,JUS812736,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Terence,Garvin,LB,57,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3030-3333906dcbc5,00-0030033,GAR734578,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Marquise,Goodwin,WR,11,NOT_ACTIVE,2018,32013030-2d30-3033-3030-3638335382d4,00-0030068,GOO681722,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Matt,Tobin,T,64,NOT_ACTIVE,2018,32013030-2d30-3033-3031-34397b9d54b9,00-0030149,TOB395515,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Garry,Gilliam,OL,76,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3038-3939b7662934,00-0030899,GIL513679,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Cassius,Marsh,DL,54,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-373553387400,00-0031175,MAR336314,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Weston,Richburg,C/G,58,STARTED,2018,32013030-2d30-3033-3132-33388bdee7e0,00-0031238,RIC645295,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
K'Waun,Williams,CB,24,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3132-35332f3ee678,00-0031253,WIL415204,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Antone,Exum,DB,38,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3132-3637ac673509,00-0031267,EXU415291,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Jimmie,Ward,DB,20,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3132-39384eb6d8e1,00-0031298,WAR218386,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Jimmy,Garoppolo,QB,10,STARTED,2018,32013030-2d30-3033-3133-34353afe165e,00-0031345,GAR363225,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Raheem,Mostert,RB,31,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3136-3837aa36ac48,00-0031687,MOS822492,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Mark,Nzeocha,LB,53,STARTED,2018,32013030-2d30-3033-3139-3631c46341c7,00-0031961,NZE474619,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Jaquiski,Tartt,S,29,STARTED,2018,32013030-2d30-3033-3230-35376f7da0f6,00-0032057,TAR686527,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Bradley,Pinion,P,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3230-3635e6d3a8c6,00-0032065,PIN501016,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Arik,Armstead,DL,91,STARTED,2018,32013030-2d30-3033-3231-36346b09a5a9,00-0032164,ARM057964,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Laken,Tomlinson,OL,75,STARTED,2018,32013030-2d30-3033-3232-333462d79888,00-0032234,TOM687650,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
DeForest,Buckner,DL,99,STARTED,2018,32013030-2d30-3033-3233-3738a754a427,00-0032378,BUC768760,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Ronald,Blair,DL,98,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3234-31339a30f10d,00-0032413,BLA547928,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Cole,Wick,TE,89,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3235-363254416b5a,00-0032562,WIC294732,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Sheldon,Day,DL,96,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3330-31305f0a6189,00-0033010,DAY392066,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Shon,Coleman,T,78,NOT_ACTIVE,2018,32013030-2d30-3033-3330-393716349152,00-0033097,COL345946,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
Joshua,Garnett,G,65,NOT_ACTIVE,2018,32013030-2d30-3033-3331-3531fe72c30c,00-0033151,GAR340060,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
George,Kittle,TE,85,STARTED,2018,32013030-2d30-3033-3332-383818d98dc1,00-0033288,KIT388290,San Francisco 49ers,lions-at-49ers-2018-reg-2,2018-09-16T20:05:00.000Z
