firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Aaron,Rodgers,QB,12,STARTED,2018,32013030-2d30-3032-3334-35395dc60da5,00-0023459,ROD339293,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Tramon,Williams,CB/S,38,STARTED,2018,32013030-2d30-3032-3430-3631de8ced85,00-0024061,WIL545231,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Marcedes,Lewis,TE,89,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3432-34333951f04d,00-0024243,LEW492053,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Mason,Crosby,K,02,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3535-3830b71d2a71,00-0025580,CRO369933,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Clay,Matthews,LB,52,STARTED,2018,32013030-2d30-3032-3730-30322df5b50f,00-0027002,MAT538690,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Jimmy,Graham,TE,80,STARTED,2018,32013030-2d30-3032-3736-39363e3fa7c9,00-0027696,GRA207087,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Bryan,Bulaga,T,75,STARTED,2018,32013030-2d30-3032-3738-3735579bc4cb,00-0027875,BUL062007,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Lance,Kendricks,TE,84,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-3835275a91dc,00-0027985,KEN102780,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Randall,Cobb,WR,18,STARTED,2018,32013030-2d30-3032-3830-303218eca9b5,00-0028002,COB365535,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Eddie,Pleasant,S,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-323081ef80b3,00-0029520,PLE221488,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
David,Bakhtiari,T,69,STARTED,2018,32013030-2d30-3033-3030-3734bc69065d,00-0030074,BAK787653,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Lane,Taylor,G,65,STARTED,2018,32013030-2d30-3033-3032-3733d25bc395,00-0030273,TAY501908,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Justin,McCray,G,64,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3037-3932ce02b2d4,00-0030792,MCC669589,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Corey,Linsley,C,63,STARTED,2018,32013030-2d30-3033-3130-3139d8e2428b,00-0031019,LIN775645,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Bashaud,Breeland,CB,26,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-353214e9421d,00-0031052,BRE183598,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Kapri,Bibbs,RB,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-3032b4b8318d,00-0031102,BIB097874,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Davante,Adams,WR,17,NOT_ACTIVE,2018,32013030-2d30-3033-3133-383188f79eec,00-0031381,ADA218591,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Jake,Kumerow,WR,16,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3137-3837990186b1,00-0031787,KUM425791,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Antonio,Morrison,LB,44,STARTED,2018,32013030-2d30-3033-3234-30363dc9c374,00-0032406,MOR564646,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Blake,Martinez,LB,50,STARTED,2018,32013030-2d30-3033-3234-303834087ca1,00-0032408,MAR776230,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Dean,Lowry,DL,94,STARTED,2018,32013030-2d30-3033-3234-3132b094848f,00-0032412,LOW617631,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Kentrell,Brice,S,29,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3236-32383c93a9d5,00-0032628,BRI069797,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Reggie,Gilbert,LB,93,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3236-333367a3d5d9,00-0032633,GIL124484,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
Jason,Spriggs,T,78,NOT_ACTIVE,2018,32013030-2d30-3033-3237-3636c53103dd,00-0032766,SPR150252,Green Bay Packers,lions-at-packers-2018-reg-17,2018-12-30T18:00:00.000Z
