firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Sebastian,Janikowski,K,11,PLAYER_SUBSTITUTE,2018,32013030-2d30-3031-3936-3436cd59f424,00-0019646,JAN400354,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
Duane,Brown,T,76,STARTED,2018,32013030-2d30-3032-3631-3636be82b489,00-0026166,BRO408217,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
Ed,Dickson,TE,84,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3736-37356052cacb,00-0027675,DIC709336,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
K.J.,Wright,LB,50,NOT_ACTIVE,2018,32013030-2d30-3032-3830-333799913aca,00-0028037,WRI487649,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
Doug,Baldwin,WR,89,STARTED,2018,32013030-2d30-3032-3834-3334702cd8bb,00-0028434,BAL312014,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
J.R.,Sweezy,G,64,STARTED,2018,32013030-2d30-3032-3931-3436d573f04a,00-0029146,SWE678847,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
Bobby,Wagner,LB,54,STARTED,2018,32013030-2d30-3032-3932-35359bbd64bb,00-0029255,WAG236381,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
Russell,Wilson,QB,03,STARTED,2018,32013030-2d30-3032-3932-363323eefb5c,00-0029263,WIL777781,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
Neiko,Thorpe,CB,23,NOT_ACTIVE,2018,32013030-2d30-3032-3933-3239b633fb97,00-0029329,THO820235,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
Bradley,McDougald,SS,30,STARTED,2018,32013030-2d30-3033-3031-3631ce4b2961,00-0030161,MCD722675,Seattle Seahawks,packers-at-seahawks-2018-reg-11,2018-11-16T01:20:00.000Z
