firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Lorenzo,Alexander,OLB,57,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3332-3539983eed03,00-0023259,ALE509608,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Kyle,Williams,NT,95,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3433-3438f3be748d,00-0024348,WIL415284,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Stephen,Hauschka,K,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3539-34345266e5e5,00-0025944,HAU342462,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Ramon,Humber,OLB,50,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3636-373238fcbe8b,00-0026672,HUM029529,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Vontae,Davis,CB,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3730-3031d27b784f,00-0027001,DAV786545,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
LeSean,McCoy,RB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3730-3239509c985a,00-0027029,MCC620232,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Rafael,Bush,DB,20,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3731-3935645f0d3d,00-0027195,BUS288052,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Chris,Ivory,RB,33,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3735-33312117c671,00-0027531,IVO253611,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Vladimir,Ducasse,G,62,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3736-3637cc6f2c5e,00-0027667,DUC019774,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Marshall,Newhouse,T,71,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3737-36382c689413,00-0027768,NEW220274,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Jerry,Hughes,DE,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3738-383180d4172d,00-0027881,HUG532081,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Taiwan,Jones,RB,26,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-363385ab36a6,00-0028063,JON731670,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Jeremy,Kerley,WR,14,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-39318b59324c,00-0028091,KER321479,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Charles,Clay,TE,85,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3831-313217c3fa36,00-0028112,CLA715825,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Andre,Holmes,WR,18,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3832-36333b0547bc,00-0028263,HOL497389,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Patrick,DiMarco,RB,42,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3835-3831a6a1a466,00-0028581,DIM110572,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Julian,Stanford,LB,51,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3930-3631896fc029,00-0029061,STA425500,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Kelcie,McCray,DB,37,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3931-30371d74795c,00-0029107,MCC669738,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Rod,Streater,WR,81,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3931-3239b7e5cd2c,00-0029129,STR304414,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Travaris,Cadet,RB,39,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3932-3035b61cde07,00-0029205,CAD290360,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
John,Hughes,DT,91,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3932-3636bb6e0a50,00-0029266,HUG532670,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Keenan,Robinson,LB,48,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-34353e5124de,00-0029545,ROB591898,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
Jordan,Mills,T,79,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3030-3436998d8081,00-0030046,MIL706804,Buffalo Bills,panthers-at-bills-2018-pre-1,2018-08-09T23:00:00.000Z
