firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Ben,Roethlisberger,QB,07,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3239-3234f41ff7f7,00-0022924,ROE750381,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Ramon,Foster,G,73,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3635-3631288e45d1,00-0026561,FOS543693,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Darrius,Heyward-Bey,WR,88,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3639-383382f26efa,00-0026983,HEY279111,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Morgan,Burnett,S,42,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3736-373610c584f3,00-0027676,BUR426788,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Antonio,Brown,WR,84,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3737-393324cab550,00-0027793,BRO000001,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Joe,Haden,CB,23,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3738-3630d66ee8af,00-0027860,HAD357325,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Tyson,Alualu,DE,94,STARTED,2018,32013030-2d30-3032-3738-3632acfd1559,00-0027862,ALU059326,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Maurkice,Pouncey,C,53,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3738-3730405fe0c7,00-0027870,POU550260,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Cameron,Heyward,DT,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-3639abccb9ef,00-0027969,HEY271611,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Marcus,Gilbert,OT,77,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-30311696931e,00-0028001,GIL115946,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Stevan,Ridley,RB,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-3131eef5fc17,00-0028011,RID658759,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
L.J.,Fort,LB,54,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3839-33321717a543,00-0028932,FOR595356,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Coty,Sensabaugh,CB,24,STARTED,2018,32013030-2d30-3032-3935-32391736e6f1,00-0029529,SEN455116,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
David,DeCastro,G,66,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-3738bc13a8a0,00-0029678,DEC345732,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Jordan,Dangerfield,S,37,STARTED,2018,32013030-2d30-3033-3030-32335ef0885c,00-0030023,DAN230284,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Jon,Bostic,LB,51,STARTED,2018,32013030-2d30-3033-3030-3634ae6893cd,00-0030064,BOS528427,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Vince,Williams,LB,98,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-33342071e796,00-0030434,WIL554116,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Vance,McDonald,TE,89,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-373051aa358e,00-0030470,MCD589658,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Le'Veon,Bell,RB,26,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-3936441ea1c4,00-0030496,BEL474300,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Justin,Hunter,WR,11,STARTED,2018,32013030-2d30-3033-3035-323154749213,00-0030521,HUN711562,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Landry,Jones,QB,03,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-32348f8bd074,00-0030524,JON565403,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Alejandro,Villanueva,OT,78,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3036-343841830da1,00-0030648,VIL407040,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Roosevelt,Nix,FB,45,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3037-34313e0b816e,00-0030741,NIX511473,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Dashaun,Phillips,CB,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3039-36339d6bc8ca,00-0030963,PHI141090,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Xavier,Grimble,TE,85,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-33357849f066,00-0031035,GRI662547,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Nat,Berhe,S,31,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-37306580945f,00-0031070,BER174739,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Chris,Boswell,K,09,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-3336ea86b338,00-0031136,BOS743355,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Matt,Feiler,OT,71,STARTED,2018,32013030-2d30-3033-3131-3432416c366b,00-0031142,FEI526303,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Daniel,McCullers,DT,93,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-3933b0789f4a,00-0031193,MCC732916,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Fitzgerald,Toussaint,RB,33,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3133-333234d4452f,00-0031332,TOU424291,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Stephon,Tuitt,DE,91,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3134-3132ea760808,00-0031412,TUI753113,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Jordan,Berry,P,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3135-30326b699480,00-0031502,BER557478,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Leterrius,Walton,DE,96,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3136-303716fd73bc,00-0031607,WAL808582,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Jake,Rodgers,OT,68,STARTED,2018,32013030-2d30-3033-3136-3231db90a93e,00-0031621,ROD371028,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
B.J.,Finney,C/G,67,STARTED,2018,32013030-2d30-3033-3137-3739cf340b11,00-0031779,FIN600441,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Lavon,Hooks,DE,95,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3138-3332322a65d6,00-0031832,HOO430120,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Matt,Wile,P,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3138-37362e8bf7b3,00-0031876,WIL048868,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Anthony,Chickillo,LB,56,STARTED,2018,32013030-2d30-3033-3139-3536d2405a66,00-0031956,CHI218488,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
Jesse,James,TE,81,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3231-333598f571f0,00-0032135,JAM239797,Pittsburgh Steelers,panthers-at-steelers-2018-pre-4,2018-08-30T23:30:00.000Z
