firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Phil,Dawson,K,04,NOT_ACTIVE,2018,32013030-2d30-3030-3430-3931f3af5642,00-0004091,DAW705989,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Andy,Lee,P,02,,2018,32013030-2d30-3032-3238-32349b479eae,00-0022824,LEE008195,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Larry,Fitzgerald,WR,11,STARTED,2018,32013030-2d30-3032-3239-323176c2a1fa,00-0022921,FIT437493,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Antoine,Bethea,S,41,STARTED,2018,32013030-2d30-3032-3434-3231947802f6,00-0024421,BET074391,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Andre,Smith,OL,71,STARTED,2018,32013030-2d30-3032-3639-38324df48f4b,00-0026982,SMI038279,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
John,Phillips,TE,82,,2018,32013030-2d30-3032-3731-33391123bf69,00-0027139,PHI371340,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Corey,Peters,DT,98,STARTED,2018,32013030-2d30-3032-3736-383628cbcfd8,00-0027686,PET099667,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Mike,Iupati,OL,76,STARTED,2018,32013030-2d30-3032-3738-3639a340a0f4,00-0027869,IUP059326,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Jermaine,Gresham,TE,84,STARTED,2018,32013030-2d30-3032-3738-373367ff4407,00-0027873,GRE819895,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Patrick,Peterson,CB,21,STARTED,2018,32013030-2d30-3032-3739-3433ed8bd872,00-0027943,PET415511,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Josh,Bynes,LB,57,STARTED,2018,32013030-2d30-3032-3832-373899cdea9b,00-0028278,BYN301611,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Aaron,Brewer,LS,46,,2018,32013030-2d30-3032-3839-3436d6117ece,00-0028946,BRE611741,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Derrick,Coleman,FB,32,STARTED,2018,32013030-2d30-3032-3930-36389397758a,00-0029068,COL248659,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Leonard,Johnson,DB,27,,2018,32013030-2d30-3032-3930-3837cc6fd5b1,00-0029087,JOH399760,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Chandler,Jones,DE,55,STARTED,2018,32013030-2d30-3032-3935-383530790f3b,00-0029585,JON157557,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Oday,Aboushi,OL,70,STARTED,2018,32013030-2d30-3033-3030-3833a3a178ec,00-0030083,ABO652601,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Benson,Mayowa,DE,91,,2018,32013030-2d30-3033-3033-383070c8a327,00-0030380,MAY692147,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
Gerald,Hodges,LB,51,,2018,32013030-2d30-3033-3033-38352da01f4b,00-0030385,HOD406062,Arizona Cardinals,raiders-at-cardinals-2018-reg-11,2018-11-18T21:05:00.000Z
