firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Derrick,Johnson,LB,56,STARTED,2018,32013030-2d30-3032-3334-343994809b52,00-0023449,JOH202085,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Mike,Nugent,K,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3334-3832daf7a323,00-0023482,NUG461506,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Donald,Penn,T,72,STARTED,2018,32013030-2d30-3032-3338-3934dd83e74d,00-0023894,PEN244635,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Frostee,Rucker,DT,98,STARTED,2018,32013030-2d30-3032-3433-303655aa2236,00-0024306,RUC531571,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Marshawn,Lynch,RB,24,STARTED,2018,32013030-2d30-3032-3533-39391f785c8e,00-0025399,LYN442976,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Leon,Hall,CB,29,STARTED,2018,32013030-2d30-3032-3534-3035beae69f5,00-0025405,HAL432931,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Reggie,Nelson,S,27,STARTED,2018,32013030-2d30-3032-3534-30382bb193b4,00-0025408,NEL617002,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Dominique,Rodgers-Cromartie,CB,45,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3631-3536f8b6d5ad,00-0026156,ROD616216,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Jordy,Nelson,WR,82,STARTED,2018,32013030-2d30-3032-3631-3736d63ba863,00-0026176,NEL517441,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Jared,Cook,TE,87,STARTED,2018,32013030-2d30-3032-3730-3631724728ba,00-0027061,COO152641,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
Brandon,LaFell,WR,19,NOT_ACTIVE,2018,32013030-2d30-3032-3736-38313a4cc13f,00-0027681,LAF184731,Oakland Raiders,rams-at-raiders-2018-reg-1,2018-09-11T02:20:00.000Z
