firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Calais,Campbell,DL,93,STARTED,2018,32013030-2d30-3032-3631-3930796ca691,00-0026190,CAM208843,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Jermey,Parnell,OL,78,NOT_ACTIVE,2018,32013030-2d30-3032-3638-3339e5d8a69d,00-0026839,PAR613767,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Matt,Overton,LS,45,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3731-3837bbbf8f15,00-0027187,OVE674964,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Marcell,Dareus,DT,99,STARTED,2018,32013030-2d30-3032-3739-34313411b1b8,00-0027941,DAR319542,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Kai,Forbath,K,02,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3837-383792d4692c,00-0028787,FOR007550,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Tashaun,Gipson,S,39,STARTED,2018,32013030-2d30-3032-3839-3234cdc19607,00-0028924,GIP543222,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Malik,Jackson,DT,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-3638deee64dd,00-0029568,JAC373912,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Cody,Davis,S,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3937-36348a112b3e,00-0029764,DAV247918,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Lerentee,McCray,DE,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3937-39394b7b7c7f,00-0029799,MCC670331,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Patrick,Omameh,OL,77,STARTED,2018,32013030-2d30-3032-3938-3839b8882636,00-0029889,OMA675538,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Abry,Jones,DT,95,STARTED,2018,32013030-2d30-3032-3939-34365bdd84b7,00-0029946,JON026672,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
Tommy,Bohanon,FB,40,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3031-313249f67e4f,00-0030112,BOH116572,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
A.J.,Bouye,CB,21,STARTED,2018,32013030-2d30-3033-3032-3238414cf97a,00-0030228,BOU651714,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
D.J.,Hayden,CB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-37326cbdbde9,00-0030572,HAY031145,Jacksonville Jaguars,redskins-at-jaguars-2018-reg-15,2018-12-16T18:00:00.000Z
