firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Jason,Peters,T,71,,2018,32013030-2d30-3032-3235-33311e2f3ae1,00-0022531,PET150539,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Darren,Sproles,RB,43,,2018,32013030-2d30-3032-3335-3634a4a97bd6,00-0023564,SPR711296,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Haloti,Ngata,DT,94,,2018,32013030-2d30-3032-3432-323783a41c33,00-0024227,NGA622937,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Corey,Graham,S,24,,2018,32013030-2d30-3032-3535-3535b3467cb9,00-0025555,GRA137223,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Chris,Long,DE,56,,2018,32013030-2d30-3032-3631-3432365b9cf8,00-0026142,LON213256,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Michael,Bennett,DE,77,,2018,32013030-2d30-3032-3636-313817d20fee,00-0026618,BEN384391,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Mike,Wallace,WR,14,,2018,32013030-2d30-3032-3639-30312aa87647,00-0026901,WAL468678,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Malcolm,Jenkins,FS,27,,2018,32013030-2d30-3032-3639-39302fb5c38b,00-0026990,JEN372222,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Chris,Maragos,S,42,,2018,32013030-2d30-3032-3733-3738fcba1eb6,00-0027378,MAR003549,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Brandon,Graham,DE,55,,2018,32013030-2d30-3032-3738-36355d1674ee,00-0027865,GRA130064,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Stefen,Wisniewski,C,61,,2018,32013030-2d30-3032-3739-3836917fbb13,00-0027986,WIS575406,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Jason,Kelce,C,62,,2018,32013030-2d30-3032-3831-323921ba2395,00-0028129,KEL008305,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Kamar,Aiken,WR,81,,2018,32013030-2d30-3032-3834-393732f4dfbd,00-0028497,AIK246111,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Rodney,McLeod,DB,23,,2018,32013030-2d30-3032-3838-39398c545840,00-0028899,MCL709174,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Alshon,Jeffery,WR,17,,2018,32013030-2d30-3032-3931-33376f5ae4ed,00-0029137,JEF498860,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Nigel,Bradham,LB,53,,2018,32013030-2d30-3032-3932-373263884bcf,00-0029272,BRA104685,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Nick,Foles,QB,09,,2018,32013030-2d30-3032-3935-3637b84f8e70,00-0029567,FOL058566,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Fletcher,Cox,DT,91,,2018,32013030-2d30-3032-3936-35338d6f3da5,00-0029653,COX200177,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Brandon,Brooks,G,79,,2018,32013030-2d30-3032-3936-37399e1d57a3,00-0029679,BRO118473,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
Paul,Worrilow,LB,48D,,2018,32013030-2d30-3032-3937-393280996fad,00-0029792,WOR678863,Philadelphia Eagles,steelers-at-eagles-2018-pre-1,2018-08-09T23:00:00.000Z
