firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Aaron,Rodgers,QB,12,STARTED,2018,32013030-2d30-3032-3334-35395dc60da5,00-0023459,ROD339293,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Tramon,Williams,CB,38,STARTED,2018,32013030-2d30-3032-3430-3631de8ced85,00-0024061,WIL545231,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Marcedes,Lewis,TE,89,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3432-34333951f04d,00-0024243,LEW492053,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Mason,Crosby,K,02,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3535-3830b71d2a71,00-0025580,CRO369933,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Clay,Matthews,LB,52,STARTED,2018,32013030-2d30-3032-3730-30322df5b50f,00-0027002,MAT538690,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Jimmy,Graham,TE,80,STARTED,2018,32013030-2d30-3032-3736-39363e3fa7c9,00-0027696,GRA207087,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Bryan,Bulaga,T,75,STARTED,2018,32013030-2d30-3032-3738-3735579bc4cb,00-0027875,BUL062007,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Muhammad,Wilkerson,DL,96,STARTED,2018,32013030-2d30-3032-3739-363889c0289b,00-0027968,WIL078350,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Lance,Kendricks,TE,84,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-3835275a91dc,00-0027985,KEN102780,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Randall,Cobb,WR,18,STARTED,2018,32013030-2d30-3032-3830-303218eca9b5,00-0028002,COB365535,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
Davon,House,CB,31,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-36397f67c6d7,00-0028069,HOU242346,Green Bay Packers,titans-at-packers-2018-pre-1,2018-08-10T00:00:00.000Z
