firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Domata,Peko,NT,94,STARTED,2018,32013030-2d30-3032-3433-3338a2e747ba,00-0024338,PEK461869,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Clinton,McDonald,DT,98,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3639-363417260eec,00-0026964,MCD242013,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Darian,Stewart,FS,26,STARTED,2018,32013030-2d30-3032-3732-3536da1e6907,00-0027256,STE755545,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Tramaine,Brock,CB,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3733-3735cd38f2bb,00-0027375,BRO052785,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Jared,Veldheer,C,66,STARTED,2018,32013030-2d30-3032-3736-37344e470d13,00-0027674,VEL116302,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Emmanuel,Sanders,WR,10,STARTED,2018,32013030-2d30-3032-3736-383548509814,00-0027685,SAN295989,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Demaryius,Thomas,WR,88,STARTED,2018,32013030-2d30-3032-3738-3734e1cdacfa,00-0027874,THO095855,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Von,Miller,LB,58,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-3430be72e8de,00-0027940,MIL597654,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Chris,Harris,DB,25,STARTED,2018,32013030-2d30-3032-3832-32341c42a0aa,00-0028224,HAR349333,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Case,Keenum,QB,04,STARTED,2018,32013030-2d30-3032-3839-383680011105,00-0028986,KEE690598,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Ronald,Leary,G,65,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3930-3130c0b1958f,00-0029010,LEA610932,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Marquette,King,P,01,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3931-323365557167,00-0029123,KIN574975,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Derek,Wolfe,DT,95,STARTED,2018,32013030-2d30-3032-3935-38362cb03b5a,00-0029586,WOL309455,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Brandon,Marshall,LB,54,STARTED,2018,32013030-2d30-3032-3936-3230d4d9c901,00-0029620,MAR373584,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Brandon,McManus,K,08,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3938-323246544812,00-0029822,MCM226186,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Stansly,Maponga,DE,59,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-3235b881614e,00-0030425,MAP697687,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Menelik,Watson,T,75,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-373911dcce58,00-0030579,WAT459907,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Casey,Kreiter,LS,42,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3039-35376bceef9e,00-0030957,KRE233600,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Shaquil,Barrett,LB,48,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-3031dc60c1d2,00-0031101,BAR645290,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Zach,Kerr,NT,92,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-30358a9442d4,00-0031105,KER593782,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Corey,Brown,WR,05,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-3138aae58913,00-0031118,BRO356941,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Shelby,Harris,DE,96,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3132-3730cec37d9d,00-0031270,HAR536152,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Cyrus,Kouandjio,T,79,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3133-33352a587859,00-0031335,KOU059326,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Matt,Paradis,C,61,STARTED,2018,32013030-2d30-3033-3133-34394f107e3b,00-0031349,PAR002722,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Bradley,Roby,DB,29,STARTED,2018,32013030-2d30-3033-3133-3732e5391a03,00-0031372,ROB805749,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
Todd,Davis,LB,51,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3134-32375c6256e4,00-0031427,DAV768914,Denver Broncos,vikings-at-broncos-2018-pre-1,2018-08-12T01:05:00.000Z
