firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Delanie,Walker,TE,82,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3433-38399dd62eb4,00-0024389,WAL115671,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Brett,Kern,P,06,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3538-3235a1e18149,00-0025825,KER326640,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Wesley,Woodyard,LB,59,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3538-3238c70ef469,00-0025828,WOO711929,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Ryan,Succop,K,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3639-36388b39c294,00-0026968,SUC073828,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Brian,Orakpo,OLB,98,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3639-38394a159baf,00-0026989,ORA355963,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kendrick,Lewis,S,28,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3737-333651dbebd1,00-0027736,LEW430412,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Derrick,Morgan,OLB,91,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3738-363840a7a9a1,00-0027868,MOR161260,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Blaine,Gabbert,QB,07,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-34386d7e96d3,00-0027948,GAB221145,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Jurrell,Casey,DT,99,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-3135e8634a8a,00-0028015,CAS224804,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Luke,Stocker,TE,88,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-34324b72e210,00-0028042,STO088140,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Dion,Lewis,RB,33O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3830-38378fb2c29a,00-0028087,LEW218646,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Beau,Brinkley,LS,48O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3931-333484cf3b24,00-0029134,BRI416479,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Ben,Jones,C,60,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-3133579fc443,00-0029413,JON078067,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Dennis,Kelly,T/G,71,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-31398e3f29dc,00-0029419,KEL539857,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Rishard,Matthews,WR,18,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-38309e9dc6f3,00-0029580,MAT576281,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Daren,Bates,LB,53,STARTED,2018,32013030-2d30-3032-3937-3934ca21c658,00-0029794,BAT105064,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Nick,Williams,WR,14,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3938-3438a2243b1a,00-0029848,WIL456782,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Will,Compton,LB,51,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3938-36392d72fca1,00-0029869,COM673597,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Steven,Terrell,DB,45D,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3939-3538bc818908,00-0029958,TER431038,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Josh,Kline,G,64,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3939-393242273012,00-0029992,KLI510348,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Brynden,Trawick,S,41,STARTED,2018,32013030-2d30-3033-3030-32302e2cc58d,00-0030020,TRA546413,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kenny,Vaccaro,S,30,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3030-3630698f0d3e,00-0030060,VAC079101,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
David,King,DE,95,STARTED,2018,32013030-2d30-3033-3031-3231c807fabd,00-0030121,KIN371626,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Demontre,Hurst,DB,20,STARTED,2018,32013030-2d30-3033-3032-3735b1fae90a,00-0030275,HUR492348,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Logan,Ryan,CB,26,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-3131ce277ef2,00-0030411,RYA237161,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Bennie,Logan,DL,96,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-30376ccae8d1,00-0030507,LOG113260,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
David,Fluellen,RB,32O,STARTED,2018,32013030-2d30-3033-3037-31314d7f8a5c,00-0030711,FLU088852,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
DaQuan,Jones,DL,90,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-3534fc3bc8b2,00-0031054,JON200565,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kevin,Pamphile,G/T,66,STARTED,2018,32013030-2d30-3033-3131-3832c6e19b34,00-0031182,PAM490782,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Malcolm,Butler,CB,21,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3132-313828503352,00-0031218,BUT474917,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Julius,Warmsley,DE,72,STARTED,2018,32013030-2d30-3033-3132-3235d3b4692a,00-0031225,WAR431675,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Xavier,Su'a-Filo,G,76,STARTED,2018,32013030-2d30-3033-3134-31305656911d,00-0031410,SUA207644,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Taylor,Lewan,T,77,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3134-34324d6f222e,00-0031442,LEW002883,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Jerome,Cunningham,TE,89,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3134-36325aaed290,00-0031462,CUN460050,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Tony,Washington,OLB,57,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3139-33313f0c4367,00-0031931,WAS778332,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Darius,Jennings,WR,15,STARTED,2018,32013030-2d30-3033-3139-3732a95a7b05,00-0031972,JEN465565,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Tim,Semisch,TE,85,STARTED,2018,32013030-2d30-3033-3230-30368a152ba1,00-0032006,SEM504298,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Quinton,Spain,G,67,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3230-34336440315d,00-0032043,SPA236508,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Laurence,Gibson,T,79,STARTED,2018,32013030-2d30-3033-3231-3535966c8fce,00-0032155,GIB695437,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Cody,Wichmann,OL,68,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3232-343733e48c10,00-0032247,WIC179616,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Marcus,Mariota,QB,08,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3232-363844a90db1,00-0032268,MAR186347,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kamalei,Correa,LB,46,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3233-38364cb18555,00-0032386,COR649558,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Brandon,Shippen,WR,12,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3236-32351fdc7ff7,00-0032625,SHI503539,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Austin,Johnson,DL,94,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-36337ce2b9d3,00-0032763,JOH064658,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Derrick,Henry,RB,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-3634214e1686,00-0032764,HEN602843,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Tajae,Sharpe,WR,19,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-3738a2da1512,00-0032778,SHA495155,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
LeShaun,Sims,CB,36,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3237-38332d50b627,00-0032783,SIM767909,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Aaron,Wallace,OLB,52,STARTED,2018,32013030-2d30-3033-3237-3939153c5ce3,00-0032799,WAL400144,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Tyler,Marz,T,69,STARTED,2018,32013030-2d30-3033-3238-36375e35f792,00-0032867,MAR826658,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kenneth,Durden,DB,38D,STARTED,2018,32013030-2d30-3033-3239-3331a7b70785,00-0032931,DUR165340,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Trey,Caldwell,DB,39D,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3239-37382a93479f,00-0032978,CAL309421,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Jack,Conklin,T,78,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3330-3537603b81d2,00-0033057,CON183999,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kevin,Byard,S,31,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3331-33328de5d1d5,00-0033132,BYA251361,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Jeff,Knox,LB,48D,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3331-3931d39fb77f,00-0033191,KNO559320,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Jason,Thompson,S,32D,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3333-393649c35739,00-0033396,THO592181,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Anthony,Firkser,TE,86,STARTED,2018,32013030-2d30-3033-3334-3535f4be2829,00-0033455,FIR355963,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Francis,Kallon,DE,93,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3334-39331abdc126,00-0033493,KAL543166,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Lenard,Tillery,RB,35O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3337-3632adac34bc,00-0033762,TIL189981,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Corey,Levin,C/G,62,STARTED,2018,32013030-2d30-3033-3337-393313789272,00-0033793,LEV584781,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Josh,Carraway,OLB,44,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3337-39344ca3326a,00-0033794,CAR447528,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Jonnu,Smith,TE,81,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3338-3538ed0401c6,00-0033858,SMI443054,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Corey,Davis,WR,84,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3338-3731ec0301e3,00-0033871,DAV247957,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Adoree',Jackson,CB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3338-3738445ca209,00-0033878,JAC014782,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Taywan,Taylor,WR,13,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-3131fdbe6402,00-0033911,TAY716250,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Jayon,Brown,LB,55,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3339-35341d14dda8,00-0033954,BRO486545,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Dane,Cruikshank,DB,29,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3433-38397a2b855f,00-0034389,CRU129724,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Luke,Falk,QB,11,STARTED,2018,32013030-2d30-3033-3434-3132c61d53c3,00-0034412,FAL452491,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Nyles,Morgan,LB,47,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3435-3935705c5360,00-0034595,MOR000000,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Austin,Barnard,K/P,03,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-35316588b395,00-0034651,BAR225281,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Cameron,Batson,WR,17,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3532c43ab832,00-0034652,BAT295535,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Deontay,Burnett,WR,80,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-353328746abb,00-0034653,BUR406293,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Dalyn,Dawkins,RB,39O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-35346024a24e,00-0034654,DAW054073,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Matt,Dickerson,DE,92,STARTED,2018,32013030-2d30-3033-3436-3537c1810dda,00-0034657,DIC281705,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Nico,Falah,C,73,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-35388df1e17a,00-0034658,FAL105154,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Sharif,Finch,OLB,56,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3539388aa98a,00-0034659,FIN170565,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Rico,Gafford,CB,40,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3630749bb75e,00-0034660,GAF633060,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Joshua,Kalu,DB,33D,STARTED,2018,32013030-2d30-3033-3436-36322cae820d,00-0034662,KAL718106,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Elijah,Nkansah,T,70O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3634a6150204,00-0034664,NKA458455,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Mike,Ramsay,DT,70D,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3635e8b4e2e3,00-0034665,RAM183405,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Devin,Ross,WR,83,STARTED,2018,32013030-2d30-3033-3436-36373b75c6ff,00-0034667,ROS597051,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Aaron,Stinnie,G,61,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-36381f077d36,00-0034668,STI628067,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Jordan,Veasy,WR,87,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3639e3b2745f,00-0034669,VEA649935,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Akrum,Wadley,RB,38O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3730311e8375,00-0034670,WAD768286,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Damon,Webb,S,35D,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-373171250aaf,00-0034671,WEB106572,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Ethan,Wolf,TE,45O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3436-3732dafdc924,00-0034672,WOL115032,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Tobenna,Okeke,OLB,49,STARTED,2018,32013030-2d30-3033-3437-31394a02046f,00-0034719,OKE343963,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Robert,Spillane,LB,42,STARTED,2018,32013030-2d30-3033-3437-3230523a9f56,00-0034720,SPI329627,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Rashaan,Evans,LB,54,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3437-343354482c85,00-0034743,EVA617192,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Harold,Landry,OLB,58,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3438-32386190e655,00-0034828,LAN159704,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Du'Vonta,Lampkin,DL,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3438-373336a37933,00-0034873,LAM765431,Tennessee Titans,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Terence,Newman,CB,23,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3230-343542d9520c,00-0022045,NEW475575,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Brian,Robison,DE,96,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3534-383982e7210d,00-0025489,ROB744810,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Marcus,Sherels,DB,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3735-3437429c92e6,00-0027547,SHE563263,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Everson,Griffen,DE,97,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3737-3031290b02d4,00-0027701,GRI051627,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Linval,Joseph,DT,98,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3738-3835b8883a72,00-0027885,JOS231117,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Andrew,Sendejo,DB,34,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-3134a2365466,00-0027914,SEN095404,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kyle,Rudolph,TE,82,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-383145dad36a,00-0027981,RUD559717,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Tom,Compton,T,79,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3931-3434276838ca,00-0029144,COM663097,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Mike,Remmers,T,74,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3931-36343976525a,00-0029164,REM320232,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
George,Iloka,S,28,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3932-3135fd8ddad9,00-0029215,ILO355964,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Ryan,Quigley,P,04,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3934-393373a8185c,00-0029493,QUI231988,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kirk,Cousins,QB,08,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-303492e9d55e,00-0029604,COU709400,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Harrison,Smith,DB,22,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-30366a1af096,00-0029606,SMI317465,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Riley,Reiff,T,71,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-37328a375fb3,00-0029672,REI392998,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kendall,Wright,WR,17,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3937-30389afa0566,00-0029708,WRI486076,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Kevin,McDermott,LS,47,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3938-37393b3114c9,00-0029879,MCD193795,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Adam,Thielen,WR,19,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3030-3335960ad201,00-0030035,THI510348,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Tavarres,King,WR,12,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3030-3931ca8e807e,00-0030091,KIN640376,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Latavius,Murray,RB,25,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-3133a7a74674,00-0030513,MUR671046,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
Sheldon,Richardson,DT,93,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-3733d0487351,00-0030573,RIC621130,Minnesota Vikings,vikings-at-titans-2018-pre-4,2018-08-31T00:00:00.000Z
