firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Joe,Flacco,QB,05,STARTED,2019,32013030-2d30-3032-3631-3538c6a10853,00-0026158,FLA009602,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Emmanuel,Sanders,WR,10,STARTED,2019,32013030-2d30-3032-3736-383548509814,00-0027685,SAN295989,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Kareem,Jackson,DB,22,STARTED,2019,32013030-2d30-3032-3738-3732b0b6440e,00-0027872,JAC283467,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Von,Miller,OLB,58,STARTED,2019,32013030-2d30-3032-3739-3430be72e8de,00-0027940,MIL597654,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Chris,Harris,CB,25,STARTED,2019,32013030-2d30-3032-3832-32341c42a0aa,00-0028224,HAR349333,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Ronald,Leary,G,65,STARTED,2019,32013030-2d30-3032-3930-3130c0b1958f,00-0029010,LEA610932,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Derek,Wolfe,DE,95,STARTED,2019,32013030-2d30-3032-3935-38362cb03b5a,00-0029586,WOL309455,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Brandon,McManus,K,08,,2019,32013030-2d30-3032-3938-323246544812,00-0029822,MCM226186,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Mike,Purcell,DL,98,,2019,32013030-2d30-3032-3938-3930af4db4f9,00-0029890,PUR087672,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Casey,Kreiter,LS,42,,2019,32013030-2d30-3033-3039-35376bceef9e,00-0030957,KRE233600,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Shelby,Harris,NT,96,STARTED,2019,32013030-2d30-3033-3132-3730cec37d9d,00-0031270,HAR536152,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Diontae,Spencer,WR,11,,2019,32013030-2d30-3033-3133-31391b4b09ee,00-0031319,SPE464206,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Corey,Nelson,ILB,56,STARTED,2019,32013030-2d30-3033-3133-353083b1b9dd,00-0031350,NEL185148,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Ja'Wuan,James,T,70,STARTED,2019,32013030-2d30-3033-3134-3137e104384c,00-0031417,JAM218029,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Todd,Davis,ILB,51,,2019,32013030-2d30-3033-3134-32375c6256e4,00-0031427,DAV768914,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Jake,Rodgers,T,69,,2019,32013030-2d30-3033-3136-3231db90a93e,00-0031621,ROD371028,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Bryce,Callahan,CB,29,,2019,32013030-2d30-3033-3139-3034efea5f3c,00-0031904,CAL520433,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
De'Vante,Bausby,CB,41,,2019,32013030-2d30-3033-3139-393123a2e7af,00-0031991,BAU711100,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Jeff,Heuerman,TE,82,STARTED,2019,32013030-2d30-3033-3232-3237ce15ef70,00-0032227,HEU190731,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
Brandon,Allen,QB,02,,2019,32013030-2d30-3033-3234-33349fe923c0,00-0032434,ALL063816,Denver Broncos,bears-at-broncos-2019-reg-2,2019-09-15T20:25:00.000Z
