firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Ryan,Fitzpatrick,QB,14,STARTED,2019,32013030-2d30-3032-3336-3832b8755c76,00-0023682,FIT792915,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
J'Marcus,Webb,T,61,NOT_ACTIVE,2019,32013030-2d30-3032-3736-3039859c8a26,00-0027609,WEB210365,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
Daniel,Kilgore,C,67,STARTED,2019,32013030-2d30-3032-3831-303140db4648,00-0028101,KIL245064,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
John,Jenkins,DT,95,STARTED,2019,32013030-2d30-3033-3030-3730d205078d,00-0030070,JEN271683,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
Deon,Lacey,LB,44,,2019,32013030-2d30-3033-3031-3937c79659a6,00-0030197,LAC107454,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
Albert,Wilson,WR,15,,2019,32013030-2d30-3033-3036-3639cab4fa4f,00-0030669,WIL648299,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
Allen,Hurns,WR,17,STARTED,2019,32013030-2d30-3033-3038-32317c4d97af,00-0030821,HUR436342,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
Walt,Aikens,S,35,,2019,32013030-2d30-3033-3133-3037123e57e3,00-0031307,AIK288111,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
DeVante,Parker,WR,11,STARTED,2019,32013030-2d30-3033-3135-3437b94ee00a,00-0031547,PAR226609,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
Eric,Rowe,CB,21,STARTED,2019,32013030-2d30-3033-3135-3535a43c182a,00-0031555,ROW332230,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
Jesse,Davis,G/T,77,STARTED,2019,32013030-2d30-3033-3138-3933495999f9,00-0031893,DAV456757,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
Clive,Walford,TE,87,,2019,32013030-2d30-3033-3232-3536ad86f805,00-0032256,WAL062390,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
Trevor,Davis,WR,89,,2019,32013030-2d30-3033-3234-3233fd9558ed,00-0032423,DAV778929,Miami Dolphins,bengals-at-dolphins-2019-reg-16,2019-12-22T18:00:00.000Z
