firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Alex,Smith,QB,11,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3334-3336b638d37d,00-0023436,SMI031126,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Donald,Penn,T,79,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3338-3934dd83e74d,00-0023894,PEN244635,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Vernon,Davis,TE,85,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3432-3231bd4de2d9,00-0024221,DAV785142,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Adrian,Peterson,RB,26O,STARTED,2019,32013030-2d30-3032-3533-3934ceb6c025,00-0025394,PET260705,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Dominique,Rodgers-Cromartie,CB,45,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3631-3536f8b6d5ad,00-0026156,ROD616216,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Nick,Sundberg,LS,57O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3637-3134b4545845,00-0026714,SUN263361,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Colt,McCoy,QB,12,STARTED,2019,32013030-2d30-3032-3736-38385988c69a,00-0027688,MCC603149,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Ryan,Kerrigan,LB,91,STARTED,2019,32013030-2d30-3032-3739-3534bcfdd687,00-0027954,KER630730,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Case,Keenum,QB,08,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3839-383680011105,00-0028986,KEE690598,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Josh,Norman,DB,24,STARTED,2019,32013030-2d30-3032-3932-3835d06b9831,00-0029285,NOR291905,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Brian,Quick,WR,83,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-3430e30ea056,00-0029640,QUI043372,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Tony,Bergstrom,OL,66,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-3939a448c5fa,00-0029699,BER172402,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Jon,Bostic,LB,53,STARTED,2019,32013030-2d30-3033-3030-3634ae6893cd,00-0030064,BOS528427,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Hugh,Thornton,G,69,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3030-373162180cc1,00-0030071,THO777451,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Dustin,Hopkins,K,03,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3030-39382742cd86,00-0030098,HOP165345,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Tress,Way,P,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3031-3430b5e6e73a,00-0030140,WAY228645,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Chris,Thompson,RB,25O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-3034ec604bfe,00-0030404,THO499404,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Jordan,Reed,TE,86,STARTED,2019,32013030-2d30-3033-3034-3732a77a3295,00-0030472,REE302847,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Zac,Kerin,G,67,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3039-33374aa654e8,00-0030937,KER284944,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
Paul,Richardson,WR,10,STARTED,2019,32013030-2d30-3033-3132-35379863ad69,00-0031257,RIC593564,,Washington Redskins,bengals-at-redskins-2019-pre-2,2019-08-15T23:30:00.000Z
