firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Greg,Olsen,TE,88,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3534-3138dcd6869e,00-0025418,OLS094822,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
J.J.,Jansen,LS,44,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3630-32372e34eeff,00-0026027,JAN681650,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Graham,Gano,K,09,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3638-3538ed9f5328,00-0026858,GAN308500,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Kyle,Love,NT,77D,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3732-33369bfacc36,00-0027236,LOV026391,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Gerald,McCoy,DT,93,STARTED,2019,32013030-2d30-3032-3738-35367fd3b152,00-0027856,MCC604879,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Cam,Newton,QB,01,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3739-33399bbb0097,00-0027939,NEW693984,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Torrey,Smith,WR,11,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3739-393641e0521b,00-0027996,SMI344958,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Aldrick,Robinson,WR,08,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3831-3136ccfa779f,00-0028116,ROB365875,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Colin,Jones,DB,42,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3831-3238c7b26a42,00-0028128,JON179862,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Chris,Hogan,WR,15,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3832-3337571d9f50,00-0028237,HOG008552,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Mario,Addison,DE,97,STARTED,2019,32013030-2d30-3032-3833-3339b613b9ab,00-0028339,ADD494264,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Bruce,Irvin,DE,55,STARTED,2019,32013030-2d30-3032-3931-3933fbe0b03b,00-0029193,IRV115072,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Luke,Kuechly,LB,59,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3932-34382f0a2113,00-0029248,KUE289610,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Jarius,Wright,WR,13,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3935-3732c16fcd87,00-0029572,WRI391959,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Greg,Van Roten,G,73,STARTED,2019,32013030-2d30-3032-3936-383590699ce0,00-0029685,VAN749202,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Dontari,Poe,NT,95,STARTED,2019,32013030-2d30-3032-3936-38388636b4cc,00-0029688,POE346076,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Rashad,Ross,WR,19,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3031-38374a85e937,00-0030187,ROS672152,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Kawann,Short,DT,99,STARTED,2019,32013030-2d30-3033-3034-343818f5686c,00-0030448,SHO598059,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Eric,Reid,DB,25,STARTED,2019,32013030-2d30-3033-3035-343810f342d3,00-0030548,REI265485,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Tyler,Larsen,C,69,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3038-3639233ab133,00-0030869,LAR424403,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Ross,Cockrell,DB,47,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3136d67a9c32,00-0031016,COC494116,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Tre,Boston,DB,33,STARTED,2019,32013030-2d30-3033-3132-3631e5be2cea,00-0031261,BOS695248,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Matt,Paradis,C,61,STARTED,2019,32013030-2d30-3033-3133-34394f107e3b,00-0031349,PAR002722,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Trai,Turner,G,70,STARTED,2019,32013030-2d30-3033-3133-3632143c144d,00-0031362,TUR715469,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Michael,Palardy,P,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3133-36335b1dc371,00-0031363,PAL050322,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Chris,Manhertz,TE,82,STARTED,2019,32013030-2d30-3033-3134-3834c746ce64,00-0031484,MAN285874,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Efe,Obada,DE,94,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-303093b35763,00-0031500,OBA109286,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
DeAndrew,White,WR,18,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-31316262c923,00-0031511,WHI152624,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Shaq,Thompson,LB,54,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3135-353083b23e2f,00-0031550,GRE573058,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Daryl,Williams,T,60,STARTED,2019,32013030-2d30-3033-3135-36377d7d0074,00-0031567,WIL208701,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Cameron,Artis-Payne,RB,34,STARTED,2019,32013030-2d30-3033-3135-393950ac06b4,00-0031599,ART387205,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Damian,Parms,S,45,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3136-3738303ba790,00-0031678,PAR609316,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Taylor,Heinicke,QB,06,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3138-30306e192ab1,00-0031800,HEI610185,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Lorenzo,Doss,DB,31,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3231-33369d03e046,00-0032136,DOS257736,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Kitt,O'Brien,G,77O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3232-3937691b48a3,00-0032297,OBR573970,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Antwione,Williams,LB,49,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-323592abc935,00-0032425,WIL142971,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Woodrow,Hamilton,DT,78,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3235-37389beef303,00-0032578,HAM382254,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
Jason,Vander Laan,TE,84,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3236-3839f66e9cf0,00-0032689,VAN432124,,Carolina Panthers,bills-at-panthers-2019-pre-2,2019-08-16T23:00:00.000Z
