firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,gsisPlayer.person,slug,gameTime
Adam,Vinatieri,K,04,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3031-3639-3139bbb7103e,00-0016919,VIN196019,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
J'Marcus,Webb,T,61,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3736-3039859c8a26,00-0027609,WEB210365,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Anthony,Castonzo,T,74,STARTED,2019,32013030-2d30-3032-3739-363035ad1bdc,00-0027960,CAS792239,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jabaal,Sheard,DE,93,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3739-373560a75321,00-0027975,SHE039759,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Justin,Houston,DE,99,STARTED,2019,32013030-2d30-3032-3830-30385a66c5e4,00-0028008,HOU476949,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
T.Y.,Hilton,WR,13,STARTED,2019,32013030-2d30-3032-3936-30385788c9a5,00-0029608,HIL775449,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Andrew,Luck,QB,12,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3936-363868835ca0,00-0029668,LUC524055,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jack,Doyle,TE,84,STARTED,2019,32013030-2d30-3033-3031-3831dd11abdd,00-0030181,DOY403968,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Margus,Hunt,DT,92,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-3439956fa1bc,00-0030449,HUN320751,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Josh,Andrews,C,63,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3037-30362b4c555f,00-0030706,AND691210,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Caraun,Reid,DT,75,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-373145e937de,00-0031071,REI254895,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Denico,Autry,DE/DT,96,STARTED,2019,32013030-2d30-3033-3132-353442e46153,00-0031254,AUT529722,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Pierre,Desir,CB,35,STARTED,2019,32013030-2d30-3033-3133-33316ed0ffee,00-0031331,DES373418,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Eric,Ebron,TE,85,STARTED,2019,32013030-2d30-3033-3133-38373c37c840,00-0031387,EBR474619,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jalen,Collins,CB,32,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-3532c987d82a,00-0031552,COL604473,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Clayton,Geathers,S,26,STARTED,2019,32013030-2d30-3033-3135-37319b223dd5,00-0031571,GEA405166,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Mark,Glowinski,G,64,STARTED,2019,32013030-2d30-3033-3135-3831c34d7bb6,00-0031581,GLO738436,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Obum,Gwacham,DE,71D,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3136-31347a63fd35,00-0031614,GWA118654,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Isaiah,Johnson,S,38D,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3136-353717142b0e,00-0031657,JOH321472,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Gabe,Holmes,TE,47O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3138-38347be75980,00-0031884,HOL550382,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Devin,Funchess,WR,17,STARTED,2019,32013030-2d30-3033-3230-3535a2b56e84,00-0032055,FUN405541,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Daniel,Munyer,C,66,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3231-393283a185f1,00-0032192,MUN811705,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Ross,Travis,TE,43,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3233-31395029c12f,00-0032319,TRA542942,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Chris,Milton,CB,28,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3233-3533f12a19b6,00-0032353,MIL794547,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Chester,Rogers,WR,80,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3233-35355e7ab91e,00-0032355,ROG146742,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Ryan,Kelly,C,78,STARTED,2019,32013030-2d30-3033-3233-383312460536,00-0032383,KEL738596,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Joe,Haeg,T/G,73,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-3139895897ed,00-0032419,HAE223809,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Matthias,Farley,S,41,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-393649531661,00-0032496,FAR160452,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
