firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Joe,Flacco,QB,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3631-3538c6a10853,00-0026158,FLA009602,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Emmanuel,Sanders,WR,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3736-383548509814,00-0027685,SAN295989,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Kareem,Jackson,DB,22,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3738-3732b0b6440e,00-0027872,JAC283467,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Von,Miller,OLB,58,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3739-3430be72e8de,00-0027940,MIL597654,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Chris,Harris,CB,25,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3832-32341c42a0aa,00-0028224,HAR349333,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Ronald,Leary,G,65,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3930-3130c0b1958f,00-0029010,LEA610932,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Don,Barclay,G,67,STARTED,2019,32013030-2d30-3032-3931-38377eba46be,00-0029187,BAR114314,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Orson,Charles,TE,83,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3934-3134200dc1c7,00-0029414,CHA591533,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Derek,Wolfe,DE,95,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3935-38362cb03b5a,00-0029586,WOL309455,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Brandon,McManus,K,08,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3938-323246544812,00-0029822,MCM226186,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Mike,Purcell,DL,98,STARTED,2019,32013030-2d30-3032-3938-3930af4db4f9,00-0029890,PUR087672,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Theo,Riddick,RB,27,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3031-3037dd0b3def,00-0030107,RID187949,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Shamarko,Thomas,S,38,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-3132bad1e0c6,00-0030412,THO379701,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Casey,Kreiter,LS,42,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3039-35376bceef9e,00-0030957,KRE233600,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Shelby,Harris,NT,96,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-3730cec37d9d,00-0031270,HAR536152,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Ja'Wuan,James,T,70,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3134-3137e104384c,00-0031417,JAM218029,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Todd,Davis,ILB,51,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3134-32375c6256e4,00-0031427,DAV768914,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Jake,Rodgers,OL,69,STARTED,2019,32013030-2d30-3033-3136-3231db90a93e,00-0031621,ROD371028,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
DeShawn,Williams,DE,97,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3137-393595443678,00-0031795,WIL234247,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Bryce,Callahan,CB,29,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-3034efea5f3c,00-0031904,CAL520433,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
De'Vante,Bausby,CB,41,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-393123a2e7af,00-0031991,BAU711100,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Chaz,Green,OL,79,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3232-3034868ca8ac,00-0032204,GRE118131,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Jeff,Heuerman,TE,82,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3232-3237ce15ef70,00-0032227,HEU190731,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Jake,Brendel,OL,64,STARTED,2019,32013030-2d30-3033-3237-3031aec75461,00-0032701,BRE273025,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Su'a,Cravens,S,21,STARTED,2019,32013030-2d30-3033-3237-363717d01696,00-0032767,CRA534304,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Kevin,Hogan,QB,09,STARTED,2019,32013030-2d30-3033-3237-3834a23f764d,00-0032784,HOG022742,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Dadi,Nicolas,LB,50,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3237-39367d4b328f,00-0032796,NIC780920,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Andy,Janovich,FB,32,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-353644b7daaf,00-0032956,JAN605717,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Will,Parks,S,34,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-35387ab4392e,00-0032958,PAR567787,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Justin,Simmons,S,31,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-3731b9d710ff,00-0032971,SIM248681,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Devontae,Booker,RB,23,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-3732ec926fb5,00-0032972,BOO019902,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Connor,McGovern,C,60,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3330-3131183db41a,00-0033011,MCG526326,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
Adam,Gotsis,DE,99,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3330-3634c87a16bb,00-0033064,GOT428790,,Denver Broncos,cardinals-at-broncos-2019-pre-4,2019-08-30T01:00:00.000Z
