firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Eli,Manning,QB,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3238-3033cc58aa39,00-0022803,MAN473170,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Antoine,Bethea,S,41,STARTED,2019,32013030-2d30-3032-3434-3231947802f6,00-0024421,BET074391,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Zak,DeOssie,LS,51,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3535-3033c029e561,00-0025503,DEO425791,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Golden,Tate,WR,15,STARTED,2019,32013030-2d30-3032-3738-39319adae9d4,00-0027891,TAT245022,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Nate,Solder,T,76,STARTED,2019,32013030-2d30-3032-3739-353549df8be5,00-0027955,SOL076905,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Michael,Thomas,S,31,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3839-3038adb398e6,00-0028908,THO308948,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Mike,Remmers,T,74,STARTED,2019,32013030-2d30-3032-3931-36343976525a,00-0029164,REM320232,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Rhett,Ellison,TE,85,STARTED,2019,32013030-2d30-3032-3935-38376e592109,00-0029587,ELL717708,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Kevin,Zeitler,G,70,STARTED,2019,32013030-2d30-3032-3935-393250b922d8,00-0029592,ZEI626612,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Alex,Tanney,QB,03,NOT_ACTIVE,2019,32013030-2d30-3032-3936-323398b6352b,00-0029623,TAN743421,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Janoris,Jenkins,CB,20,STARTED,2019,32013030-2d30-3032-3936-383164609c06,00-0029681,JEN268608,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Alec,Ogletree,LB,47,STARTED,2019,32013030-2d30-3033-3035-32379a8d62ff,00-0030527,OGL654714,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Bennie,Fowler,WR,18,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3036-3730ff2e6fbd,00-0030670,FOW140514,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Jon,Halapio,C,75,STARTED,2019,32013030-2d30-3033-3131-38355b92d871,00-0031185,HAL010359,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Cody,Latimer,WR,12,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3133-343474b3fe30,00-0031344,LAT362049,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Javorius,Allen,RB,37,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-373735f054df,00-0031577,ALL469092,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
David,Mayo,LB,55,STARTED,2019,32013030-2d30-3033-3135-393670d7ca78,00-0031596,MAY646134,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Olsen,Pierre,DL,72,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-3134861b9326,00-0031914,PIE579519,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Chad,Slade,G,62,NOT_ACTIVE,2019,32013030-2d30-3033-3139-32387d848693,00-0031928,SLA162221,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Markus,Golden,LB,44,STARTED,2019,32013030-2d30-3033-3231-3237762b0681,00-0032127,GOL067489,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Sterling,Shepard,WR,87,NOT_ACTIVE,2019,32013030-2d30-3033-3233-3835efcb67d8,00-0032385,SHE495754,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Cody,Core,WR,17,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3237-39353a9971d1,00-0032795,COR258226,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Elijhaa,Penny,RB,39,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3238-3133b239c3bb,00-0032813,PEN486378,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Aldrick,Rosas,K,02,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3238-3730be61593b,00-0032870,ROS046718,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Spencer,Pulley,C,77,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-313198a86e4b,00-0032911,PUL395752,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Antonio,Hamilton,CB,30,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-3333d3e10e36,00-0032933,HAM184824,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Riley,Dixon,P,09,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-34334ea2abc5,00-0032943,DIX641722,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Eric,Smith,T,79,NOT_ACTIVE,2019,32013030-2d30-3033-3334-3134b11f6abf,00-0033414,SMI000015,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Dalvin,Tomlinson,DL,94,STARTED,2019,32013030-2d30-3033-3335-3436930582fa,00-0033546,TOM676763,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Evan,Engram,TE,88,STARTED,2019,32013030-2d30-3033-3338-38312992e3e5,00-0033881,ENG726325,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Jabrill,Peppers,S,21,STARTED,2019,32013030-2d30-3033-3338-3833caf70c60,00-0033883,PEP420619,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Wayne,Gallman,RB,22,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3339-3530bc105469,00-0033950,GAL649066,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Will,Hernandez,G,71,STARTED,2019,32013030-2d30-3033-3433-34361b2b7b93,00-0034346,HER365408,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
Lorenzo,Carter,LB,59,STARTED,2019,32013030-2d30-3033-3433-363096b1229f,00-0034360,CAR716453,New York Giants,cardinals-at-giants-2019-reg-7,2019-10-20T17:00:00.000Z
