firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,gsisPlayer.person,slug,gameTime
Everson,Griffen,DE,97,STARTED,2019,32013030-2d30-3032-3737-3031290b02d4,00-0027701,GRI051627,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
Linval,Joseph,DT,98,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3738-3835b8883a72,00-0027885,JOS231117,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
Kyle,Rudolph,TE,82,STARTED,2019,32013030-2d30-3032-3739-383145dad36a,00-0027981,RUD559717,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
Dan,Bailey,K,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3836-3630e498e688,00-0028660,BAI159977,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
Kirk,Cousins,QB,08,STARTED,2019,32013030-2d30-3032-3936-303492e9d55e,00-0029604,COU709400,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
Harrison,Smith,S,22,STARTED,2019,32013030-2d30-3032-3936-30366a1af096,00-0029606,SMI317465,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
Riley,Reiff,T,71,STARTED,2019,32013030-2d30-3032-3936-37328a375fb3,00-0029672,REI392998,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
Josh,Kline,G,64,STARTED,2019,32013030-2d30-3032-3939-393242273012,00-0029992,KLI510348,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
Adam,Thielen,WR,19,STARTED,2019,32013030-2d30-3033-3030-3335960ad201,00-0030035,THI510348,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
Xavier,Rhodes,CB,29,STARTED,2019,32013030-2d30-3033-3035-3735b599af52,00-0030575,RHO552860,Minnesota Vikings,,cardinals-at-vikings-2019-pre-3,2019-08-24T17:00:00.000Z
