firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Don,Muhlbach,LS,48,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3234-35359d5f9fd7,00-0022455,MUH609435,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Matt,Prater,K,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3338-35338ddfcccf,00-0023853,PRA143616,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Danny,Amendola,WR,80,NOT_ACTIVE,2019,32013030-2d30-3032-3630-33356909a613,00-0026035,AME359918,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Matthew,Stafford,QB,09,STARTED,2019,32013030-2d30-3032-3634-39382e08c011,00-0026498,STA134157,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Kenny,Wiggins,G,79,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3832-34301710f2b0,00-0028240,WIG184866,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Damon,Harrison,DT,98,STARTED,2019,32013030-2d30-3032-3930-3430a1106dc1,00-0029040,HAR576467,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Mike,Daniels,DT,96,NOT_ACTIVE,2019,32013030-2d30-3032-3932-38346365b381,00-0029284,DAN575730,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Marvin,Jones,WR,11,STARTED,2019,32013030-2d30-3032-3932-3933c267e06d,00-0029293,JON601697,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Tavon,Wilson,S,32,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3934-3130acb3f0c4,00-0029410,WIL791595,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Rick,Wagner,T,71,STARTED,2019,32013030-2d30-3032-3938-39336df31166,00-0029893,WAG554943,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Rashaan,Melvin,CB,29,STARTED,2019,32013030-2d30-3032-3939-30319aef3c06,00-0029901,MEL736889,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Darius,Slay,CB,23,NOT_ACTIVE,2019,32013030-2d30-3033-3030-3632e7c01ee5,00-0030062,SLA746089,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Oday,Aboushi,OL,76,NOT_ACTIVE,2019,32013030-2d30-3033-3030-3833a3a178ec,00-0030083,ABO652601,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Sam,Martin,P,06,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3030-39326221cfca,00-0030092,MAR720548,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Christian,Jones,LB,52,STARTED,2019,32013030-2d30-3033-3131-3330a5a0e0a7,00-0031130,JON162414,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Devon,Kennard,LB,42,STARTED,2019,32013030-2d30-3033-3132-34317c970654,00-0031241,KEN208338,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Logan,Thomas,TE,82,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-3630bcfffd57,00-0031260,THO296280,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Trey,Flowers,DE,90,STARTED,2019,32013030-2d30-3033-3135-3636f395afbb,00-0031566,FLO572739,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Quandre,Diggs,DB,28,STARTED,2019,32013030-2d30-3033-3136-303883b897cd,00-0031608,DIG202845,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Justin,Coleman,CB,27,STARTED,2019,32013030-2d30-3033-3137-3936c3d011c6,00-0031796,COL294032,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
Jesse,James,TE,83,STARTED,2019,32013030-2d30-3033-3231-333598f571f0,00-0032135,JAM239797,Detroit Lions,chiefs-at-lions-2019-reg-4,2019-09-29T17:00:00.000Z
