firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Philip,Rivers,QB,17,STARTED,2019,32013030-2d30-3032-3239-34322bc30020,00-0022942,RIV651634,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Thomas,Davis,LB,58,STARTED,2019,32013030-2d30-3032-3334-343878a96a3b,00-0023448,DAV768681,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Brandon,Mebane,NT,92,STARTED,2019,32013030-2d30-3032-3534-3732224e062f,00-0025472,MEB059326,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Mike,Pouncey,C,53,STARTED,2019,32013030-2d30-3032-3739-35332b384050,00-0027953,POU545069,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Tyrod,Taylor,QB,05,,2019,32013030-2d30-3032-3831-3138b775ef66,00-0028118,TAY764868,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Virgil,Green,TE,88,,2019,32013030-2d30-3032-3831-3432b24cb1f2,00-0028142,GRE378950,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Dontrelle,Inman,WR,15,,2019,32013030-2d30-3032-3834-3131ecbba609,00-0028411,INM264861,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Melvin,Ingram,DE,54,STARTED,2019,32013030-2d30-3032-3932-34398a3f512c,00-0029249,ING667979,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Casey,Hayward,CB,26,STARTED,2019,32013030-2d30-3032-3932-363136175d80,00-0029261,HAY777816,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Travis,Benjamin,WR/PR,12,STARTED,2019,32013030-2d30-3032-3932-3639ef8a7fd5,00-0029269,BEN162218,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Damion,Square,NT,71,,2019,32013030-2d30-3033-3031-34381d2e1dbd,00-0030148,SQU055371,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Keenan,Allen,WR,13,STARTED,2019,32013030-2d30-3033-3032-3739a5751069,00-0030279,ALL532966,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Jaylen,Watkins,S,27,,2019,32013030-2d30-3033-3131-37336f21d3ce,00-0031173,WAT230043,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Michael,Schofield,G/T,75,STARTED,2019,32013030-2d30-3033-3133-3533f3c4b194,00-0031353,SCH444668,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Adrian,Phillips,S,31,STARTED,2019,32013030-2d30-3033-3134-30347b4640b4,00-0031404,PHI113173,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Ty,Long,P,01,,2019,32013030-2d30-3033-3135-34335fd7f858,00-0031543,LON645380,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Geremy,Davis,WR,11,NOT_ACTIVE,2019,32013030-2d30-3033-3139-3533c22b672f,00-0031953,DAV342290,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Nick,Dzubnar,LB,48,,2019,32013030-2d30-3033-3230-3831fa219125,00-0032081,DZU088990,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
Denzel,Perryman,LB,52,,2019,32013030-2d30-3033-3231-3033e442fbba,00-0032103,PER775462,Los Angeles Chargers,colts-at-chargers-2019-reg-1,2019-09-08T20:05:00.000Z
