firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Calais,Campbell,DL,93,STARTED,2019,32013030-2d30-3032-3631-3930796ca691,00-0026190,CAM208843,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Nick,Foles,QB,07,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3935-3637b84f8e70,00-0029567,FOL058566,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Cody,Davis,S,22,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3937-36348a112b3e,00-0029764,DAV247918,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Abry,Jones,DT,95,STARTED,2019,32013030-2d30-3032-3939-34365bdd84b7,00-0029946,JON026672,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
A.J.,Bouye,CB,21,NOT_ACTIVE,2019,32013030-2d30-3033-3032-3238414cf97a,00-0030228,BOU651714,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Akeem,Spence,DT,97,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-3032a90311e6,00-0030402,SPE410844,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
D.J.,Hayden,CB,25,STARTED,2019,32013030-2d30-3033-3035-37326cbdbde9,00-0030572,HAY031145,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Tyler,Shatley,OL,69,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3038-3237ed16183b,00-0030827,SHA509766,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Andrew,Norwell,OL,68,STARTED,2019,32013030-2d30-3033-3131-32321231ca1c,00-0031122,NOR777536,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Preston,Brown,LB,59,NOT_ACTIVE,2019,32013030-2d30-3033-3131-3731fe6c0e95,00-0031171,BRO581187,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Brandon,Linder,OL,65,STARTED,2019,32013030-2d30-3033-3133-3639653484ad,00-0031369,LIN175931,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Carl,Davis,NT,79,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-333893453a72,00-0031938,DAV212103,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
Josh,Lambo,K,04,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3230-3837c02fb433,00-0032087,LAM580646,Jacksonville Jaguars,colts-at-jaguars-2019-reg-17,2019-12-29T21:25:00.000Z
