firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Ryan,Kalil,C,55,STARTED,2019,32013030-2d30-3032-3534-34363fb14b0e,00-0025446,KAL275632,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Steve,McLendon,DL,99,STARTED,2019,32013030-2d30-3032-3635-36347d3950f2,00-0026564,MCL589496,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Albert,McClellan,LB,47,STARTED,2019,32013030-2d30-3032-3735-3630a8f5b027,00-0027560,MCC379498,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Demaryius,Thomas,WR,18,STARTED,2019,32013030-2d30-3032-3738-3734e1cdacfa,00-0027874,THO095855,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Bilal,Powell,RB,29,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3830-36349cf1bce9,00-0028064,POW162772,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Tom,Compton,G,77,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3931-3434276838ca,00-0029144,COM663097,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Kelechi,Osemele,G,70,NOT_ACTIVE,2019,32013030-2d30-3032-3932-3539a23c5fe6,00-0029259,OSE406291,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Kelvin,Beachum,T,68,STARTED,2019,32013030-2d30-3032-3933-3136fead0e09,00-0029316,BEA111513,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Josh,Bellamy,WR,15,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3933-31395f15b3ef,00-0029319,BEL647328,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Trumaine,Johnson,CB,22,STARTED,2019,32013030-2d30-3032-3936-393067a694a7,00-0029690,JOH708747,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Brandon,Copeland,LB,51,STARTED,2019,32013030-2d30-3033-3030-31305af73086,00-0030010,COP276485,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Brian,Winters,G,67,STARTED,2019,32013030-2d30-3033-3030-3636f9831656,00-0030066,WIN742785,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Ryan,Griffin,TE,84,STARTED,2019,32013030-2d30-3033-3031-3038579b9acf,00-0030108,GRI293499,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Rontez,Miles,S,45,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3031-373072144995,00-0030170,MIL070511,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Le'Veon,Bell,RB,26,STARTED,2019,32013030-2d30-3033-3034-3936441ea1c4,00-0030496,BEL474300,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jonotthan,Harrison,OL,78,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3036-3439a2313407,00-0030649,HAR601814,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
David,Fales,QB,03,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3736eaf4186c,00-0031076,FAL381917,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
C.J.,Mosley,LB,57,NOT_ACTIVE,2019,32013030-2d30-3033-3132-3936f09c64d2,00-0031296,MOS361252,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Darryl,Roberts,CB,27,STARTED,2019,32013030-2d30-3033-3136-32383c91768d,00-0031628,ROB127520,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Neville,Hewitt,LB,46,STARTED,2019,32013030-2d30-3033-3137-3430887fa114,00-0031740,HEW203041,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Leonard,Williams,DL,92,STARTED,2019,32013030-2d30-3033-3139-333311c8e9cc,00-0031933,WIL426411,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jamison,Crowder,WR,82,STARTED,2019,32013030-2d30-3033-3139-3431d3ce4eea,00-0031941,CRO697273,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Daniel,Brown,TE,87,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3230-3938933f399f,00-0032098,BRO365389,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Ty,Montgomery,WR/RB,88,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3232-303072e6c160,00-0032200,MON677133,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Henry,Anderson,DL,96,NOT_ACTIVE,2019,32013030-2d30-3033-3232-3639203d33ee,00-0032269,AND287484,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Alex,Lewis,OL,71,STARTED,2019,32013030-2d30-3033-3234-3037b0fdf508,00-0032407,LEW035528,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Brandon,Shell,T,72,STARTED,2019,32013030-2d30-3033-3234-3230431b3af3,00-0032420,SHE288626,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Lachlan,Edwards,P,04,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-3439f903e492,00-0032449,EDW571443,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Matthias,Farley,S,41,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-393649531661,00-0032496,FAR160452,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Brian,Poole,CB,34,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3235-3936a2c461e8,00-0032596,POO231564,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Robby,Anderson,WR,11,STARTED,2019,32013030-2d30-3033-3236-3838f52d40a0,00-0032688,AND460305,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jordan,Jenkins,LB,48,STARTED,2019,32013030-2d30-3033-3239-373083adf6c9,00-0032970,JEN295944,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Sam,Ficken,K,09,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3331-333857f3684e,00-0033138,FIC665846,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Thomas,Hennessy,LS,42,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3332-3630c1b6e770,00-0033260,HEN540649,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Conor,McDermott,OL,69,NOT_ACTIVE,2019,32013030-2d30-3033-3333-30307a61301d,00-0033300,MCD175819,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Harvey,Langi,LB,44,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3333-3932f6f6ff1f,00-0033392,LAN585903,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Arthur,Maulet,CB,23,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3335-30333ba10a6f,00-0033503,MAU475233,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Nate,Hairston,CB,21,NOT_ACTIVE,2019,32013030-2d30-3033-3335-36384d08952e,00-0033568,HAI741950,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jamal,Adams,S,33,STARTED,2019,32013030-2d30-3033-3338-373248bdb287,00-0033872,ADA392115,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Marcus,Maye,S,20,STARTED,2019,32013030-2d30-3033-3338-393259c62146,00-0033892,MAY291409,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jordan,Willis,DL,60,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3339-31329a9d0fdf,00-0033912,WIL603954,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Tarell,Basham,LB,93,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3339-313753ce936f,00-0033917,BAS140463,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Trenton,Cannon,RB,25,NOT_ACTIVE,2019,32013030-2d30-3033-3431-3634d719353d,00-0034164,CAN678301,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Folorunso,Fatukasi,DL,94,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3432-37356c26b154,00-0034275,FAT652601,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Frankie,Luvu,LB,50,NOT_ACTIVE,2019,32013030-2d30-3033-3433-30322333f64d,00-0034302,LUV652601,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Braxton,Berrios,WR,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3434-313937f15353,00-0034419,BER456050,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Vyncint,Smith,WR,17,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3436-33316c82332e,00-0034631,SMI781011,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Sam,Darnold,QB,14,STARTED,2019,32013030-2d30-3033-3438-36394b743d00,00-0034869,DAR466141,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Trevon,Wesco,TE,85,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3532-3539dad368be,00-0035259,WES028199,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Blake,Cashman,LB,53,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3532-3736f0b08cbd,00-0035276,CAS316185,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Kyle,Phillips,DL,98,STARTED,2019,32013030-2d30-3033-3535-3037fb0deb39,00-0035507,PHI458702,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Chuma,Edoga,T,75,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3536-393813e98838,00-0035698,EDO337482,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Quinnen,Williams,DL,95,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3537-31385b694512,,,,New York Jets,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jason,Witten,TE,82,STARTED,2019,32013030-2d30-3032-3231-32373ce51f62,00-0022127,WIT559021,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
L.P.,Ladouceur,LS,91,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3332-3938bbd87157,00-0023298,LAD000000,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Sean,Lee,LB,50,STARTED,2019,32013030-2d30-3032-3736-36339b59a826,00-0027663,LEE650245,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Tyron,Smith,T,77,NOT_ACTIVE,2019,32013030-2d30-3032-3739-343714e02a3d,00-0027947,SMI766760,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Robert,Quinn,DE,58,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3739-3532c641341b,00-0027952,QUI715221,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Randall,Cobb,WR,18,NOT_ACTIVE,2019,32013030-2d30-3032-3830-303218eca9b5,00-0028002,COB365535,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Chris,Jones,P,06,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3836-3634e531f84b,00-0028664,JON161572,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Joe,Looney,C,73,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3932-3738b3560098,00-0029278,LOO721674,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jamize,Olawale,FB,49,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3934-39322aff7ddb,00-0029492,OLA706032,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Tyrone,Crawford,DL,98,STARTED,2019,32013030-2d30-3032-3936-3431ef6ddb5e,00-0029641,CRA756298,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jeff,Heath,S,38,STARTED,2019,32013030-2d30-3033-3031-3936355d346b,00-0030196,HEA721605,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Brett,Maher,K,02,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3033-3332117ae233,00-0030332,MAH294385,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Tavon,Austin,WR,10,STARTED,2019,32013030-2d30-3033-3035-32354e0c0897,00-0030525,AUS659596,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Travis,Frederick,C,72,STARTED,2019,32013030-2d30-3033-3035-3436d3f587d9,00-0030546,FRE063393,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Joe,Thomas,LB,48,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3037-3631baf58265,00-0030761,THO234901,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Kerry,Hyder,DE,51,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3039-34369644254c,00-0030946,HYD440791,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Cameron,Fleming,T,75,STARTED,2019,32013030-2d30-3033-3130-363746ae3184,00-0031067,FLE157731,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
C.J.,Goodwin,CB,29,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3133-353791935cd2,00-0031357,GOO627559,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Zack,Martin,G,70,STARTED,2019,32013030-2d30-3033-3134-3032221eb56d,00-0031402,MAR771661,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Xavier,Su'a-Filo,G,76,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3134-31305656911d,00-0031410,SUA207644,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Demarcus,Lawrence,DE,90,STARTED,2019,32013030-2d30-3033-3134-3131386b03cc,00-0031411,LAW282118,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
La'el,Collins,T,71,NOT_ACTIVE,2019,32013030-2d30-3033-3135-3334dc1217ba,00-0031534,COL622930,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Amari,Cooper,WR,19,STARTED,2019,32013030-2d30-3033-3135-3434ca99a9bc,00-0031544,COO487703,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Christian,Covington,DT,95,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3136-313994847570,00-0031619,COV546722,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Devin,Smith,WR,15,NOT_ACTIVE,2019,32013030-2d30-3033-3139-33343f3ebb75,00-0031934,SMI202710,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Justin,March-Lillard,LB,53,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-3939f8f8a9ca,00-0031999,MAR051467,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Byron,Jones,CB,31,STARTED,2019,32013030-2d30-3033-3232-33397fdd91f4,00-0032239,JON141600,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Adam,Redmond,C,61,NOT_ACTIVE,2019,32013030-2d30-3033-3233-353448319854,00-0032354,RED598410,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Antwaun,Woods,DT,99,STARTED,2019,32013030-2d30-3033-3238-373151fff82f,00-0032871,WOO412059,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Ezekiel,Elliott,RB,21,STARTED,2019,32013030-2d30-3033-3330-343523cdc4a0,00-0033045,ELL289284,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Anthony,Brown,CB,30,STARTED,2019,32013030-2d30-3033-3330-3437bfb29741,00-0033047,BRO266417,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jaylon,Smith,LB,54,STARTED,2019,32013030-2d30-3033-3330-3532dd276afb,00-0033052,SMI390302,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Dak,Prescott,QB,04,STARTED,2019,32013030-2d30-3033-3330-37372d13d088,00-0033077,PRE285723,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Darian,Thompson,S,23,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3330-3833eeb7445b,00-0033083,THO507692,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Maliek,Collins,DT,96,STARTED,2019,32013030-2d30-3033-3331-3331d783a007,00-0033131,COL633184,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Chidobe,Awuzie,CB,24,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3335-343866a1874e,00-0033548,AWU800920,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Xavier,Woods,S,25,STARTED,2019,32013030-2d30-3033-3335-37391079d141,00-0033579,WOO620124,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Blake,Jarwin,TE,89,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3336-353875921c11,00-0033658,JAR747520,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Cooper,Rush,QB,07,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3336-36323ed2c1da,00-0033662,RUS046607,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Jourdan,Lewis,CB,27,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3339-32387c23dd10,00-0033928,LEW419597,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Connor,Williams,G,52,STARTED,2019,32013030-2d30-3033-3433-3532304247da,00-0034352,WIL204393,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Dorance,Armstrong,DE,92,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3433-3733a459048a,00-0034373,ARM218905,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Dalton,Schultz,TE,86,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3433-3833b16c084a,00-0034383,SCH647271,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Cedrick,Wilson,WR,11,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3434-31387faa5185,00-0034418,WIL656498,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Leighton,Vander Esch,LB,55,STARTED,2019,32013030-2d30-3033-3436-37347f47130f,00-0034674,VAN417781,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Michael,Gallup,WR,13,STARTED,2019,32013030-2d30-3033-3437-3634de26c0e4,00-0034764,GAL779981,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Trysten,Hill,DT,97,NOT_ACTIVE,2019,32013030-2d30-3033-3532-3437cc9f5a1d,00-0035247,HIL000003,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Tony,Pollard,RB,20,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3532-3631a9780874,00-0035261,POL283188,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Joe,Jackson,DE,56,NOT_ACTIVE,2019,32013030-2d30-3033-3532-3831a10c30d2,00-0035281,JAC000005,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Donovan,Wilson,S,37,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3533-303197980fda,00-0035301,WIL132674,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Luke,Gifford,LB,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3534-3133bb82623b,00-0035413,GIF311467,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Brandon,Knight,G,69,STARTED,2019,32013030-2d30-3033-3534-3138fb1ce1ba,00-0035418,KNI113712,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
Ventell,Bryant,WR,83,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3535-343860a11883,00-0035548,BRY670115,,Dallas Cowboys,cowboys-at-jets-2019-reg-6,2019-10-13T20:25:00.000Z
