firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Matt,Bryant,K,03,,2019,32013030-2d30-3032-3035-373844bb2525,00-0020578,BRY500226,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Matt,Schaub,QB,08,,2019,32013030-2d30-3032-3237-3837e8f3d1a2,00-0022787,SCH085186,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Matt,Ryan,QB,02,STARTED,2019,32013030-2d30-3032-3631-34338634c9b6,00-0026143,RYA238179,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Alex,Mack,C,51,STARTED,2019,32013030-2d30-3032-3639-3937429253e1,00-0026997,MAC273212,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Julio,Jones,WR,11,STARTED,2019,32013030-2d30-3032-3739-3434d4d3846d,00-0027944,JON640315,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Adrian,Clayborn,DE,99,,2019,32013030-2d30-3032-3739-3538ecf5c8e7,00-0027958,CLA770145,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
James,Carpenter,G,77,STARTED,2019,32013030-2d30-3032-3739-3633555ea6de,00-0027963,CAR302544,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Allen,Bailey,DE,93,,2019,32013030-2d30-3032-3830-3234359bbd0a,00-0028024,BAI026169,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Luke,Stocker,TE,80,STARTED,2019,32013030-2d30-3032-3830-34324b72e210,00-0028042,STO088140,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Matt,Bosher,P,05,,2019,32013030-2d30-3032-3831-33304fbac780,00-0028130,BOS219856,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Josh,Harris,LS,47,,2019,32013030-2d30-3032-3838-343513058090,00-0028845,HAR000002,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Jack,Crawford,DL,95,STARTED,2019,32013030-2d30-3032-3936-32377ccf96c2,00-0029627,CRA660264,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Mohamed,Sanu,WR,12,STARTED,2019,32013030-2d30-3032-3936-3332c617d70d,00-0029632,SAN808447,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
John,Wetzel,T,75,NOT_ACTIVE,2019,32013030-2d30-3032-3937-3632dedf3132,00-0029762,WET576319,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Kemal,Ishmael,S,36,,2019,32013030-2d30-3033-3034-323746dcf215,00-0030427,ISH415291,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Kenjon,Barner,RB,38,,2019,32013030-2d30-3033-3034-3635687ccc00,00-0030465,BAR236353,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Blidi,Wreh-Wilson,CB,33,,2019,32013030-2d30-3033-3035-3431fc55618a,00-0030541,WRE233874,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Desmond,Trufant,CB,21,STARTED,2019,32013030-2d30-3033-3035-36324cbce92e,00-0030562,TRU381665,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Keith,Smith,LB,40,STARTED,2019,32013030-2d30-3033-3039-3638401d13f7,00-0030968,SMI449995,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Ricardo,Allen,S,37,STARTED,2019,32013030-2d30-3033-3131-3831af042e7b,00-0031181,ALL641418,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Jake,Matthews,T,70,STARTED,2019,32013030-2d30-3033-3132-373957a85229,00-0031279,MAT565555,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Devonta,Freeman,RB,24,,2019,32013030-2d30-3033-3132-3835991f31bb,00-0031285,FRE174508,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Justin,Hardy,WR,14,,2019,32013030-2d30-3033-3135-37307ad4347b,00-0031570,HAR111877,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Grady,Jarrett,DT,97,STARTED,2019,32013030-2d30-3033-3135-383331fceed0,00-0031583,JAR254349,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Tyeler,Davison,DT,96,,2019,32013030-2d30-3033-3139-34376f6c729d,00-0031947,DAV822084,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Ty,Sambrailo,T,74,,2019,32013030-2d30-3033-3231-34371f5c0904,00-0032147,SAM009394,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Vic,Beasley,OLB,44,STARTED,2019,32013030-2d30-3033-3232-3430b2977a30,00-0032240,BEA528276,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Jamon,Brown,G,68,STARTED,2019,32013030-2d30-3033-3232-3434ae36430c,00-0032244,BRO485991,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Keanu,Neal,S,22,STARTED,2019,32013030-2d30-3033-3233-3832b3498ace,00-0032382,NEA222964,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Deion,Jones,LB,45,,2019,32013030-2d30-3033-3233-38383827bbae,00-0032388,JON233279,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Austin,Hooper,TE,81,,2019,32013030-2d30-3033-3233-39328d4eeab0,00-0032392,HOO570770,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
De'Vondre,Campbell,LB,59,STARTED,2019,32013030-2d30-3033-3234-303177be18db,00-0032401,CAM227922,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Wes,Schweitzer,G,71,,2019,32013030-2d30-3033-3234-3332dbce1fe4,00-0032432,SCH821050,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Sharrod,Neasman,S,41,,2019,32013030-2d30-3033-3235-393212efe2ff,00-0032592,NEA752713,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Jermaine,Grace,LB,53,,2019,32013030-2d30-3033-3332-343282bccaae,00-0033242,GRA042360,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Damontae,Kazee,S,27,,2019,32013030-2d30-3033-3335-3132dc1f4905,00-0033512,KAZ186981,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Takkarist,McKinley,DE,98,STARTED,2019,32013030-2d30-3033-3335-34309ce593b8,00-0033540,MCK405174,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Duke,Riley,LB,42,,2019,32013030-2d30-3033-3335-34391040c4ac,00-0033549,RIL146648,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Brian,Hill,RB,23,NOT_ACTIVE,2019,32013030-2d30-3033-3335-36379c914315,00-0033567,HIL101853,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Matt,Gono,T,73,NOT_ACTIVE,2019,32013030-2d30-3033-3431-3430b98d2450,00-0034140,GON205666,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Isaiah,Oliver,CB,26,STARTED,2019,32013030-2d30-3033-3433-35374bbde41e,00-0034357,OLI431868,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Deadrin,Senat,NT,94,NOT_ACTIVE,2019,32013030-2d30-3033-3433-36337f14384d,00-0034363,SEN026161,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Ito,Smith,RB,25,,2019,32013030-2d30-3033-3433-3738c51df4c8,00-0034378,SMI342780,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Russell,Gage,WR,83,,2019,32013030-2d30-3033-3434-31315ee55543,00-0034411,GAG130654,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Foyesade,Oluokun,MLB,54,,2019,32013030-2d30-3033-3434-3133aa5cb448,00-0034413,OLU474619,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Jaeden,Graham,TE,87,,2019,32013030-2d30-3033-3437-38387f759efe,00-0034788,GRA199272,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Calvin,Ridley,WR,18,STARTED,2019,32013030-2d30-3033-3438-333761eb5105,00-0034837,RID652384,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Olamide,Zaccheaus,WR,17,NOT_ACTIVE,2019,32013030-2d30-3033-3532-30383733e96a,00-0035208,ZAC133180,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Kaleb,McGary,T,76,STARTED,2019,32013030-2d30-3033-3532-3335d192a4a3,00-0035235,MCG037471,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Kendall,Sheffield,DB,20,,2019,32013030-2d30-3033-3532-3535cf6ebbb6,00-0035255,SHE192172,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
John,Cominsky,DE,50,,2019,32013030-2d30-3033-3532-3635125d6754,00-0035265,COM275428,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Qadree,Ollison,RB,30,NOT_ACTIVE,2019,32013030-2d30-3033-3532-373322819b4b,00-0035273,OLL415291,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Jordan,Miller,DB,28,NOT_ACTIVE,2019,32013030-2d30-3033-3532-3835215cf2dc,00-0035285,MIL373762,Atlanta Falcons,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Josh,McCown,QB,18,,2019,32013030-2d30-3032-3132-3036625eba8c,00-0021206,MCC600777,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Jason,Peters,T,71,STARTED,2019,32013030-2d30-3032-3235-33311e2f3ae1,00-0022531,PET150539,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Darren,Sproles,RB,43,,2019,32013030-2d30-3032-3335-3634a4a97bd6,00-0023564,SPR711296,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
DeSean,Jackson,WR,10,STARTED,2019,32013030-2d30-3032-3631-383993ac1996,00-0026189,JAC127681,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Malcolm,Jenkins,S,27,STARTED,2019,32013030-2d30-3032-3639-39302fb5c38b,00-0026990,JEN372222,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Brandon,Graham,DE,55,STARTED,2019,32013030-2d30-3032-3738-36355d1674ee,00-0027865,GRA130064,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Andrew,Sendejo,S,42,,2019,32013030-2d30-3032-3739-3134a2365466,00-0027914,SEN095404,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Jason,Kelce,C,62,STARTED,2019,32013030-2d30-3032-3831-323921ba2395,00-0028129,KEL008305,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Rodney,McLeod,S,23,STARTED,2019,32013030-2d30-3032-3838-39398c545840,00-0028899,MCL709174,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
L.J.,Fort,LB,58,,2019,32013030-2d30-3032-3839-33321717a543,00-0028932,FOR595356,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Alshon,Jeffery,WR,17,STARTED,2019,32013030-2d30-3032-3931-33376f5ae4ed,00-0029137,JEF498860,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Nigel,Bradham,LB,53,STARTED,2019,32013030-2d30-3032-3932-373263884bcf,00-0029272,BRA104685,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Vinny,Curry,DE,75,,2019,32013030-2d30-3032-3934-3132cdd2afbb,00-0029412,CUR528238,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Zach,Brown,LB,52,STARTED,2019,32013030-2d30-3032-3935-36364cfd1c64,00-0029566,BRO777933,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Fletcher,Cox,DT,91,STARTED,2019,32013030-2d30-3032-3936-35338d6f3da5,00-0029653,COX200177,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Brandon,Brooks,G,79,STARTED,2019,32013030-2d30-3032-3936-37399e1d57a3,00-0029679,BRO118473,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Zach,Ertz,TE,86,STARTED,2019,32013030-2d30-3033-3030-3631da16c503,00-0030061,ERT800920,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Akeem,Spence,DT,66,,2019,32013030-2d30-3033-3034-3032a90311e6,00-0030402,SPE410844,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Johnathan,Cyprien,S,37,,2019,32013030-2d30-3033-3035-333885612634,00-0030538,CYP563610,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Lane,Johnson,T,65,STARTED,2019,32013030-2d30-3033-3035-36317904d9e8,00-0030561,JOH399478,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Timmy,Jernigan,DT,93,STARTED,2019,32013030-2d30-3033-3131-3730a64ca334,00-0031170,JER465471,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Nelson,Agholor,WR,13,STARTED,2019,32013030-2d30-3033-3135-3439d46a53e9,00-0031549,AGH474619,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
Rick,Lovato,LS,45,,2019,32013030-2d30-3033-3139-31317b793032,00-0031911,LOV004796,Philadelphia Eagles,eagles-at-falcons-2019-reg-2,2019-09-16T00:20:00.000Z
