firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Calais,Campbell,DE,93,STARTED,2019,32013030-2d30-3032-3631-3930796ca691,00-0026190,CAM208843,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Matt,Overton,DE,45,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3731-3837bbbf8f15,00-0027187,OVE674964,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Marcell,Dareus,DT,99,STARTED,2019,32013030-2d30-3032-3739-34313411b1b8,00-0027941,DAR319542,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Ben,Ijalana,T,66,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3739-3837a05156c8,00-0027987,IJA385627,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Terrelle,Pryor,WR,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3838-3235f9b1e8b0,00-0028825,PRY474541,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Najee,Goode,LB,52,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3934-31382f5e3429,00-0029418,GOO217526,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Nick,Foles,QB,07,STARTED,2019,32013030-2d30-3032-3935-3637b84f8e70,00-0029567,FOL058566,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Josh,Robinson,DB,29,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-39311c75bc20,00-0029691,ROB590205,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Cody,Davis,DB,22,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3937-36348a112b3e,00-0029764,DAV247918,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Lerentee,McCray,LB,55,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3937-39394b7b7c7f,00-0029799,MCC670331,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Abry,Jones,DT,95,STARTED,2019,32013030-2d30-3032-3939-34365bdd84b7,00-0029946,JON026672,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
A.J.,Bouye,DB,21,STARTED,2019,32013030-2d30-3033-3032-3238414cf97a,00-0030228,BOU651714,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
D.J.,Hayden,DB,25,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3035-37326cbdbde9,00-0030572,HAY031145,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Datone,Jones,DE,96,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3035-3736cb76de38,00-0030576,JON213438,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Tyler,Shatley,G,69,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3038-3237ed16183b,00-0030827,SHA509766,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Josh,Wells,T,72,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3038-323983c39f83,00-0030829,WEL457772,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Alfred,Blue,RB,23,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3735f9bae15f,00-0031075,BLU106654,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Andrew,Norwell,G,68,STARTED,2019,32013030-2d30-3033-3131-32321231ca1c,00-0031122,NOR777536,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Brandon,Thomas,G,70,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3133-30352bb67d13,00-0031305,THO043949,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Brandon,Linder,G,65,STARTED,2019,32013030-2d30-3033-3133-3639653484ad,00-0031369,LIN175931,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Marqise,Lee,WR,11,STARTED,2019,32013030-2d30-3033-3134-33311cd674ce,00-0031431,LEE466282,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Jake,Ryan,LB,47,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3135-37382114f0ca,00-0031578,RYA208916,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Thomas,Rawls,RB,34,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3138-3937535e4f25,00-0031897,RAW440791,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Ramik,Wilson,LB,53,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-34337fd967c3,00-0031943,WIL774827,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Davis,Tull,LB,58,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-34368a1c0942,00-0031946,TUL136073,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
D.J.,Alexander,LB,59,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-35304d817857,00-0031950,ALE227676,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
James,O'Shaughnessy,TE,80,STARTED,2019,32013030-2d30-3033-3139-353149d0ce51,00-0031951,OSH126429,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Josh,Lambo,K,04,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3230-3837c02fb433,00-0032087,LAM580646,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Tre,McBride,WR,88,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3231-3233b0e19442,00-0032123,MCB743359,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Chris,Conley,WR,18,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3231-32382075b9f9,00-0032128,CON236839,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Ben,Koyack,TE,83,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3231-3339732fb8f5,00-0032139,KOY563976,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Geoff,Swaim,TE,87,STARTED,2019,32013030-2d30-3033-3231-343113b57f78,00-0032141,SWA047065,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Cedric,Ogbuehi,T,77,STARTED,2019,32013030-2d30-3033-3232-3333278ddb86,00-0032233,OGB666101,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
A.J.,Cann,G,60,STARTED,2019,32013030-2d30-3033-3232-35352c667444,00-0032255,CAN364949,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Jarrod,Wilson,SS,26,STARTED,2019,32013030-2d30-3033-3235-3235356b842e,00-0032525,WIL722801,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Leonard,Wester,T,61,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3238-32379142872b,00-0032827,WES649707,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Myles,Jack,LB,44,STARTED,2019,32013030-2d30-3033-3239-3638a8073d82,00-0032968,JAC008463,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Jalen,Ramsey,DB,20,STARTED,2019,32013030-2d30-3033-3330-3535c37afe19,00-0033055,RAM435895,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Yannick,Ngakoue,DE,91,STARTED,2019,32013030-2d30-3033-3331-32336f481bcb,00-0033123,NGA355963,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
Devante,Mays,RB,33,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3333-30341119341e,00-0033304,MAY738290,,Jacksonville Jaguars,eagles-at-jaguars-2019-pre-2,2019-08-15T23:00:00.000Z
