firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Britton,Colquitt,P,02,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3635-31361c4d7f0a,00-0026516,COL753921,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Everson,Griffen,DE,97,STARTED,2019,32013030-2d30-3032-3737-3031290b02d4,00-0027701,GRI051627,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Linval,Joseph,DT,98,STARTED,2019,32013030-2d30-3032-3738-3835b8883a72,00-0027885,JOS231117,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Kyle,Rudolph,TE,82,STARTED,2019,32013030-2d30-3032-3739-383145dad36a,00-0027981,RUD559717,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Dan,Bailey,K,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3836-3630e498e688,00-0028660,BAI159977,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Kirk,Cousins,QB,08,STARTED,2019,32013030-2d30-3032-3936-303492e9d55e,00-0029604,COU709400,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Harrison,Smith,S,22,STARTED,2019,32013030-2d30-3032-3936-30366a1af096,00-0029606,SMI317465,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Riley,Reiff,T,71,STARTED,2019,32013030-2d30-3032-3936-37328a375fb3,00-0029672,REI392998,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Josh,Kline,G,64,STARTED,2019,32013030-2d30-3032-3939-393242273012,00-0029992,KLI510348,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Adam,Thielen,WR,19,STARTED,2019,32013030-2d30-3033-3030-3335960ad201,00-0030035,THI510348,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Xavier,Rhodes,CB,29,STARTED,2019,32013030-2d30-3033-3035-3735b599af52,00-0030575,RHO552860,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Dakota,Dozier,G,78,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3137afe8f628,00-0031017,DOZ290704,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Shamar,Stephen,DT,93,STARTED,2019,32013030-2d30-3033-3132-3432cb806d36,00-0031242,STE351003,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Anthony,Barr,LB,55,STARTED,2019,32013030-2d30-3033-3132-35365e470a5e,00-0031256,BAR550678,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Trae,Waynes,CB,26,STARTED,2019,32013030-2d30-3033-3135-34366b684020,00-0031546,WAY469703,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
Eric,Kendricks,LB,54,STARTED,2019,32013030-2d30-3033-3135-353413ebca60,00-0031554,KEN101224,Minnesota Vikings,falcons-at-vikings-2019-reg-1,2019-09-08T17:00:00.000Z
