firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Donald,Penn,T,72,STARTED,2019,32013030-2d30-3032-3338-3934dd83e74d,00-0023894,PEN244635,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Adrian,Peterson,RB,26,STARTED,2019,32013030-2d30-3032-3533-3934ceb6c025,00-0025394,PET260705,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Nick,Sundberg,LS,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3637-3134b4545845,00-0026714,SUN263361,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Colt,McCoy,QB,12,NOT_ACTIVE,2019,32013030-2d30-3032-3736-38385988c69a,00-0027688,MCC603149,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Case,Keenum,QB,08,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3839-383680011105,00-0028986,KEE690598,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Josh,Norman,CB,24,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3932-3835d06b9831,00-0029285,NOR291905,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Coty,Sensabaugh,DB,37,STARTED,2019,32013030-2d30-3032-3935-32391736e6f1,00-0029529,SEN455116,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Tony,Bergstrom,OL,66,STARTED,2019,32013030-2d30-3032-3936-3939a448c5fa,00-0029699,BER172402,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Jon,Bostic,LB,53,STARTED,2019,32013030-2d30-3033-3030-3634ae6893cd,00-0030064,BOS528427,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Dustin,Hopkins,K,03,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3030-39382742cd86,00-0030098,HOP165345,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Tress,Way,P,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3031-3430b5e6e73a,00-0030140,WAY228645,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Chris,Thompson,RB,25,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-3034ec604bfe,00-0030404,THO499404,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Kayvon,Webster,DB,38,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3035-32331c7e2625,00-0030523,WEB712587,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Aaron,Colvin,CB,47,STARTED,2019,32013030-2d30-3033-3132-35398007ec79,00-0031259,COL801093,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Morgan,Moses,T,76,STARTED,2019,32013030-2d30-3033-3133-3330c6deaf71,00-0031330,MOS280929,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Nate,Orchard,LB,54,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-3536d4b74086,00-0031556,ORC266972,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Michael,Burton,FB,45,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-3935494ec245,00-0031595,BUR792195,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Quinton,Dunbar,CB,23,NOT_ACTIVE,2019,32013030-2d30-3033-3230-3037b85a2511,00-0032007,DUN101336,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Ereck,Flowers,G,77,STARTED,2019,32013030-2d30-3033-3232-3539a33cd163,00-0032259,FLO325059,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Landon,Collins,S,20,STARTED,2019,32013030-2d30-3033-3232-3632b96a69a3,00-0032262,COL624212,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Josh,Ferguson,RB,36,NOT_ACTIVE,2019,32013030-2d30-3033-3233-3737a4c7eb86,00-0032377,FER201072,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Matt,Ioannidis,DL,98,STARTED,2019,32013030-2d30-3033-3237-38313b4640a5,00-0032781,IOA458455,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Wendell,Smallwood,RB,34,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3237-3832e22c4a1a,00-0032782,SMA757345,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Chris,Odom,LB,50,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3332-333473203b6e,00-0033234,ODO057516,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Maurice,Smith,DB,46,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3334-313572d2d48a,00-0033415,SMI510806,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Jonathan,Allen,DL,93,STARTED,2019,32013030-2d30-3033-3335-3233b32a7355,00-0033523,ALL512725,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Ryan,Anderson,LB,52,STARTED,2019,32013030-2d30-3033-3335-3235d88bcc2d,00-0033525,AND384426,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Montae,Nicholson,S,35,STARTED,2019,32013030-2d30-3033-3335-3237391adee2,00-0033527,NIC604440,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
Jeremy,Sprinkle,TE,87,STARTED,2019,32013030-2d30-3033-3335-323861371214,00-0033528,SPR573222,Washington Redskins,giants-at-redskins-2019-reg-16,2019-12-22T18:00:00.000Z
