firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,gsisPlayer.person,slug,gameTime
John,Denney,LS,92,,2019,32013030-2d30-3032-3331-3733d8d3cf5a,00-0023173,DEN261515,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Ryan,Fitzpatrick,QB,14,STARTED,2019,32013030-2d30-3032-3336-3832b8755c76,00-0023682,FIT792915,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Reshad,Jones,S,20,,2019,32013030-2d30-3032-3737-3632b3bb97d7,00-0027762,JON653665,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Daniel,Kilgore,C,67,STARTED,2019,32013030-2d30-3032-3831-303140db4648,00-0028101,KIL245064,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Dwayne,Allen,TE,89,,2019,32013030-2d30-3032-3936-3839b2db5387,00-0029689,ALL164177,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Jordan,Mills,T,79,,2019,32013030-2d30-3033-3030-3436998d8081,00-0030046,MIL706804,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Kenny,Stills,WR,10,STARTED,2019,32013030-2d30-3033-3030-383513d39aa7,00-0030085,STI417540,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Kiko,Alonso,LB,47,,2019,32013030-2d30-3033-3034-3031fbc833ac,00-0030401,ALO444955,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Akeem,Spence,DT,93,,2019,32013030-2d30-3033-3034-3032a90311e6,00-0030402,SPE410844,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Cornellius,Carradine,DE,95,STARTED,2019,32013030-2d30-3033-3034-35377d1a49a4,00-0030457,CAR445551,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Brice,Butler,WR,17,,2019,32013030-2d30-3033-3035-3136ffd39661,00-0030516,BUT116760,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
T.J.,McDonald,S,22,,2019,32013030-2d30-3033-3035-3330e2720e63,00-0030530,MCD574475,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Albert,Wilson,WR,15,,2019,32013030-2d30-3033-3036-3639cab4fa4f,00-0030669,WIL648299,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Allen,Hurns,WR,86,,2019,32013030-2d30-3033-3038-32317c4d97af,00-0030821,HUR436342,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Tyler,Patmon,CB,08,,2019,32013030-2d30-3033-3132-3736766bb4ae,00-0031276,PAT162966,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Walt,Aikens,S,35,,2019,32013030-2d30-3033-3133-3037123e57e3,00-0031307,AIK288111,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
DeVante,Parker,WR,11,,2019,32013030-2d30-3033-3135-3437b94ee00a,00-0031547,PAR226609,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Eric,Rowe,CB,21,STARTED,2019,32013030-2d30-3033-3135-3535a43c182a,00-0031555,ROW332230,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Nate,Orchard,DE,04,,2019,32013030-2d30-3033-3135-3536d4b74086,00-0031556,ORC266972,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Bobby,McCain,S,28,STARTED,2019,32013030-2d30-3033-3135-383797880c5e,00-0031587,MCC050868,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Joey,Mbu,DT,94,,2019,32013030-2d30-3033-3136-3736d318dca1,00-0031676,MBU029662,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Chris,Reed,C/G,64,,2019,32013030-2d30-3033-3137-33346ff640bb,00-0031734,REE163330,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Jesse,Davis,G/T,77,STARTED,2019,32013030-2d30-3033-3138-3933495999f9,00-0031893,DAV456757,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Nick,O'Leary,TE,83,,2019,32013030-2d30-3033-3231-313750f98f5b,00-0032117,OLE052702,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Clive,Walford,TE,87,,2019,32013030-2d30-3033-3232-3536ad86f805,00-0032256,WAL062390,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Laremy,Tunsil,T,78,,2019,32013030-2d30-3033-3233-383071000d20,00-0032380,TUN565442,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Tyrone,Holmes,DE,50,,2019,32013030-2d30-3033-3234-32386297ff8b,00-0032428,HOL658072,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Jake,Rudock,QB,05,,2019,32013030-2d30-3033-3234-333173fb0a2e,00-0032431,RUD297966,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Jakeem,Grant,WR,19,,2019,32013030-2d30-3033-3237-39318d01ca59,00-0032791,GRA443889,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Terrance,Smith,LB,06,,2019,32013030-2d30-3033-3238-3230b7835dbf,00-0032820,SMI739067,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Kenneth,Farrow,RB,34,,2019,32013030-2d30-3033-3239-30326e11b5f6,00-0032902,FAR789227,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Zach,Sterup,T,74,STARTED,2019,32013030-2d30-3033-3239-32314e9e92c4,00-0032921,STE576897,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Adolphus,Washington,DT,53,,2019,32013030-2d30-3033-3330-3337f35ab22f,00-0033037,WAS013310,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Xavien,Howard,CB,25,STARTED,2019,32013030-2d30-3033-3330-3530d83514c6,00-0033050,HOW492325,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Reece,Horn,WR,18,,2019,32013030-2d30-3033-3330-39324d01ddd7,00-0033092,HOR165978,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
Kenyan,Drake,RB,32,,2019,32013030-2d30-3033-3331-31385a388006,00-0033118,DRA280410,Miami Dolphins,,jaguars-at-dolphins-2019-pre-3,2019-08-23T00:00:00.000Z
