firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Josh,McCown,QB,18,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3132-3036625eba8c,00-0021206,MCC600777,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Jason,Peters,T,71,STARTED,2019,32013030-2d30-3032-3235-33311e2f3ae1,00-0022531,PET150539,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Darren,Sproles,RB,43,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3335-3634a4a97bd6,00-0023564,SPR711296,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
DeSean,Jackson,WR,10,NOT_ACTIVE,2019,32013030-2d30-3032-3631-383993ac1996,00-0026189,JAC127681,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Malcolm,Jenkins,S,27,STARTED,2019,32013030-2d30-3032-3639-39302fb5c38b,00-0026990,JEN372222,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Brandon,Graham,DE,55,STARTED,2019,32013030-2d30-3032-3738-36355d1674ee,00-0027865,GRA130064,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Andrew,Sendejo,S,42,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3739-3134a2365466,00-0027914,SEN095404,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Jason,Kelce,C,62,STARTED,2019,32013030-2d30-3032-3831-323921ba2395,00-0028129,KEL008305,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Rodney,McLeod,S,23,STARTED,2019,32013030-2d30-3032-3838-39398c545840,00-0028899,MCL709174,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
L.J.,Fort,LB,58,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3839-33321717a543,00-0028932,FOR595356,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Alshon,Jeffery,WR,17,NOT_ACTIVE,2019,32013030-2d30-3032-3931-33376f5ae4ed,00-0029137,JEF498860,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Nigel,Bradham,LB,53,STARTED,2019,32013030-2d30-3032-3932-373263884bcf,00-0029272,BRA104685,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Vinny,Curry,DE,75,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3934-3132cdd2afbb,00-0029412,CUR528238,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Zach,Brown,LB,52,STARTED,2019,32013030-2d30-3032-3935-36364cfd1c64,00-0029566,BRO777933,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Fletcher,Cox,DT,91,STARTED,2019,32013030-2d30-3032-3936-35338d6f3da5,00-0029653,COX200177,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Brandon,Brooks,G,79,STARTED,2019,32013030-2d30-3032-3936-37399e1d57a3,00-0029679,BRO118473,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Zach,Ertz,TE,86,STARTED,2019,32013030-2d30-3033-3030-3631da16c503,00-0030061,ERT800920,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Akeem,Spence,DT,66,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-3032a90311e6,00-0030402,SPE410844,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Johnathan,Cyprien,S,37,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3035-333885612634,00-0030538,CYP563610,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Lane,Johnson,T,65,STARTED,2019,32013030-2d30-3033-3035-36317904d9e8,00-0030561,JOH399478,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Timmy,Jernigan,DT,93,NOT_ACTIVE,2019,32013030-2d30-3033-3131-3730a64ca334,00-0031170,JER465471,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Nelson,Agholor,WR,13,STARTED,2019,32013030-2d30-3033-3135-3439d46a53e9,00-0031549,AGH474619,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Rick,Lovato,LS,45,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-31317b793032,00-0031911,LOV004796,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Ronald,Darby,CB,21,STARTED,2019,32013030-2d30-3033-3231-3935e97b369f,00-0032195,DAR187187,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Hassan,Ridgeway,DT,98,STARTED,2019,32013030-2d30-3033-3234-303284cc6773,00-0032402,RID299361,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Kamu,Grugier-Hill,LB,54,NOT_ACTIVE,2019,32013030-2d30-3033-3234-333766f3bc0f,00-0032437,GRU516162,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Jordan,Howard,RB,24,STARTED,2019,32013030-2d30-3033-3237-383013f97b82,00-0032780,HOW239418,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Halapoulivaati,Vaitai,T,72,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3237-383559288023,00-0032785,VAI626496,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Nate,Sudfeld,QB,07,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3237-3932899dadbc,00-0032792,SUD197144,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Alex,Ellis,TE,85,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3238-3634724912fc,00-0032864,ELL403440,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Carson,Wentz,QB,11,STARTED,2019,32013030-2d30-3033-3239-3530c5ee180a,00-0032950,WEN615770,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Isaac,Seumalo,OL,73,STARTED,2019,32013030-2d30-3033-3239-35341b0c9724,00-0032954,SEU306003,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Daeshon,Hall,DE,74,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3332-3835affd0944,00-0033285,HAL242596,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Sidney,Jones,CB,22,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3335-3433e9d88c50,00-0033543,JON719895,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Rasul,Douglas,CB,32,STARTED,2019,32013030-2d30-3033-3335-3531f744d380,00-0033551,DOU604176,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Mack,Hollins,WR,16,STARTED,2019,32013030-2d30-3033-3335-3535b99a28a0,00-0033555,HOL280459,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Nathan,Gerry,LB,47,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3335-373760a67b06,00-0033577,GER650621,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Corey,Clement,RB,30,NOT_ACTIVE,2019,32013030-2d30-3033-3337-323549d471ee,00-0033725,CLE186218,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Cameron,Johnston,P,01,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3337-3239fb3abc06,00-0033729,JOH795940,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Greg,Ward,WR,84,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3337-3333ab411741,00-0033733,WAR170484,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Jake,Elliott,K,04,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3337-38377f25b5f4,00-0033787,ELL296383,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Rudy,Ford,S,36,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3337-3932798dd4d9,00-0033792,FOR323002,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Derek,Barnett,DE,96,STARTED,2019,32013030-2d30-3033-3338-3736e981f6a8,00-0033876,BAR405176,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Dallas,Goedert,TE,88,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3433-35319713cf6f,00-0034351,GOE595520,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Avonte,Maddox,CB,29,STARTED,2019,32013030-2d30-3033-3433-3737c893c192,00-0034377,MAD347585,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Josh,Sweat,DE,94,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3433-3831afa0e62c,00-0034381,SWE031587,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Matt,Pryor,G/T,69,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3434-31374124eee6,00-0034417,PRY460541,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Andre,Dillard,T,77,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3532-3333c713ba5d,00-0035233,DIL186167,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Miles,Sanders,RB,26,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3532-3433c2333695,00-0035243,SAN153567,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
J.J.,Arcega-Whiteside,WR,19,STARTED,2019,32013030-2d30-3033-3532-3436c5285dac,00-0035246,ARC336505,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Shareef,Miller,DE,51,NOT_ACTIVE,2019,32013030-2d30-3033-3532-3637ef3490ac,00-0035267,MIL373761,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Nate,Herbig,G,67,NOT_ACTIVE,2019,32013030-2d30-3033-3533-3833f5ae43a3,00-0035383,HER040461,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
T.J.,Edwards,LB,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3533-3836c6cec8bd,00-0035386,EDW688767,Philadelphia Eagles,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Don,Muhlbach,LS,48,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3234-35359d5f9fd7,00-0022455,MUH609435,Detroit Lions,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Matt,Prater,K,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3338-35338ddfcccf,00-0023853,PRA143616,Detroit Lions,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Danny,Amendola,WR,80,STARTED,2019,32013030-2d30-3032-3630-33356909a613,00-0026035,AME359918,Detroit Lions,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Matthew,Stafford,QB,09,STARTED,2019,32013030-2d30-3032-3634-39382e08c011,00-0026498,STA134157,Detroit Lions,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Kenny,Wiggins,G,79,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3832-34301710f2b0,00-0028240,WIG184866,Detroit Lions,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Damon,Harrison,DT,98,STARTED,2019,32013030-2d30-3032-3930-3430a1106dc1,00-0029040,HAR576467,Detroit Lions,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Mike,Daniels,DT,96,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3932-38346365b381,00-0029284,DAN575730,Detroit Lions,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
Marvin,Jones,WR,11,STARTED,2019,32013030-2d30-3032-3932-3933c267e06d,00-0029293,JON601697,Detroit Lions,lions-at-eagles-2019-reg-3,2019-09-22T17:00:00.000Z
