firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Jason,Witten,TE,82,STARTED,2019,32013030-2d30-3032-3231-32373ce51f62,00-0022127,WIT559021,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
L.P.,Ladouceur,LS,91,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3332-3938bbd87157,00-0023298,LAD000000,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Sean,Lee,LB,50,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3736-36339b59a826,00-0027663,LEE650245,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Tyron,Smith,T,77,NOT_ACTIVE,2019,32013030-2d30-3032-3739-343714e02a3d,00-0027947,SMI766760,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Robert,Quinn,DE,58,STARTED,2019,32013030-2d30-3032-3739-3532c641341b,00-0027952,QUI715221,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Randall,Cobb,WR,18,STARTED,2019,32013030-2d30-3032-3830-303218eca9b5,00-0028002,COB365535,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Chris,Jones,P,06,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3836-3634e531f84b,00-0028664,JON161572,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Joe,Looney,C,73,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3932-3738b3560098,00-0029278,LOO721674,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Jamize,Olawale,FB,49,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3934-39322aff7ddb,00-0029492,OLA706032,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Tyrone,Crawford,DE,98,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-3431ef6ddb5e,00-0029641,CRA756298,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Jeff,Heath,DB,38,STARTED,2019,32013030-2d30-3033-3031-3936355d346b,00-0030196,HEA721605,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Brett,Maher,K,02,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3033-3332117ae233,00-0030332,MAH294385,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
Tavon,Austin,WR,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3035-32354e0c0897,00-0030525,AUS659596,Dallas Cowboys,packers-at-cowboys-2019-reg-5,2019-10-06T20:25:00.000Z
