firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Richie,Incognito,G,64,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3335-3136a12f7100,00-0023516,INC474619,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Antonio,Brown,WR,84,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3737-393324cab550,00-0027793,BRO000001,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Rodney,Hudson,C,61,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3739-39333bb5a9cd,00-0027993,HUD736504,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Dwayne,Harris,WR/RS,17,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3831-3134ffabe51a,00-0028114,HAR376781,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Vontaze,Burfict,LB,55,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3839-313258e9d73e,00-0028912,BUR044491,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Derek,Carrier,TE,85,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3931-31398fc22e24,00-0029119,CAR471726,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Tahir,Whitehead,LB,59,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3932-3132a04895f8,00-0029212,WHI627494,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Doug,Martin,RB,22,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3936-3133eeed3ef3,00-0029613,MAR578568,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Brandon,Marshall,LB,54,STARTED,2019,32013030-2d30-3032-3936-3230d4d9c901,00-0029620,MAR373584,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Kyle,Wilber,LB,58,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3936-343785dc5b11,00-0029647,WIL000201,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Andrew,DePaola,LS,48,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3937-3134e3ec8d5f,00-0029714,DEP118180,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Jordan,Devey,OL,65,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3030-3131717e3a00,00-0030011,DEV185707,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Johnathan,Hankins,DT,90,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3030-3633feb17156,00-0030063,HAN169902,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Luke,Willson,TE,82,STARTED,2019,32013030-2d30-3033-3030-3839d2c7a50e,00-0030089,WIL747168,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Benson,Mayowa,DE,91,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3033-383070c8a327,00-0030380,MAY692147,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Mike,Glennon,QB,07,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3035-3230b20b479c,00-0030520,GLE711694,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Jonathan,Cooper,G,70,STARTED,2019,32013030-2d30-3033-3035-39304c8d7fe3,00-0030590,COO615714,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Josh,Mauro,DE,97,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3038-38333145de9e,00-0030883,MAU640520,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Keith,Smith,LB,41,STARTED,2019,32013030-2d30-3033-3039-3638401d13f7,00-0030968,SMI449995,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Ethan,Westbrooks,DT,63,STARTED,2019,32013030-2d30-3033-3039-3836d9184f96,00-0030986,WES590634,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Ryan,Grant,WR,19,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3130-36387192b459,00-0031068,GRA498062,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Nevin,Lawson,CB,26,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-37366edb26c7,00-0031176,LAW715017,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Derek,Carr,QB,04,STARTED,2019,32013030-2d30-3033-3132-3830ee8bf3c4,00-0031280,CAR358797,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Justin,Ellis,DT,78,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3133-343690913418,00-0031346,ELL559046,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Gabe,Jackson,G,66,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3133-3637bb0cf47c,00-0031367,JAC178303,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Lamarcus,Joyner,S,29,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3133-3839f30c04d9,00-0031389,JOY464866,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Jordan,Richards,S,39,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-3539dcdf4637,00-0031559,RIC293560,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Gabe,Wright,DT,57,STARTED,2019,32013030-2d30-3033-3135-37343ae8e82a,00-0031574,WRI269524,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
Darren,Waller,TE,83,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3136-3130db0aa3c4,00-0031610,WAL509040,Oakland Raiders,packers-at-raiders-2019-pre-3,2019-08-23T00:00:00.000Z
