firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Sam,Koch,P,04,,2019,32013030-2d30-3032-3434-31371043198a,00-0024417,KOC420430,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Marshal,Yanda,G,73,,2019,32013030-2d30-3032-3534-37331c522193,00-0025473,YAN330781,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Brandon,Carr,CB,24,STARTED,2019,32013030-2d30-3032-3632-3830b7e3f619,00-0026280,CAR347675,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Anthony,Levine,DB,41,,2019,32013030-2d30-3032-3735-3339e5bcf197,00-0027539,LEV588156,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Morgan,Cox,LS,46,,2019,32013030-2d30-3032-3735-3537121340d6,00-0027557,COX524880,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Earl,Thomas,FS,29,STARTED,2019,32013030-2d30-3032-3738-3636ffef4ebf,00-0027866,THO124271,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Jimmy,Smith,DB,22,,2019,32013030-2d30-3032-3739-3635a9ca9b5f,00-0027965,SMI000006,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Mark,Ingram,RB,21,STARTED,2019,32013030-2d30-3032-3739-3636b58ad264,00-0027966,ING656964,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Pernell,McPhee,DE,90,STARTED,2019,32013030-2d30-3032-3831-303340e51c57,00-0028103,MCP426538,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Justin,Bethel,DB,28,,2019,32013030-2d30-3032-3935-3330cfc50f82,00-0029530,BET201235,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Justin,Tucker,K,09,,2019,32013030-2d30-3032-3935-39371b9a6ac1,00-0029597,TUC224643,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Michael,Floyd,WR,13,,2019,32013030-2d30-3032-3936-3338b45fbf5b,00-0029638,FLO764240,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Robert,Griffin,QB,03,,2019,32013030-2d30-3032-3936-3635a9a33dbc,00-0029665,GRI283140,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Brynden,Trawick,DB,31,,2019,32013030-2d30-3033-3030-32302e2cc58d,00-0030020,TRA546413,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Tony,Jefferson,DB,23,STARTED,2019,32013030-2d30-3033-3032-393429b454aa,00-0030294,JEF423538,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Brandon,Williams,DT,98,STARTED,2019,32013030-2d30-3033-3035-313110f7ff08,00-0030511,WIL156757,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Willie,Snead,WR,83,STARTED,2019,32013030-2d30-3033-3036-3633c60355af,00-0030663,SNE115447,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
James,Hurst,T,74,STARTED,2019,32013030-2d30-3033-3036-3934e006a669,00-0030694,HUR496348,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Seth,Roberts,WR,11,,2019,32013030-2d30-3033-3131-3636f0071728,00-0031166,ROB240370,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Bennett,Jackson,DB,33,,2019,32013030-2d30-3033-3131-383839165e55,00-0031188,JAC000002,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Stanley,Jean-Baptiste,DB,38,,2019,32013030-2d30-3033-3132-33391afad1f3,00-0031239,JEA413603,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Nick,Boyle,TE,86,STARTED,2019,32013030-2d30-3033-3135-393822341006,00-0031598,BOY688993,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Shane,Ray,DE,91,,2019,32013030-2d30-3033-3232-3231795d4997,00-0032221,RAY427102,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Cyrus,Jones,DB,27,STARTED,2019,32013030-2d30-3033-3233-39305aa105d9,00-0032390,JON188523,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Chris,Moore,WR,10,,2019,32013030-2d30-3033-3233-3938c91156c5,00-0032398,MOO226734,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
Tyler,Ervin,RB,39O,,2019,32013030-2d30-3033-3234-3034f880eafa,00-0032404,ERV286234,,Baltimore Ravens,packers-at-ravens-2019-pre-2,2019-08-15T23:30:00.000Z
