firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Brian,Hoyer,QB,02,,2019,32013030-2d30-3032-3636-3235a601d8e5,00-0026625,HOY440791,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
Anthony,Castonzo,T,74,STARTED,2019,32013030-2d30-3032-3739-363035ad1bdc,00-0027960,CAS792239,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
Jabaal,Sheard,DE,93,STARTED,2019,32013030-2d30-3032-3739-373560a75321,00-0027975,SHE039759,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
Justin,Houston,DE,99,STARTED,2019,32013030-2d30-3032-3830-30385a66c5e4,00-0028008,HOU476949,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
Dontrelle,Inman,WR,86,,2019,32013030-2d30-3032-3834-3131ecbba609,00-0028411,INM264861,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
T.Y.,Hilton,WR,13,STARTED,2019,32013030-2d30-3032-3936-30385788c9a5,00-0029608,HIL775449,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
Jack,Doyle,TE,84,STARTED,2019,32013030-2d30-3033-3031-3831dd11abdd,00-0030181,DOY403968,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
Margus,Hunt,DT,92,,2019,32013030-2d30-3033-3034-3439956fa1bc,00-0030449,HUN320751,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
Josh,Andrews,C,63,,2019,32013030-2d30-3033-3037-30362b4c555f,00-0030706,AND691210,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
Denico,Autry,DE/DT,96,STARTED,2019,32013030-2d30-3033-3132-353442e46153,00-0031254,AUT529722,Indianapolis Colts,panthers-at-colts-2019-reg-16,2019-12-22T18:00:00.000Z
