firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Terrell,Suggs,LB,56,STARTED,2019,32013030-2d30-3032-3231-363176e3f662,00-0022161,SUG467201,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Andy,Lee,P,04,,2019,32013030-2d30-3032-3238-32349b479eae,00-0022824,LEE008195,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Larry,Fitzgerald,WR,11,,2019,32013030-2d30-3032-3239-323176c2a1fa,00-0022921,FIT437493,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
A.Q.,Shipley,OL,53,STARTED,2019,32013030-2d30-3032-3639-3530107a8485,00-0026950,SHI382248,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Tramaine,Brock,CB,20,STARTED,2019,32013030-2d30-3032-3733-3735cd38f2bb,00-0027375,BRO052785,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Corey,Peters,DL,98,STARTED,2019,32013030-2d30-3032-3736-383628cbcfd8,00-0027686,PET099667,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Patrick,Peterson,CB,21,STARTED,2019,32013030-2d30-3032-3739-3433ed8bd872,00-0027943,PET415511,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Brooks,Reed,LB,50,,2019,32013030-2d30-3032-3739-3830828270d1,00-0027980,REE154467,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Marcus,Gilbert,OL,76,STARTED,2019,32013030-2d30-3032-3830-30311696931e,00-0028001,GIL115946,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Terrell,McClain,DL,90,,2019,32013030-2d30-3032-3830-30337040cfc8,00-0028003,MCC342970,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Charles,Clay,TE,85,,2019,32013030-2d30-3032-3831-313217c3fa36,00-0028112,CLA715825,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Aaron,Brewer,LS,46,,2019,32013030-2d30-3032-3839-3436d6117ece,00-0028946,BRE611741,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
J.R.,Sweezy,OL,64,STARTED,2019,32013030-2d30-3032-3931-3436d573f04a,00-0029146,SWE678847,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Chandler,Jones,LB,55,STARTED,2019,32013030-2d30-3032-3935-383530790f3b,00-0029585,JON157557,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Andre,Branch,LB,49D,,2019,32013030-2d30-3032-3936-3030e4283074,00-0029600,BRA489900,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Robert,Alford,CB,23,,2019,32013030-2d30-3033-3035-323867243165,00-0030528,ALF657259,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
D.J.,Swearinger,S,36,STARTED,2019,32013030-2d30-3033-3035-3636220c99e5,00-0030566,SWE023150,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Justin,Pugh,OL,67,,2019,32013030-2d30-3033-3035-383587ea2e70,00-0030585,PUG243645,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Jeremy,Vujnovich,OL,68,,2019,32013030-2d30-3033-3036-32391a91c548,00-0030629,VUJ444955,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Kevin,White,WR,18,,2019,32013030-2d30-3033-3135-343584aec732,00-0031545,WHI315610,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Maxx,Williams,TE,87,STARTED,2019,32013030-2d30-3033-3135-35387ca5d707,00-0031558,WIL436992,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Brett,Hundley,QB,07,,2019,32013030-2d30-3033-3135-3839c2d37962,00-0031589,HUN005842,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Damiere,Byrd,WR,14,,2019,32013030-2d30-3033-3138-3638bc374295,00-0031868,BYR127180,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Jordan,Hicks,LB,58,STARTED,2019,32013030-2d30-3033-3231-32398091cea5,00-0032129,HIC516259,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Rodney,Gunter,DL,95,STARTED,2019,32013030-2d30-3033-3231-3331fa5a9007,00-0032131,GUN730129,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Max,Garcia,OL,73,,2019,32013030-2d30-3033-3231-3332f008dd2c,00-0032132,GAR112389,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Josh,Shaw,DB,27,,2019,32013030-2d30-3033-3231-3638cb7f2262,00-0032168,SHA641197,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Hayes,Pullard,LB,44,,2019,32013030-2d30-3033-3231-373186f1cddf,00-0032171,PUL389002,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
David,Johnson,RB,31,STARTED,2019,32013030-2d30-3033-3231-3837af32a123,00-0032187,JOH174477,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
D.J.,Humphries,OL,74,STARTED,2019,32013030-2d30-3033-3232-32329f997f2b,00-0032222,HUM728022,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Sterling,Bailey,DL,71,,2019,32013030-2d30-3033-3233-343412460489,00-0032344,BAI629414,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Rees,Odhiambo,OL,63,,2019,32013030-2d30-3033-3233-3937c2d7bc32,00-0032397,ODH296636,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Vontarrius,Dora,LB,54,,2019,32013030-2d30-3033-3234-3834e41ef634,00-0032484,DOR024911,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
D.J.,Foster,RB,37,,2019,32013030-2d30-3033-3235-37373604d8f6,00-0032577,FOS199981,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Brandon,Williams,CB,26,,2019,32013030-2d30-3033-3237-36395969c9d3,00-0032769,WIL000008,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Parker,Ehinger,OL,78,,2019,32013030-2d30-3033-3237-3731655f8d47,00-0032771,EHI428791,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Joe,Walker,LB,59,,2019,32013030-2d30-3033-3238-3039186b08d6,00-0032809,WAL224854,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
Pete,Robertson,LB,45,,2019,32013030-2d30-3033-3238-3531bc55a660,00-0032851,ROB359521,,Arizona Cardinals,raiders-at-cardinals-2019-pre-2,2019-08-16T00:00:00.000Z
