firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Greg,Olsen,TE,88,STARTED,2019,32013030-2d30-3032-3534-3138dcd6869e,00-0025418,OLS094822,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
J.J.,Jansen,LS,44,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3630-32372e34eeff,00-0026027,JAN681650,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Kyle,Love,NT,77,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3732-33369bfacc36,00-0027236,LOV026391,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Gerald,McCoy,DT,93,STARTED,2019,32013030-2d30-3032-3738-35367fd3b152,00-0027856,MCC604879,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Cam,Newton,QB,01,STARTED,2019,32013030-2d30-3032-3739-33399bbb0097,00-0027939,NEW693984,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Colin,Jones,DB,42,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3831-3238c7b26a42,00-0028128,JON179862,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Chris,Hogan,WR,15,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3832-3337571d9f50,00-0028237,HOG008552,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Mario,Addison,DE,97,STARTED,2019,32013030-2d30-3032-3833-3339b613b9ab,00-0028339,ADD494264,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Bruce,Irvin,DE,55,NOT_ACTIVE,2019,32013030-2d30-3032-3931-3933fbe0b03b,00-0029193,IRV115072,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Luke,Kuechly,LB,59,STARTED,2019,32013030-2d30-3032-3932-34382f0a2113,00-0029248,KUE289610,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Jarius,Wright,WR,13,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3935-3732c16fcd87,00-0029572,WRI391959,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Greg,Van Roten,G,73,STARTED,2019,32013030-2d30-3032-3936-383590699ce0,00-0029685,VAN749202,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Dontari,Poe,NT,95,STARTED,2019,32013030-2d30-3032-3936-38388636b4cc,00-0029688,POE346076,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Kawann,Short,DT,99,STARTED,2019,32013030-2d30-3033-3034-343818f5686c,00-0030448,SHO598059,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Eric,Reid,DB,25,STARTED,2019,32013030-2d30-3033-3035-343810f342d3,00-0030548,REI265485,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Tyler,Larsen,C,69,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3038-3639233ab133,00-0030869,LAR424403,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Ross,Cockrell,DB,47,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3136d67a9c32,00-0031016,COC494116,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Tre,Boston,DB,33,STARTED,2019,32013030-2d30-3033-3132-3631e5be2cea,00-0031261,BOS695248,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Matt,Paradis,C,61,STARTED,2019,32013030-2d30-3033-3133-34394f107e3b,00-0031349,PAR002722,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Trai,Turner,G,70,STARTED,2019,32013030-2d30-3033-3133-3632143c144d,00-0031362,TUR715469,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Michael,Palardy,P,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3133-36335b1dc371,00-0031363,PAL050322,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Chris,Manhertz,TE,82,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3134-3834c746ce64,00-0031484,MAN285874,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Efe,Obada,DE,94,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-303093b35763,00-0031500,OBA109286,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Shaq,Thompson,LB,54,STARTED,2019,32013030-2d30-3033-3135-353083b23e2f,00-0031550,GRE573058,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Daryl,Williams,T,60,STARTED,2019,32013030-2d30-3033-3135-36377d7d0074,00-0031567,WIL208701,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
James,Bradberry,DB,24,STARTED,2019,32013030-2d30-3033-3238-3930563dcb7e,00-0032890,BRA092789,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Vernon,Butler,DT,92,NOT_ACTIVE,2019,32013030-2d30-3033-3239-3637f9bc6c72,00-0032967,BUT599965,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Javien,Elliott,DB,23,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3330-373023e2b645,00-0033070,ELL311300,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Christian,McCaffrey,RB,22,STARTED,2019,32013030-2d30-3033-3332-3830ec2c3be7,00-0033280,MCC035988,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Curtis,Samuel,WR,10,STARTED,2019,32013030-2d30-3033-3332-3832d7ac289b,00-0033282,SAM633285,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Taylor,Moton,T,72,STARTED,2019,32013030-2d30-3033-3332-3834b26814e1,00-0033284,MOT466221,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Alex,Armah,RB,40,STARTED,2019,32013030-2d30-3033-3332-3936a29f674a,00-0033296,ARM000892,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
Brandon,Greene,G,75,NOT_ACTIVE,2019,32013030-2d30-3033-3430-3236dd59ebed,00-0034026,GRE416444,Carolina Panthers,rams-at-panthers-2019-reg-1,2019-09-08T17:00:00.000Z
