firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Drew,Stanton,QB,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3534-3330104af661,00-0025430,STA482517,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Britton,Colquitt,P,04,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3635-31361c4d7f0a,00-0026516,COL753921,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Morgan,Burnett,SS,42,STARTED,2019,32013030-2d30-3032-3736-373610c584f3,00-0027676,BUR426788,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Charley,Hughlett,LS,47,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3930-3038191b1b93,00-0029008,HUG732560,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Orson,Charles,TE,82,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3934-3134200dc1c7,00-0029414,CHA591533,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Olivier,Vernon,DE,54,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3032-3936-393349c3db48,00-0029693,VER613364,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Christopher,Hubbard,G,74,STARTED,2019,32013030-2d30-3032-3939-3633f9e311fc,00-0029963,HUB174074,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Ray-Ray,Armstrong,DB,52,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3030-35307a6d2528,00-0030050,ARM649391,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
J.C.,Tretter,C,64,STARTED,2019,32013030-2d30-3033-3030-3736f297739d,00-0030076,TRE768289,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Eric,Kush,C,72,STARTED,2019,32013030-2d30-3033-3030-39343a46bc23,00-0030094,KUS182145,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Demetrius,Harris,TE,88,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3031-3535bd049f8c,00-0030155,HAR363756,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Sheldon,Richardson,DT,98,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3035-3733d0487351,00-0030573,RIC621130,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Phillip,Gaines,DB,28,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3135bbd10997,00-0031015,GAI428981,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Terrance,Mitchell,CB,39,STARTED,2019,32013030-2d30-3033-3130-3937b6f75683,00-0031097,MIT731784,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Adarius,Taylor,LB,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-32302a2f1f0a,00-0031120,GLA303597,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Bryan,Witzmann,T,71,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-3532231a4e1f,00-0031152,WIT821930,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Odell,Beckham,WR,13,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3132-3335cebc9f07,00-0031235,BEC573252,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Chris,Smith,DE,50,STARTED,2019,32013030-2d30-3033-3132-3634dc4d3e60,00-0031264,SMI141571,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
T.J.,Carrie,DB,38,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-3639766122e4,00-0031269,CAR470432,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Christian,Kirksey,LB,58,STARTED,2019,32013030-2d30-3033-3133-3631e1e83681,00-0031361,KIR636906,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Jarvis,Landry,WR,80,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3133-3832ba34ef7f,00-0031382,LAN163029,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Greg,Robinson,T,78,STARTED,2019,32013030-2d30-3033-3133-383650e0f568,00-0031386,ROB501818,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Garrett,Gilbert,QB,03,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3133-3935f835967d,00-0031395,GIL072219,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
