firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Aaron,Rodgers,QB,12,STARTED,2019,32013030-2d30-3032-3334-35395dc60da5,00-0023459,ROD339293,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Tramon,Williams,CB,38,STARTED,2019,32013030-2d30-3032-3430-3631de8ced85,00-0024061,WIL545231,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Marcedes,Lewis,TE,89,,2019,32013030-2d30-3032-3432-34333951f04d,00-0024243,LEW492053,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Mason,Crosby,K,02,,2019,32013030-2d30-3032-3535-3830b71d2a71,00-0025580,CRO369933,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Jared,Veldheer,T,68,,2019,32013030-2d30-3032-3736-37344e470d13,00-0027674,VEL116302,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Jimmy,Graham,TE,80,STARTED,2019,32013030-2d30-3032-3736-39363e3fa7c9,00-0027696,GRA207087,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Bryan,Bulaga,T,75,STARTED,2019,32013030-2d30-3032-3738-3735579bc4cb,00-0027875,BUL062007,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
David,Bakhtiari,T,69,STARTED,2019,32013030-2d30-3033-3030-3734bc69065d,00-0030074,BAK787653,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Corey,Linsley,C,63,STARTED,2019,32013030-2d30-3033-3130-3139d8e2428b,00-0031019,LIN775645,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Ryan,Grant,WR,11,,2019,32013030-2d30-3033-3130-36387192b459,00-0031068,GRA498062,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Davante,Adams,WR,17,STARTED,2019,32013030-2d30-3033-3133-383188f79eec,00-0031381,ADA218591,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Billy,Turner,G/T,77,STARTED,2019,32013030-2d30-3033-3134-3333947316fe,00-0031433,TUR164810,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Za'Darius,Smith,LB,55,STARTED,2019,32013030-2d30-3033-3135-3736b7d600c4,00-0031576,SMI827086,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Adrian,Amos,S,31,STARTED,2019,32013030-2d30-3033-3135-3834a8fd34be,00-0031584,AMO568523,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Jake,Kumerow,WR,16,,2019,32013030-2d30-3033-3137-3837990186b1,00-0031787,KUM425791,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Preston,Smith,LB,91,STARTED,2019,32013030-2d30-3033-3139-3335684d66c3,00-0031935,SMI576520,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Ibraheim,Campbell,S,35,STARTED,2019,32013030-2d30-3033-3231-3938f306d5a2,00-0032198,CAM362155,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Tyler,Ervin,RB,32,,2019,32013030-2d30-3033-3234-3034f880eafa,00-0032404,ERV286234,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Blake,Martinez,LB,50,STARTED,2019,32013030-2d30-3033-3234-303834087ca1,00-0032408,MAR776230,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Dean,Lowry,DL,94,STARTED,2019,32013030-2d30-3033-3234-3132b094848f,00-0032412,LOW617631,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Geronimo,Allison,WR,81,,2019,32013030-2d30-3033-3236-3236528d2f19,00-0032626,ALL713965,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Dan,Vitale,FB,45,,2019,32013030-2d30-3033-3237-3934a8a0ea1c,00-0032794,VIT349599,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Kyler,Fackrell,LB,51,,2019,32013030-2d30-3033-3239-3535ca9e0256,00-0032955,FAC355963,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Lucas,Patrick,G,62,,2019,32013030-2d30-3033-3330-3832a408d767,00-0033082,PAT269889,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Kenny,Clark,DL,97,STARTED,2019,32013030-2d30-3033-3331-3230f91cadb7,00-0033120,CLA409251,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
B.J.,Goodson,LB,93,,2019,32013030-2d30-3033-3331-3231f1480e6e,00-0033121,GOO568123,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Will,Redmond,S,25,,2019,32013030-2d30-3033-3331-32347699b14d,00-0033124,RED713301,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Aaron,Jones,RB,33,STARTED,2019,32013030-2d30-3033-3332-3933ed82c0de,00-0033293,JON026624,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Kevin,King,CB,20,STARTED,2019,32013030-2d30-3033-3335-3234d65da3fb,00-0033524,KIN560624,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Robert,Tonyan,TE,85,,2019,32013030-2d30-3033-3337-353731d69d3c,00-0033757,TON816385,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Montravius,Adams,DL,90,,2019,32013030-2d30-3033-3339-323977b44841,00-0033929,ADA519824,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Jamaal,Williams,RB,30,,2019,32013030-2d30-3033-3339-3438708d63ec,00-0033948,WIL328269,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
J.K.,Scott,P,06,,2019,32013030-2d30-3033-3431-3632e18627d4,00-0034162,SCO395209,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Hunter,Bradley,LS,43,,2019,32013030-2d30-3033-3431-3638ecaf5b8f,00-0034168,BRA208288,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Tim,Boyle,QB,08,,2019,32013030-2d30-3033-3431-37377f312969,00-0034177,BOY696580,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Tyler,Lancaster,DL,95,,2019,32013030-2d30-3033-3431-3835ae1e2246,00-0034185,LAN015019,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Alex,Light,T/G,70,,2019,32013030-2d30-3033-3431-38362f855ffc,00-0034186,LIG422752,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Marquez,Valdes-Scantling,WR,83,STARTED,2019,32013030-2d30-3033-3432-3732360353be,00-0034272,VAL142116,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Chandon,Sullivan,CB,39,,2019,32013030-2d30-3033-3434-3638f735ae47,00-0034468,SUL125724,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Allen,Lazard,WR,13,STARTED,2019,32013030-2d30-3033-3435-323139d34fef,00-0034521,LAZ043714,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Jaire,Alexander,CB,23,STARTED,2019,32013030-2d30-3033-3437-3238cfd86870,00-0034728,ALE291426,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Josh,Jackson,CB,37,,2019,32013030-2d30-3033-3437-35317e43e142,00-0034751,JAC280902,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
Oren,Burks,LB,42,,2019,32013030-2d30-3033-3437-353454a24337,00-0034754,BUR284869,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
John,Leglue,T,79,,2019,32013030-2d30-3033-3439-33376263502b,00-0034937,LEG694744,Green Bay Packers,seahawks-at-packers-2019-post-2,2020-01-12T23:40:00.000Z
