firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Jon,Condo,LS,59,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3331-3737d624b23d,00-0023177,CON072674,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Robbie,Gould,K,09,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3332-3532f5449f53,00-0023252,GOU258729,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Joe,Staley,T,74,NOT_ACTIVE,2019,32013030-2d30-3032-3534-3135380855dd,00-0025415,STA213196,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Ben,Garland,C,63,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3732-383239af7874,00-0027282,GAR218169,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Sam,Young,T,65,NOT_ACTIVE,2019,32013030-2d30-3032-3737-3738d2c39e73,00-0027778,YOU573357,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Richard,Sherman,DB,25,STARTED,2019,32013030-2d30-3032-3830-3932d041a3bd,00-0028092,SHE669604,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Mike,Person,OL,68,STARTED,2019,32013030-2d30-3032-3831-3737e49e6b2e,00-0028177,PER822092,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Kyle,Juszczyk,RB,44,STARTED,2019,32013030-2d30-3032-3938-39323eca43ee,00-0029892,JUS812736,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Marquise,Goodwin,WR,11,STARTED,2019,32013030-2d30-3033-3030-3638335382d4,00-0030068,GOO681722,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Levine,Toilolo,TE,83,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-343341c8f746,00-0030443,TOI581408,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Weston,Richburg,C,58,STARTED,2019,32013030-2d30-3033-3132-33388bdee7e0,00-0031238,RIC645295,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
K'Waun,Williams,DB,24,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-35332f3ee678,00-0031253,WIL415204,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Antone,Exum,DB,38,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-3637ac673509,00-0031267,EXU415291,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Dee,Ford,DE,55,STARTED,2019,32013030-2d30-3033-3132-39378acd6b00,00-0031297,FOR113166,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
Jimmie,Ward,DB,20,NOT_ACTIVE,2019,32013030-2d30-3033-3132-39384eb6d8e1,00-0031298,WAR218386,San Francisco 49ers,steelers-at-49ers-2019-reg-3,2019-09-22T20:25:00.000Z
