firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Clark,Harris,LS,46,,2019,32013030-2d30-3032-3536-3330f6c89614,00-0025630,HAR351770,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Andre,Smith,OT,71,NOT_ACTIVE,2019,32013030-2d30-3032-3639-38324df48f4b,00-0026982,SMI038279,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Kevin,Huber,P,10,,2019,32013030-2d30-3032-3731-303385b5bb7f,00-0027103,HUB689771,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Carlos,Dunlap,DE,96,STARTED,2019,32013030-2d30-3032-3736-36325b995d23,00-0027662,DUN474478,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
John,Jerry,G/OT,64,,2019,32013030-2d30-3032-3736-37386830cfc0,00-0027678,JER488192,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Geno,Atkins,DT,97,STARTED,2019,32013030-2d30-3032-3737-32308e698bcb,00-0027720,ATK216644,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
A.J.,Green,WR,18,NOT_ACTIVE,2019,32013030-2d30-3032-3739-3432de086283,00-0027942,GRE034604,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Andy,Dalton,QB,14,,2019,32013030-2d30-3032-3739-37334d29528c,00-0027973,DAL659900,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Randy,Bullock,K,04,,2019,32013030-2d30-3032-3934-3231a256d9de,00-0029421,BUL521842,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Cordy,Glenn,OT,77,STARTED,2019,32013030-2d30-3032-3935-36312db90c5c,00-0029561,GLE000000,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
LaRoy,Reynolds,LB,55,,2019,32013030-2d30-3032-3939-35351fcee982,00-0029955,REY431570,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
B.W.,Webb,CB,23,STARTED,2019,32013030-2d30-3033-3034-303319d8bbd8,00-0030403,WEB094382,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Giovani,Bernard,HB,25,,2019,32013030-2d30-3033-3034-3536a3d242c7,00-0030456,BER219765,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Shawn,Williams,S,36,STARTED,2019,32013030-2d30-3033-3034-37314e7fa6ec,00-0030471,WIL522311,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Tyler,Eifert,TE,85,,2019,32013030-2d30-3033-3035-34394cd7dfb2,00-0030549,EIF131143,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Trey,Hopkins,C/G,66,STARTED,2019,32013030-2d30-3033-3037-3831b8e87cce,00-0030781,HOP425040,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Darqueze,Dennard,CB,21,STARTED,2019,32013030-2d30-3033-3133-3830899f89d1,00-0031380,DEN095585,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Bobby,Hart,OT,68,STARTED,2019,32013030-2d30-3033-3136-32322e88539a,00-0031622,HAR659972,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
C.J.,Uzomah,TE,87,STARTED,2019,32013030-2d30-3033-3231-333450a5697e,00-0032134,UZO415291,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
John,Miller,G,67,STARTED,2019,32013030-2d30-3033-3231-3439de8ed1aa,00-0032149,MIL330317,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Anthony,Zettel,DE,90,NOT_ACTIVE,2019,32013030-2d30-3033-3234-3335ea9af7fc,00-0032435,ZET629687,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Alex,Erickson,WR,12,STARTED,2019,32013030-2d30-3033-3235-3433374bea4b,00-0032543,ERI090697,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Alex,Redmond,G,62,STARTED,2019,32013030-2d30-3033-3235-34391f149a05,00-0032549,RED608160,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Clayton,Fejedelem,S,42,,2019,32013030-2d30-3033-3238-3037a0de2bb7,00-0032807,FEJ177981,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Nick,Vigil,LB,59,STARTED,2019,32013030-2d30-3033-3238-393227f0cf9d,00-0032892,VIG247556,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Tony,McRae,CB,29,,2019,32013030-2d30-3033-3239-3334a5fa12d2,00-0032934,MCR391962,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Tyler,Boyd,WR,83,STARTED,2019,32013030-2d30-3033-3330-303984f9bb0c,00-0033009,BOY378353,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Andrew,Billings,DT,99,STARTED,2019,32013030-2d30-3033-3330-36364b71d628,00-0033066,BIL462662,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
William,Jackson,CB,22,STARTED,2019,32013030-2d30-3033-3331-30371afed1ef,00-0033107,JAC645516,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Cethan,Carter,TE,82,,2019,32013030-2d30-3033-3333-333881b911aa,00-0033338,CAR627385,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Hardy,Nickerson,LB,56,,2019,32013030-2d30-3033-3333-34344a78a406,00-0033344,NIC661907,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Josh,Tupou,DT,91,,2019,32013030-2d30-3033-3333-3437255c93f4,00-0033347,TUP546197,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Torry,McTyer,CB,20,NOT_ACTIVE,2019,32013030-2d30-3033-3334-303527e4ae2a,00-0033405,MCT781756,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Greg,Mabin,CB,26,,2019,32013030-2d30-3033-3334-33303f11bae2,00-0033430,MAB206573,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Carl,Lawson,DE,58,,2019,32013030-2d30-3033-3334-36339faeaaa9,00-0033463,LAW589402,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Jordan,Evans,LB,50,,2019,32013030-2d30-3033-3337-393039f4c9dc,00-0033790,EVA421955,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Brandon,Wilson,S,40,,2019,32013030-2d30-3033-3337-393184f59b57,00-0033791,WIL652475,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Joe,Mixon,HB,28,STARTED,2019,32013030-2d30-3033-3338-39376e907289,00-0033897,MIX564388,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Andrew,Brown,DE,93,,2019,32013030-2d30-3033-3433-3934ba26573c,00-0034394,BRO255526,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Jessie,Bates,S,30,STARTED,2019,32013030-2d30-3033-3436-37359deb4cdd,00-0034675,BAT108395,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Auden,Tate,WR,19,STARTED,2019,32013030-2d30-3033-3436-383645ac5a80,00-0034686,TAT130154,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Billy,Price,G/C,53,,2019,32013030-2d30-3033-3437-3632dc9e9f85,00-0034762,PRI054404,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Sam,Hubbard,DE,94,STARTED,2019,32013030-2d30-3033-3438-33348c32ee9c,00-0034834,HUB387605,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Fred,Johnson,OT/G,74,NOT_ACTIVE,2019,32013030-2d30-3033-3439-353168cbe262,00-0034951,JOH000022,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Renell,Wren,DT,95,,2019,32013030-2d30-3033-3532-36305c4f1ab2,00-0035260,WRE422041,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Michael,Jordan,G,60,,2019,32013030-2d30-3033-3532-36369ab87b1c,00-0035266,JOR146382,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Trayveon,Williams,HB,32,,2019,32013030-2d30-3033-3532-3931da53332a,00-0035291,WIL185325,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Jacob,Dolegala,QB,07,NOT_ACTIVE,2019,32013030-2d30-3033-3533-39349b8e6409,00-0035394,DOL207644,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Stanley,Morgan,WR,17,,2019,32013030-2d30-3033-3533-39397be7b4be,00-0035399,MOR226706,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Damion,Willis,WR,15,,2019,32013030-2d30-3033-3534-30319df35185,00-0035401,WIL598138,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Drew,Sample,TE,89,NOT_ACTIVE,2019,32013030-2d30-3033-3536-3331b782b31b,00-0035631,SAM093961,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Ryan,Finley,QB,05,STARTED,2019,32013030-2d30-3033-3536-3532a6148b47,00-0035652,FIN412269,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Germaine,Pratt,LB,57,STARTED,2019,32013030-2d30-3033-3536-3937a683f900,00-0035697,PRA635713,Cincinnati Bengals,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Ramon,Foster,G,73,STARTED,2019,32013030-2d30-3032-3635-3631288e45d1,00-0026561,FOS543693,Pittsburgh Steelers,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Joe,Haden,CB,23,STARTED,2019,32013030-2d30-3032-3738-3630d66ee8af,00-0027860,HAD357325,Pittsburgh Steelers,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Tyson,Alualu,DE,94,STARTED,2019,32013030-2d30-3032-3738-3632acfd1559,00-0027862,ALU059326,Pittsburgh Steelers,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Cameron,Heyward,DT,97,STARTED,2019,32013030-2d30-3032-3739-3639abccb9ef,00-0027969,HEY271611,Pittsburgh Steelers,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
Mark,Barron,LB,26,STARTED,2019,32013030-2d30-3032-3936-37306f3ce17e,00-0029670,BAR661788,Pittsburgh Steelers,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
David,DeCastro,G,66,STARTED,2019,32013030-2d30-3032-3936-3738bc13a8a0,00-0029678,DEC345732,Pittsburgh Steelers,steelers-at-bengals-2019-reg-12,2019-11-24T18:00:00.000Z
