firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Tom,Brady,QB,12,STARTED,2019,32013030-2d30-3031-3935-39361b587621,00-0019596,BRA371156,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Stephen,Gostkowski,K,03,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3433-3333989a5c75,00-0024333,GOS721266,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Matt,Slater,WR,18,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3632-393397ab94ad,00-0026293,SLA420538,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Michael,Bennett,DL,77,STARTED,2019,32013030-2d30-3032-3636-313817d20fee,00-0026618,BEN384391,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Patrick,Chung,SS,23,STARTED,2019,32013030-2d30-3032-3730-313065fdba37,00-0027010,CHU126772,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Jason,McCourty,CB,30,STARTED,2019,32013030-2d30-3032-3731-333685021492,00-0027136,MCC600480,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Julian,Edelman,WR,11,STARTED,2019,32013030-2d30-3032-3731-35304d0e9eb8,00-0027150,EDE425791,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Devin,McCourty,DB,32,STARTED,2019,32013030-2d30-3032-3736-343774326b34,00-0027647,MCC600258,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Demaryius,Thomas,WR,88,NOT_ACTIVE,2019,32013030-2d30-3032-3738-3734e1cdacfa,00-0027874,THO095855,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
James,Develin,FB,46,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3739-323596e7140b,00-0027925,DEV145356,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Marcus,Cannon,OL,61,STARTED,2019,32013030-2d30-3032-3830-37365e6973d7,00-0028076,CAN637002,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Lawrence,Guy,DL,93,STARTED,2019,32013030-2d30-3032-3831-373190daee9a,00-0028171,GUY230716,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Brandon,Bolden,RB,38,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3932-33396eead64f,00-0029239,BOL167697,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Stephon,Gilmore,DB,24,STARTED,2019,32013030-2d30-3032-3935-3432a0383d98,00-0029542,GIL801084,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Nate,Ebner,DB,43,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3935-373075c001cc,00-0029570,EBN177981,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Josh,Gordon,WR,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-3634dc2809b5,00-0029664,GOR190310,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Dont'a,Hightower,LB,54,STARTED,2019,32013030-2d30-3032-3936-363948af6ead,00-0029669,HIG766208,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Rex,Burkhead,RB,34,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3032-3838e1100f11,00-0030288,BUR268979,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Duron,Harmon,DB,21,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3033-3833a037e9e5,00-0030383,HAR195786,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Jamie,Collins,LB,58,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-3231ceb381de,00-0030421,COL607549,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
John,Simon,DE,55,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3034-34325804ef31,00-0030442,SIM369947,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
James,Ferentz,OL,66,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-33391ed7d123,00-0031039,FER026916,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
James,White,RB,28,STARTED,2019,32013030-2d30-3033-3130-36325fcd18e3,00-0031062,WHI242257,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Terrence,Brooks,DB,25,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3133-3338a287b460,00-0031338,BRO172431,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Kyle,Van Noy,LB,53,NOT_ACTIVE,2019,32013030-2d30-3033-3133-3630bb1822f7,00-0031360,VAN656604,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Shaquille,Mason,OL,69,STARTED,2019,32013030-2d30-3033-3135-3830a0c4d160,00-0031580,MAS237768,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Matt,LaCosse,TE,83,STARTED,2019,32013030-2d30-3033-3137-34347cc96dab,00-0031744,LAC529668,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Danny,Shelton,DL,71,STARTED,2019,32013030-2d30-3033-3231-3433e0b519a3,00-0032143,SHE411954,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Phillip,Dorsett,WR,13,STARTED,2019,32013030-2d30-3033-3232-303871573496,00-0032208,DOR488199,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Joe,Cardona,LS,49,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3232-32388d309813,00-0032228,CAR054160,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Joe,Thuney,OL,62,STARTED,2019,32013030-2d30-3033-3233-39319add2f07,00-0032391,THU198074,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Elandon,Roberts,LB,52,STARTED,2019,32013030-2d30-3033-3234-3432256cfbe1,00-0032442,ROB134404,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
Ted,Karras,OL,75,STARTED,2019,32013030-2d30-3033-3234-34351543a2d5,00-0032445,KAR582765,New England Patriots,steelers-at-patriots-2019-reg-1,2019-09-09T00:20:00.000Z
