firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Calais,Campbell,DL,93,STARTED,2019,32013030-2d30-3032-3631-3930796ca691,00-0026190,CAM208843,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
Marcell,Dareus,DT,99,STARTED,2019,32013030-2d30-3032-3739-34313411b1b8,00-0027941,DAR319542,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
Najee,Goode,LB,52,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3934-31382f5e3429,00-0029418,GOO217526,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
Josh,Robinson,CB,29,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-39311c75bc20,00-0029691,ROB590205,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
Cody,Davis,S,22,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3937-36348a112b3e,00-0029764,DAV247918,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
Lerentee,McCray,DE,55,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3937-39394b7b7c7f,00-0029799,MCC670331,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
Abry,Jones,DT,95,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3939-34365bdd84b7,00-0029946,JON026672,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
A.J.,Bouye,CB,21,STARTED,2019,32013030-2d30-3033-3032-3238414cf97a,00-0030228,BOU651714,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
D.J.,Hayden,CB,25,STARTED,2019,32013030-2d30-3033-3035-37326cbdbde9,00-0030572,HAY031145,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
Tyler,Shatley,G,69,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3038-3237ed16183b,00-0030827,SHA509766,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
Andrew,Norwell,G,68,STARTED,2019,32013030-2d30-3033-3131-32321231ca1c,00-0031122,NOR777536,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
Brandon,Thomas,G,70,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3133-30352bb67d13,00-0031305,THO043949,Jacksonville Jaguars,titans-at-jaguars-2019-reg-3,2019-09-20T00:20:00.000Z
