firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Frank,Gore,RB,21,STARTED,2020,32013030-2d30-3032-3335-3030dd77cad3,00-0023500,GOR411171,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Joe,Flacco,QB,05,NOT_ACTIVE,2020,32013030-2d30-3032-3631-3538c6a10853,00-0026158,FLA009602,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Steve,McLendon,DL,99,STARTED,2020,32013030-2d30-3032-3635-36347d3950f2,00-0026564,MCL589496,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Chris,Hogan,WR,15,STARTED,2020,32013030-2d30-3032-3832-3337571d9f50,00-0028237,HOG008552,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Greg,Van Roten,G,62,STARTED,2020,32013030-2d30-3032-3936-383590699ce0,00-0029685,VAN749202,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Ryan,Griffin,TE,84,,2020,32013030-2d30-3033-3031-3038579b9acf,00-0030108,GRI293499,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Bradley,McDougald,S,30,STARTED,2020,32013030-2d30-3033-3031-3631ce4b2961,00-0030161,MCD722675,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Alec,Ogletree,LB,52,,2020,32013030-2d30-3033-3035-32379a8d62ff,00-0030527,OGL654714,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Josh,Andrews,OL,68,,2020,32013030-2d30-3033-3037-30362b4c555f,00-0030706,AND691210,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Avery,Williamson,LB,54,STARTED,2020,32013030-2d30-3033-3132-363359e5791a,00-0031263,WIL577995,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Pierre,Desir,CB,35,STARTED,2020,32013030-2d30-3033-3133-33316ed0ffee,00-0031331,DES373418,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Neville,Hewitt,LB,46,STARTED,2020,32013030-2d30-3033-3137-3430887fa114,00-0031740,HEW203041,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Jamison,Crowder,WR,82,NOT_ACTIVE,2020,32013030-2d30-3033-3139-3431d3ce4eea,00-0031941,CRO697273,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Breshad,Perriman,WR,19,STARTED,2020,32013030-2d30-3033-3230-3534d916f941,00-0032054,PER440170,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Daniel,Brown,TE,87,,2020,32013030-2d30-3033-3230-3938933f399f,00-0032098,BRO365389,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Henry,Anderson,DL,96,,2020,32013030-2d30-3033-3232-3639203d33ee,00-0032269,AND287484,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Alex,Lewis,OL,71,STARTED,2020,32013030-2d30-3033-3234-3037b0fdf508,00-0032407,LEW035528,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
George,Fant,T,76,STARTED,2020,32013030-2d30-3033-3234-3636c7d3ccc6,00-0032466,FAN401790,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Matthias,Farley,S,41,,2020,32013030-2d30-3033-3234-393649531661,00-0032496,FAR160452,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Brian,Poole,CB,34,STARTED,2020,32013030-2d30-3033-3235-3936a2c461e8,00-0032596,POO231564,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Jordan,Jenkins,LB,48,STARTED,2020,32013030-2d30-3033-3239-373083adf6c9,00-0032970,JEN295944,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Connor,McGovern,OL,60,STARTED,2020,32013030-2d30-3033-3330-3131183db41a,00-0033011,MCG526326,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Sam,Ficken,K,09,,2020,32013030-2d30-3033-3331-333857f3684e,00-0033138,FIC665846,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Thomas,Hennessy,LS,42,,2020,32013030-2d30-3033-3332-3630c1b6e770,00-0033260,HEN540649,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Conor,McDermott,OL,69,,2020,32013030-2d30-3033-3333-30307a61301d,00-0033300,MCD175819,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Harvey,Langi,LB,44,,2020,32013030-2d30-3033-3333-3932f6f6ff1f,00-0033392,LAN585903,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Arthur,Maulet,CB,23,,2020,32013030-2d30-3033-3335-30333ba10a6f,00-0033503,MAU475233,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Quincy,Wilson,CB,27,,2020,32013030-2d30-3033-3335-3434cbb7aa6c,00-0033544,WIL774506,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Nate,Hairston,CB,25,NOT_ACTIVE,2020,32013030-2d30-3033-3335-36384d08952e,00-0033568,HAI741950,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Josh,Malone,WR,83,,2020,32013030-2d30-3033-3338-35397a3708c3,00-0033859,MAL678958,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Marcus,Maye,S,20,STARTED,2020,32013030-2d30-3033-3338-393259c62146,00-0033892,MAY291409,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Jordan,Willis,LB,55,NOT_ACTIVE,2020,32013030-2d30-3033-3339-31329a9d0fdf,00-0033912,WIL603954,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Tarell,Basham,LB,93,STARTED,2020,32013030-2d30-3033-3339-313753ce936f,00-0033917,BAS140463,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Folorunso,Fatukasi,DL,94,,2020,32013030-2d30-3033-3432-37356c26b154,00-0034275,FAT652601,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Frankie,Luvu,LB,50,,2020,32013030-2d30-3033-3433-30322333f64d,00-0034302,LUV652601,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Mike,White,QB,08,,2020,32013030-2d30-3033-3434-3031ba3cf5b4,00-0034401,WHI367864,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Braxton,Berrios,WR,10,STARTED,2020,32013030-2d30-3033-3434-313937f15353,00-0034419,BER456050,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Josh,Adams,RB,36,,2020,32013030-2d30-3033-3434-3537579fb883,00-0034457,ADA444540,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Nathan,Shepherd,DL,97,,2020,32013030-2d30-3033-3437-363041730285,00-0034760,SHE517895,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Christopher,Herndon,TE,89,STARTED,2020,32013030-2d30-3033-3437-3636b50d54ca,00-0034766,HER373492,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Kalen,Ballage,RB,29,,2020,32013030-2d30-3033-3437-3939d664c51d,00-0034799,BAL608677,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
John,Franklin,DL,91,,2020,32013030-2d30-3033-3438-3035b8293ff7,00-0034805,FRA563573,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Sam,Darnold,QB,14,STARTED,2020,32013030-2d30-3033-3438-36394b743d00,00-0034869,DAR466141,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Trevon,Wesco,TE,85,,2020,32013030-2d30-3033-3532-3539dad368be,00-0035259,WES028199,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Blessuan,Austin,CB,31,STARTED,2020,32013030-2d30-3033-3532-3934275b2e44,00-0035294,AUS096790,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Kyle,Phillips,DL,98,,2020,32013030-2d30-3033-3535-3037fb0deb39,00-0035507,PHI458702,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Chuma,Edoga,T,75,,2020,32013030-2d30-3033-3536-393813e98838,00-0035698,EDO337482,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Quinnen,Williams,DL,95,STARTED,2020,32013030-2d30-3033-3537-31385b694512,,,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Bryce,Huff,DL,47,NOT_ACTIVE,2020,32013030-2d30-3033-3631-35311d22389f,00-0036151,HUF090844,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
La'Mical,Perine,RB,22,,2020,32013030-2d30-3033-3632-3639d98a75cf,00-0036269,PER094283,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Mekhi,Becton,T,77,STARTED,2020,32013030-2d30-3033-3632-38348db1fa46,00-0036284,BEC814547,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
James,Morgan,QB,04,NOT_ACTIVE,2020,32013030-2d30-3033-3633-3031e0faa91e,00-0036301,MOR163437,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Braden,Mann,P,07,,2020,32013030-2d30-3033-3633-313341085b90,00-0036313,MAN389317,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Ashtyn,Davis,S,32,,2020,32013030-2d30-3033-3633-323921979d18,00-0036329,DAV163785,,New York Jets,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Robbie,Gould,K,09,,2020,32013030-2d30-3032-3332-3532f5449f53,00-0023252,GOU258729,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Ben,Garland,OL,63,STARTED,2020,32013030-2d30-3032-3732-383239af7874,00-0027282,GAR218169,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Trent,Williams,T,71,STARTED,2020,32013030-2d30-3032-3738-3537f52a204e,00-0027857,WIL547553,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Kyle,Nelson,LS,86,,2020,32013030-2d30-3032-3833-37346450c956,00-0028374,NEL536534,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Tom,Compton,OL,66,NOT_ACTIVE,2020,32013030-2d30-3032-3931-3434276838ca,00-0029144,COM663097,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Mohamed,Sanu,WR,14,,2020,32013030-2d30-3032-3936-3332c617d70d,00-0029632,SAN808447,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Kyle,Juszczyk,FB,44,STARTED,2020,32013030-2d30-3032-3938-39323eca43ee,00-0029892,JUS812736,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Jordan,Reed,TE,81,STARTED,2020,32013030-2d30-3033-3034-3732a77a3295,00-0030472,REE302847,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Kerry,Hyder,DL,92,,2020,32013030-2d30-3033-3039-34369644254c,00-0030946,HYD440791,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Dontae,Johnson,CB,27,,2020,32013030-2d30-3033-3130-3631cb85b6bf,00-0031061,JOH211430,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
K'Waun,Williams,CB,24,STARTED,2020,32013030-2d30-3033-3132-35332f3ee678,00-0031253,WIL415204,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Dee,Ford,DL,55,NOT_ACTIVE,2020,32013030-2d30-3033-3132-39378acd6b00,00-0031297,FOR113166,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Jimmie,Ward,DB,20,STARTED,2020,32013030-2d30-3033-3132-39384eb6d8e1,00-0031298,WAR218386,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Jason,Verrett,CB,22,NOT_ACTIVE,2020,32013030-2d30-3033-3133-3334a8fa0feb,00-0031334,VER625072,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Jimmy,Garoppolo,QB,10,STARTED,2020,32013030-2d30-3033-3133-34353afe165e,00-0031345,GAR363225,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Jerick,McKinnon,RB,28,,2020,32013030-2d30-3033-3133-3736bbc77460,00-0031376,MCK656764,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Hroniss,Grasu,C,50,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3135-3631e0d93a16,00-0031561,GRA533780,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Raheem,Mostert,RB,31,STARTED,2020,32013030-2d30-3033-3136-3837aa36ac48,00-0031687,MOS822492,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Mark,Nzeocha,LB,53,,2020,32013030-2d30-3033-3139-3631c46341c7,00-0031961,NZE474619,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Jaquiski,Tartt,S,29,STARTED,2020,32013030-2d30-3033-3230-35376f7da0f6,00-0032057,TAR686527,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Tevin,Coleman,RB,26,,2020,32013030-2d30-3033-3230-35386984de69,00-0032058,COL359050,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Kwon,Alexander,LB,56,STARTED,2020,32013030-2d30-3033-3231-3039fd009952,00-0032109,ALE492854,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Arik,Armstead,DL,91,STARTED,2020,32013030-2d30-3033-3231-36346b09a5a9,00-0032164,ARM057964,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Laken,Tomlinson,OL,75,STARTED,2020,32013030-2d30-3033-3232-333462d79888,00-0032234,TOM687650,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
Daniel,Brunskill,OL,60,STARTED,2020,32013030-2d30-3033-3332-323161b30597,00-0033221,BRU741545,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
George,Kittle,TE,85,NOT_ACTIVE,2020,32013030-2d30-3033-3332-383818d98dc1,00-0033288,KIT388290,,San Francisco 49ers,49ers-at-jets-2020-reg-2,2020-09-20T17:00:00.000Z
