firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Jason,Peters,T,71,STARTED,2020,32013030-2d30-3032-3235-33311e2f3ae1,00-0022531,PET150539,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
DeSean,Jackson,WR,10,STARTED,2020,32013030-2d30-3032-3631-383993ac1996,00-0026189,JAC127681,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Brandon,Graham,DE,55,STARTED,2020,32013030-2d30-3032-3738-36355d1674ee,00-0027865,GRA130064,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Jason,Kelce,C,62,STARTED,2020,32013030-2d30-3032-3831-323921ba2395,00-0028129,KEL008305,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Rodney,McLeod,S,23,STARTED,2020,32013030-2d30-3032-3838-39398c545840,00-0028899,MCL709174,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Alshon,Jeffery,WR,17,NOT_ACTIVE,2020,32013030-2d30-3032-3931-33376f5ae4ed,00-0029137,JEF498860,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Malik,Jackson,DT,97,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3935-3638deee64dd,00-0029568,JAC373912,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Fletcher,Cox,DT,91,STARTED,2020,32013030-2d30-3032-3936-35338d6f3da5,00-0029653,COX200177,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Nickell,Robey,CB,31,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3030-34316c059a73,00-0030041,ROB361684,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Zach,Ertz,TE,86,STARTED,2020,32013030-2d30-3033-3030-3631da16c503,00-0030061,ERT800920,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Darius,Slay,CB,24,STARTED,2020,32013030-2d30-3033-3030-3632e7c01ee5,00-0030062,SLA746089,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Lane,Johnson,T,65,STARTED,2020,32013030-2d30-3033-3035-36317904d9e8,00-0030561,JOH399478,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Richard,Rodgers,TE,85,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3133-38341d4845e9,00-0031384,ROD493098,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Alex,Singleton,LB,49,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3138-39381817acda,00-0031898,SIN350252,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Rick,Lovato,LS,45,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3139-31317b793032,00-0031911,LOV004796,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Jamon,Brown,G,66,NOT_ACTIVE,2020,32013030-2d30-3033-3232-3434ae36430c,00-0032244,BRO485991,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Hassan,Ridgeway,DT,98,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3234-303284cc6773,00-0032402,RID299361,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Cre'von,LeBlanc,CB,34,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3235-3831835c5af9,00-0032581,LEB612957,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Nate,Sudfeld,QB,07,NOT_ACTIVE,2020,32013030-2d30-3033-3237-3932899dadbc,00-0032792,SUD197144,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Jalen,Mills,S,21,STARTED,2020,32013030-2d30-3033-3238-303335d97ebf,00-0032803,MIL688675,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Trevor,Williams,CB,41,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3239-31365c6784a0,00-0032916,WIL547615,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Carson,Wentz,QB,11,STARTED,2020,32013030-2d30-3033-3239-3530c5ee180a,00-0032950,WEN615770,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Javon,Hargrave,DT,93,STARTED,2020,32013030-2d30-3033-3331-303959e96cb3,00-0033109,HAR143881,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Duke,Riley,LB,50,STARTED,2020,32013030-2d30-3033-3335-34391040c4ac,00-0033549,RIL146648,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Nathan,Gerry,LB,47,STARTED,2020,32013030-2d30-3033-3335-373760a67b06,00-0033577,GER650621,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Corey,Clement,RB,30,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3337-323549d471ee,00-0033725,CLE186218,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Cameron,Johnston,P,01,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3337-3239fb3abc06,00-0033729,JOH795940,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Greg,Ward,WR,84,STARTED,2020,32013030-2d30-3033-3337-3333ab411741,00-0033733,WAR170484,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Jake,Elliott,K,04,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3337-38377f25b5f4,00-0033787,ELL296383,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Rudy,Ford,S,36,NOT_ACTIVE,2020,32013030-2d30-3033-3337-3932798dd4d9,00-0033792,FOR323002,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Derek,Barnett,DE,96,STARTED,2020,32013030-2d30-3033-3338-3736e981f6a8,00-0033876,BAR405176,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Dallas,Goedert,TE,88,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3433-35319713cf6f,00-0034351,GOE595520,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Avonte,Maddox,CB,29,STARTED,2020,32013030-2d30-3033-3433-3737c893c192,00-0034377,MAD347585,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Josh,Sweat,DE,94,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3433-3831afa0e62c,00-0034381,SWE031587,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Boston,Scott,RB,35,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3434-31346ad31998,00-0034414,SCO101831,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Matt,Pryor,G/T,69,STARTED,2020,32013030-2d30-3033-3434-31374124eee6,00-0034417,PRY460541,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Jordan,Mailata,T,68,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3434-3239eed651f7,00-0034429,MAI305232,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Deontay,Burnett,WR,16,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3436-353328746abb,00-0034653,BUR406293,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Genard,Avery,DE,58,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3436-3832c0c4a9a7,00-0034682,AVE456819,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Marcus,Epps,S,22,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3439-3933c15b56d0,00-0034993,EPP346075,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Miles,Sanders,RB,26,STARTED,2020,32013030-2d30-3033-3532-3433c2333695,00-0035243,SAN153567,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
J.J.,Arcega-Whiteside,WR,19,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3532-3436c5285dac,00-0035246,ARC336505,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Nate,Herbig,C/G,67,STARTED,2020,32013030-2d30-3033-3533-3833f5ae43a3,00-0035383,HER040461,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Iosua,Opeta,G,78,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3533-383483b0958e,00-0035384,OPE504350,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
T.J.,Edwards,LB,57,STARTED,2020,32013030-2d30-3033-3533-3836c6cec8bd,00-0035386,EDW688767,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Grayland,Arnold,DB,37,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3539-3935ce2ff299,00-0035995,ARN459888,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Jason,Huntley,RB,32,NOT_ACTIVE,2020,32013030-2d30-3033-3632-3738cc13b44d,00-0036278,HUN820991,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Jalen,Reagor,WR,18,NOT_ACTIVE,2020,32013030-2d30-3033-3633-383720501f1b,00-0036387,REA338982,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Jalen,Hurts,QB,02,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3633-38395223e651,00-0036389,HUR767022,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Davion,Taylor,LB,52,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3633-3933fa1ac820,00-0036393,TAY156787,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
K'Von,Wallace,S,42,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3633-393573c77eeb,00-0036395,WAL463687,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Jack,Driscoll,T,63,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3633-3936b21bc324,00-0036396,DRI130825,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
John,Hightower,WR,82,STARTED,2020,32013030-2d30-3033-3633-3938f6a85f7b,00-0036398,HIG772208,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Shaun,Bradley,LB,54,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3634-3031e64fc24b,00-0036401,BRA229070,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Casey,Toohill,DE,56,NOT_ACTIVE,2020,32013030-2d30-3033-3634-3033f7946681,00-0036403,TOO260938,Philadelphia Eagles,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Clark,Harris,LS,46,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3536-3330f6c89614,00-0025630,HAR351770,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Kevin,Huber,P,10,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3731-303385b5bb7f,00-0027103,HUB689771,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Carlos,Dunlap,DE,96,STARTED,2020,32013030-2d30-3032-3736-36325b995d23,00-0027662,DUN474478,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Geno,Atkins,DT,97,NOT_ACTIVE,2020,32013030-2d30-3032-3737-32308e698bcb,00-0027720,ATK216644,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
A.J.,Green,WR,18,STARTED,2020,32013030-2d30-3032-3739-3432de086283,00-0027942,GRE034604,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Josh,Bynes,LB,56,STARTED,2020,32013030-2d30-3032-3832-373899cdea9b,00-0028278,BYN301611,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Mike,Daniels,DT,76,STARTED,2020,32013030-2d30-3032-3932-38346365b381,00-0029284,DAN575730,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Randy,Bullock,K,04,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3934-3231a256d9de,00-0029421,BUL521842,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Giovani,Bernard,HB,25,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3034-3536a3d242c7,00-0030456,BER219765,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Shawn,Williams,S,36,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3034-37314e7fa6ec,00-0030471,WIL522311,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Trey,Hopkins,C,66,STARTED,2020,32013030-2d30-3033-3037-3831b8e87cce,00-0030781,HOP425040,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Christian,Covington,DT,99,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3136-313994847570,00-0031619,COV546722,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Bobby,Hart,OT,68,STARTED,2020,32013030-2d30-3033-3136-32322e88539a,00-0031622,HAR659972,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Mackensie,Alexander,CB,21,STARTED,2020,32013030-2d30-3033-3233-38398ae4dda0,00-0032389,ALE511379,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
D.J.,Reader,DT,98,STARTED,2020,32013030-2d30-3033-3234-3234ab92c942,00-0032424,REA148116,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Alex,Erickson,WR,12,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3235-3433374bea4b,00-0032543,ERI090697,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
LeShaun,Sims,CB,38,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3237-38332d50b627,00-0032783,SIM767909,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Vonn,Bell,S,24,STARTED,2020,32013030-2d30-3033-3239-3339a61e7393,00-0032939,BEL626378,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Tyler,Boyd,WR,83,STARTED,2020,32013030-2d30-3033-3330-303984f9bb0c,00-0033009,BOY378353,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
William,Jackson,CB,22,STARTED,2020,32013030-2d30-3033-3331-30371afed1ef,00-0033107,JAC645516,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Mike,Thomas,WR,80,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3331-313413636c83,00-0033114,THO308973,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Cethan,Carter,TE,82,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3333-333881b911aa,00-0033338,CAR627385,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
John,Ross,WR,11,NOT_ACTIVE,2020,32013030-2d30-3033-3334-363047a9bddd,00-0033460,ROS616450,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
Carl,Lawson,DE,58,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3334-36339faeaaa9,00-0033463,LAW589402,Cincinnati Bengals,bengals-at-eagles-2020-reg-3,2020-09-27T17:00:00.000Z
