firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Jason,Witten,TE,82,STARTED,2020,32013030-2d30-3032-3231-32373ce51f62,00-0022127,WIT559021,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Sam,Young,T,70,STARTED,2020,32013030-2d30-3032-3737-3738d2c39e73,00-0027778,YOU573357,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Rodney,Hudson,C,61,STARTED,2020,32013030-2d30-3032-3739-39333bb5a9cd,00-0027993,HUD736504,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Derek,Carrier,TE,85,,2020,32013030-2d30-3032-3931-31398fc22e24,00-0029119,CAR471726,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Kyle,Wilber,LB,58,,2020,32013030-2d30-3032-3936-343785dc5b11,00-0029647,WIL000201,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Patrick,Omameh,G,78,NOT_ACTIVE,2020,32013030-2d30-3032-3938-3839b8882636,00-0029889,OMA675538,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Johnathan,Hankins,DT,90,STARTED,2020,32013030-2d30-3033-3030-3633feb17156,00-0030063,HAN169902,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Theo,Riddick,RB,35,,2020,32013030-2d30-3033-3031-3037dd0b3def,00-0030107,RID187949,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Jeff,Heath,S,38,,2020,32013030-2d30-3033-3031-3936355d346b,00-0030196,HEA721605,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Nevin,Lawson,CB,26,,2020,32013030-2d30-3033-3131-37366edb26c7,00-0031176,LAW715017,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Derek,Carr,QB,04,STARTED,2020,32013030-2d30-3033-3132-3830ee8bf3c4,00-0031280,CAR358797,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Gabe,Jackson,G,66,STARTED,2020,32013030-2d30-3033-3133-3637bb0cf47c,00-0031367,JAC178303,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Lamarcus,Joyner,CB,29,,2020,32013030-2d30-3033-3133-3839f30c04d9,00-0031389,JOY464866,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Nelson,Agholor,WR,15,,2020,32013030-2d30-3033-3135-3439d46a53e9,00-0031549,AGH474619,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Darren,Waller,TE,83,STARTED,2020,32013030-2d30-3033-3136-3130db0aa3c4,00-0031610,WAL509040,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Denzelle,Good,G/T,71,,2020,32013030-2d30-3033-3136-33325238cf6b,00-0031632,GOO127176,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Trenton,Brown,T,77,NOT_ACTIVE,2020,32013030-2d30-3033-3230-37315990d6ef,00-0032071,BRO739325,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Erik,Harris,S,25,STARTED,2020,32013030-2d30-3033-3233-3230a8c99039,00-0032320,HAR385656,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Cory,Littleton,LB,42,STARTED,2020,32013030-2d30-3033-3236-373767fee1d5,00-0032677,LIT776417,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Nick,Kwiatkoski,LB,44,,2020,32013030-2d30-3033-3237-3733cb0391d9,00-0032773,KWI059326,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Devontae,Booker,RB,23,,2020,32013030-2d30-3033-3239-3732ec926fb5,00-0032972,BOO019902,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Jalen,Richard,RB,30,,2020,32013030-2d30-3033-3330-3235189aefb0,00-0033025,RIC215247,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Carl,Nassib,DE,94,,2020,32013030-2d30-3033-3331-3239a0482afd,00-0033129,NAS727044,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Maliek,Collins,DT,97,STARTED,2020,32013030-2d30-3033-3331-3331d783a007,00-0033131,COL633184,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Nicholas,Morrow,MLB,50,STARTED,2020,32013030-2d30-3033-3334-34354c8b4090,00-0033445,MOR709781,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Raekwon,McMillan,LB,54,STARTED,2020,32013030-2d30-3033-3334-3631a5793368,00-0033461,MCM506702,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Zay,Jones,WR,12,,2020,32013030-2d30-3033-3338-3931bc3a67ff,00-0033891,JON403726,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Nathan,Peterman,QB,03,,2020,32013030-2d30-3033-3339-3538faaf8907,00-0033958,PET071806,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Kendal,Vickers,DE,91,,2020,32013030-2d30-3033-3431-323591f88ab3,00-0034125,VIC633060,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Daniel,Carlson,K,02,,2020,32013030-2d30-3033-3431-3631d2fff5ee,00-0034161,CAR116166,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
Trent,Sieg,LS,47,,2020,32013030-2d30-3033-3431-3938d5c17a3e,00-0034198,SIE111904,Las Vegas Raiders,bills-at-raiders-2020-reg-4,2020-10-04T20:25:00.000Z
