firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
L.P.,Ladouceur,LS,91,,2020,32013030-2d30-3032-3332-3938bbd87157,00-0023298,LAD000000,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Brandon,Carr,DB,39,,2020,32013030-2d30-3032-3632-3830b7e3f619,00-0026280,CAR347675,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Everson,Griffen,DE,97,,2020,32013030-2d30-3032-3737-3031290b02d4,00-0027701,GRI051627,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Aldon,Smith,DE,58,STARTED,2020,32013030-2d30-3032-3739-34352296b33c,00-0027945,SMI029386,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Tyron,Smith,T,77,STARTED,2020,32013030-2d30-3032-3739-343714e02a3d,00-0027947,SMI766760,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Andy,Dalton,QB,14,,2020,32013030-2d30-3032-3739-37334d29528c,00-0027973,DAL659900,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Chris,Jones,P,06,,2020,32013030-2d30-3032-3836-3634e531f84b,00-0028664,JON161572,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Joe,Looney,C,73,STARTED,2020,32013030-2d30-3032-3932-3738b3560098,00-0029278,LOO721674,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Greg,Zuerlein,K,02,,2020,32013030-2d30-3032-3936-32318377b74b,00-0029621,ZUE563610,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Tyrone,Crawford,DL,98,STARTED,2020,32013030-2d30-3032-3936-3431ef6ddb5e,00-0029641,CRA756298,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Dontari,Poe,DT,95,STARTED,2020,32013030-2d30-3032-3936-38388636b4cc,00-0029688,POE346076,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Joe,Thomas,LB,48,STARTED,2020,32013030-2d30-3033-3037-3631baf58265,00-0030761,THO234901,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
C.J.,Goodwin,CB,29,,2020,32013030-2d30-3033-3133-353791935cd2,00-0031357,GOO627559,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Zack,Martin,G,70,STARTED,2020,32013030-2d30-3033-3134-3032221eb56d,00-0031402,MAR771661,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Demarcus,Lawrence,DE,90,STARTED,2020,32013030-2d30-3033-3134-3131386b03cc,00-0031411,LAW282118,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Amari,Cooper,WR,19,STARTED,2020,32013030-2d30-3033-3135-3434ca99a9bc,00-0031544,COO487703,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Justin,March-Lillard,LB,59,,2020,32013030-2d30-3033-3139-3939f8f8a9ca,00-0031999,MAR051467,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Blake,Bell,TE,80,,2020,32013030-2d30-3033-3230-363253752b55,00-0032062,BEL227990,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Antwaun,Woods,DT,99,,2020,32013030-2d30-3033-3238-373151fff82f,00-0032871,WOO412059,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Daryl,Worley,CB,28,STARTED,2020,32013030-2d30-3033-3238-3931e45e576f,00-0032891,WOR616410,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Ezekiel,Elliott,RB,21,STARTED,2020,32013030-2d30-3033-3330-343523cdc4a0,00-0033045,ELL289284,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Jaylon,Smith,LB,54,STARTED,2020,32013030-2d30-3033-3330-3532dd276afb,00-0033052,SMI390302,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Dak,Prescott,QB,04,STARTED,2020,32013030-2d30-3033-3330-37372d13d088,00-0033077,PRE285723,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Darian,Thompson,S,23,STARTED,2020,32013030-2d30-3033-3330-3833eeb7445b,00-0033083,THO507692,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Xavier,Woods,S,25,STARTED,2020,32013030-2d30-3033-3335-37391079d141,00-0033579,WOO620124,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Noah,Brown,WR,85,,2020,32013030-2d30-3033-3335-393133b31ae9,00-0033591,BRO567406,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Jourdan,Lewis,CB,26,,2020,32013030-2d30-3033-3339-32387c23dd10,00-0033928,LEW419597,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Alex,Light,T,64,NOT_ACTIVE,2020,32013030-2d30-3033-3431-38362f855ffc,00-0034186,LIG422752,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Connor,Williams,G,52,STARTED,2020,32013030-2d30-3033-3433-3532304247da,00-0034352,WIL204393,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Dorance,Armstrong,DE,92,,2020,32013030-2d30-3033-3433-3733a459048a,00-0034373,ARM218905,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Dalton,Schultz,TE,86,STARTED,2020,32013030-2d30-3033-3433-3833b16c084a,00-0034383,SCH647271,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Cedrick,Wilson,WR,11,,2020,32013030-2d30-3033-3434-31387faa5185,00-0034418,WIL656498,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Michael,Gallup,WR,13,STARTED,2020,32013030-2d30-3033-3437-3634de26c0e4,00-0034764,GAL779981,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Malik,Turner,WR,17,,2020,32013030-2d30-3033-3438-363722684717,00-0034867,TUR576945,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Trysten,Hill,DT,72,STARTED,2020,32013030-2d30-3033-3532-3437cc9f5a1d,00-0035247,HIL000003,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
Tony,Pollard,RB,20,,2020,32013030-2d30-3033-3532-3631a9780874,00-0035261,POL283188,Dallas Cowboys,browns-at-cowboys-2020-reg-4,2020-10-04T17:00:00.000Z
