firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Ted,Ginn,WR,19,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3533-39365de71765,00-0025396,GIN403290,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Jimmy,Graham,TE,80,STARTED,2020,32013030-2d30-3032-3736-39363e3fa7c9,00-0027696,GRA207087,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Sherrick,McManis,DB,27,NOT_ACTIVE,2020,32013030-2d30-3032-3737-3433a73d1b32,00-0027743,MCM219811,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Robert,Quinn,LB,94,STARTED,2020,32013030-2d30-3032-3739-3532c641341b,00-0027952,QUI715221,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Buster,Skrine,DB,24,STARTED,2020,32013030-2d30-3032-3830-3735279b363b,00-0028075,SKR296636,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Patrick,Scales,LS,48,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3832-383485d61a86,00-0028284,SCA247669,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Tashaun,Gipson,DB,38,STARTED,2020,32013030-2d30-3032-3839-3234cdc19607,00-0028924,GIP543222,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Bobby,Massie,OL,70,STARTED,2020,32013030-2d30-3032-3935-32387a3c09ae,00-0029528,MAS441786,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Nick,Foles,QB,09,STARTED,2020,32013030-2d30-3032-3935-3637b84f8e70,00-0029567,FOL058566,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Danny,Trevathan,LB,59,STARTED,2020,32013030-2d30-3032-3935-373722890118,00-0029577,TRE789054,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Akiem,Hicks,DT,96,STARTED,2020,32013030-2d30-3032-3936-3537d62baff7,00-0029657,HIC340209,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Demetrius,Harris,TE,86,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3031-3535bd049f8c,00-0030155,HAR363756,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Barkevious,Mingo,LB,50,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3035-3538c44a5547,00-0030558,MIN139821,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Cordarrelle,Patterson,WR,84,STARTED,2020,32013030-2d30-3033-3035-37385ea3f72d,00-0030578,PAT387075,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Khalil,Mack,LB,52,STARTED,2020,32013030-2d30-3033-3130-343096316ab8,00-0031040,MAC325122,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Kyle,Fuller,DB,23,STARTED,2020,32013030-2d30-3033-3130-3431b2e4548e,00-0031041,FUL352996,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
Pat,O'Donnell,P,16,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3130-3739cdb1623a,00-0031079,ODO667480,Chicago Bears,buccaneers-at-bears-2020-reg-5,2020-10-09T00:20:00.000Z
