firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Demar,Dotson,T,78,,2020,32013030-2d30-3032-3638-31344f92b139,00-0026814,DOT277798,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Kareem,Jackson,S,22,STARTED,2020,32013030-2d30-3032-3738-3732b0b6440e,00-0027872,JAC283467,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Jurrell,Casey,DL,99,STARTED,2020,32013030-2d30-3032-3830-3135e8634a8a,00-0028015,CAS224804,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Brandon,McManus,K,08,,2020,32013030-2d30-3032-3938-323246544812,00-0029822,MCM226186,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Mike,Purcell,DL,98,STARTED,2020,32013030-2d30-3032-3938-3930af4db4f9,00-0029890,PUR087672,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Sam,Martin,P,06,,2020,32013030-2d30-3033-3030-39326221cfca,00-0030092,MAR720548,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Jeremiah,Attaochu,LB,97,STARTED,2020,32013030-2d30-3033-3132-35385aa10fc4,00-0031258,ATT290361,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Shelby,Harris,DE,96,STARTED,2020,32013030-2d30-3033-3132-3730cec37d9d,00-0031270,HAR536152,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Diontae,Spencer,WR,11,,2020,32013030-2d30-3033-3133-31391b4b09ee,00-0031319,SPE464206,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Blake,Bortles,QB,05,NOT_ACTIVE,2020,32013030-2d30-3033-3134-30371c5cfd02,00-0031407,BOR650964,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
DeShawn,Williams,DT,90,,2020,32013030-2d30-3033-3137-393595443678,00-0031795,WIL234247,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Bryce,Callahan,CB,29,STARTED,2020,32013030-2d30-3033-3139-3034efea5f3c,00-0031904,CAL520433,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Anthony,Chickillo,OLB,91,,2020,32013030-2d30-3033-3139-3536d2405a66,00-0031956,CHI218488,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
De'Vante,Bausby,CB,41,,2020,32013030-2d30-3033-3139-393123a2e7af,00-0031991,BAU711100,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Melvin,Gordon,RB,25,STARTED,2020,32013030-2d30-3033-3231-343457f8448b,00-0032144,GOR275321,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Nick,Vannett,TE,88,NOT_ACTIVE,2020,32013030-2d30-3033-3233-393431c33be1,00-0032394,VAN643509,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Graham,Glasgow,G,61,STARTED,2020,32013030-2d30-3033-3233-393532d3da31,00-0032395,GLA349413,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Jeff,Driskel,QB,09,STARTED,2020,32013030-2d30-3033-3234-33369707963e,00-0032436,DRI392790,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Justin,Simmons,S,31,STARTED,2020,32013030-2d30-3033-3239-3731b9d710ff,00-0032971,SIM248681,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Tim,Patrick,WR,81,STARTED,2020,32013030-2d30-3033-3333-3735fe3e4652,00-0033375,PAT283375,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
Austin,Calitro,ILB,53,,2020,32013030-2d30-3033-3334-3532d1a2b6b1,00-0033452,CAL465470,Denver Broncos,buccaneers-at-broncos-2020-reg-3,2020-09-27T20:25:00.000Z
