firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Andrew,Sendejo,S,23,STARTED,2020,32013030-2d30-3032-3739-3134a2365466,00-0027914,SEN095404,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Adrian,Clayborn,DE,94,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3739-3538ecf5c8e7,00-0027958,CLA770145,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Malcolm,Smith,LB,56,STARTED,2020,32013030-2d30-3032-3831-383090423665,00-0028180,SMI501156,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Case,Keenum,QB,05,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3839-383680011105,00-0028986,KEE690598,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Charley,Hughlett,LS,47,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3930-3038191b1b93,00-0029008,HUG732560,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Olivier,Vernon,DE,54,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3936-393349c3db48,00-0029693,VER613364,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Christopher,Hubbard,T,74,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3939-3633f9e311fc,00-0029963,HUB174074,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
J.C.,Tretter,C,64,STARTED,2020,32013030-2d30-3033-3030-3736f297739d,00-0030076,TRE768289,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Sheldon,Richardson,DT,98,STARTED,2020,32013030-2d30-3033-3035-3733d0487351,00-0030573,RIC621130,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Cody,Parkey,K,02,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3038-3530eb245735,00-0030850,PAR471800,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Terrance,Mitchell,CB,39,STARTED,2020,32013030-2d30-3033-3130-3937b6f75683,00-0031097,MIT731784,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Odell,Beckham,WR,13,STARTED,2020,32013030-2d30-3033-3132-3335cebc9f07,00-0031235,BEC573252,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Jarvis,Landry,WR,80,STARTED,2020,32013030-2d30-3033-3133-3832ba34ef7f,00-0031382,LAN163029,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Joel,Bitonio,G,75,STARTED,2020,32013030-2d30-3033-3134-3236e0dc80a7,00-0031426,BIT316411,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Kevin,Johnson,CB,28,STARTED,2020,32013030-2d30-3033-3135-3438cce5c7b9,00-0031548,JOH000010,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Kendall,Lamm,T,70,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3139-32313432f23b,00-0031921,LAM628478,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Austin,Hooper,TE,81,STARTED,2020,32013030-2d30-3033-3233-39328d4eeab0,00-0032392,HOO570770,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Karl,Joseph,S,42,NOT_ACTIVE,2020,32013030-2d30-3033-3238-38383b00d7e8,00-0032888,JOS219381,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Andy,Janovich,FB,31,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3239-353644b7daaf,00-0032956,JAN605717,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Rashard,Higgins,WR,82,STARTED,2020,32013030-2d30-3033-3239-3737129a14db,00-0032977,HIG322107,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Jack,Conklin,T,78,STARTED,2020,32013030-2d30-3033-3330-3537603b81d2,00-0033057,CON183999,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
B.J.,Goodson,LB,93,STARTED,2020,32013030-2d30-3033-3331-3231f1480e6e,00-0033121,GOO568123,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Vincent,Taylor,DT,96,STARTED,2020,32013030-2d30-3033-3334-36397f68f7af,00-0033469,TAY768399,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Joey,Ivie,DT,66,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3335-39303f262ca9,00-0033590,IVI177981,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Myles,Garrett,DE,95,STARTED,2020,32013030-2d30-3033-3338-3638e421b62c,00-0033868,GAR528896,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
David,Njoku,TE,85,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3338-383510d0af60,00-0033885,NJO355964,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Larry,Ogunjobi,DT,65,NOT_ACTIVE,2020,32013030-2d30-3033-3339-30353efefb43,00-0033905,OGU431455,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Taywan,Taylor,WR,10,NOT_ACTIVE,2020,32013030-2d30-3033-3339-3131fdbe6402,00-0033911,TAY716250,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Kareem,Hunt,RB,27,STARTED,2020,32013030-2d30-3033-3339-32333147481d,00-0033923,HUN308934,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
Dontrell,Hilliard,RB,25,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3432-35336f47acf9,00-0034253,HIL714536,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
M.J.,Stewart,CB,36,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3433-353540b0a299,00-0034355,STE793185,Cleveland Browns,colts-at-browns-2020-reg-5,2020-10-11T20:25:00.000Z
